"";"";"";"";"elles";""
"1";"elles";"0.317421772019045";"0.167715240373816";"0.849894233948963";"95"
"2";"quelques";"0.336955306926404";"0.190306680896241";"0.849528440444938";"96"
"3";"dans";"0.187561993006622";"-0.120534287270138";"0.845029180345435";"103"
"4";"certaines";"0.315553935055005";"0.165053438416843";"0.844252885242449";"105"
"5";"du";"0.358255739144445";"0.227131986843628";"0.842919771138893";"107"
"6";"même";"0.15568317642319";"0.253472426837902";"0.840948550589426";"109"
"7";"avant";"0.351259635986541";"0.20087581650404";"0.839656080208539";"110"
"8";"57";"0.411654637055553";"0.288607552072999";"0.837217456848375";"117"
"9";"beaucoup";"0.333748567045794";"0.188557821371512";"0.836465547978991";"118"
"10";"13";"0.39231251998256";"0.260715900468005";"0.836363938672317";"119"
"11";"ma";"0.347535661489805";"0.203162928711411";"0.83614852694217";"120"
"12";"lequel";"0.326532458793116";"0.188165393132656";"0.83614852694217";"121"
"13";"37";"0.438544073861316";"0.352864944577721";"0.834177306392703";"123"
"14";"25";"0.402025036388845";"0.300402450431802";"0.833445719384654";"125"
"15";"différents";"0.318057489534888";"0.167054728477625";"0.832596265580864";"126"
"16";"très";"0.33389607971226";"0.185397703034122";"0.831580172514128";"128"
"17";"alerte";"0.364156343615118";"0.201345215409439";"0.831189992776502";"129"
"18";"plusieurs";"0.313094805465667";"0.16607431657574";"0.830933937323685";"130"
"19";"certains";"0.328943826408111";"0.189972290933035";"0.829783719972141";"132"
"20";"tout";"0.324572829255589";"0.17694353741122";"0.827727147605069";"137"
"21";"mes";"0.304147193053151";"0.158495113755854";"0.826166428654563";"138"
"22";"06";"0.427158779817351";"0.324367838110922";"0.825975403158017";"139"
"23";"36";"0.40751240430975";"0.277935027443392";"0.825369811690243";"140"
"24";"vite";"0.36910334599017";"0.206067744785753";"0.825369811690243";"141"
"25";"moindre";"0.299280830935767";"0.152045053021766";"0.825247880522235";"142"
"26";"autrefois";"0.299280830935767";"0.152045053021766";"0.825247880522235";"143"
"27";"tant";"0.339493189730798";"0.194643282763137";"0.825162528704629";"144"
"28";"ensuite";"0.339493189730798";"0.194643282763137";"0.825162528704629";"145"
"29";"m";"0.356995858644705";"0.207141229078766";"0.825162528704629";"146"
"30";"vos";"0.356995858644705";"0.207141229078766";"0.825162528704629";"147"
"31";"donc";"0.339493189730798";"0.194643282763137";"0.825162528704629";"148"
"32";"jamais";"0.318794932900264";"0.169884217471978";"0.824747962733401";"149"
"33";"54";"0.391223035942865";"0.263778006790957";"0.824422812952046";"150"
"34";"savoir";"0.310635675876329";"0.167095194734637";"0.824170821871496";"151"
"35";"09";"0.412574361135096";"0.296304404717681";"0.823849736462407";"152"
"36";"lors";"0.347690288361925";"0.191240355566814";"0.823666839710395";"153"
"37";"croire";"0.324568203354882";"0.1738883444822";"0.823605874126391";"154"
"38";"souvent";"0.323814242166856";"0.17997652829777";"0.822402819935377";"155"
"39";"55";"0.397864046553624";"0.277987633577508";"0.821663104182793";"156"
"40";"an";"0.332232063549213";"0.187857482621971";"0.821313568167836";"157"
"41";"million";"0.324534941003817";"0.193578754086585";"0.820545401809385";"158"
"42";"18";"0.408487300117355";"0.308387954172766";"0.820203994538962";"159"
"43";"g";"0.380646351531957";"0.217086979997153";"0.820110513976822";"160"
"44";"tandis_que";"0.369291506591395";"0.202036838284282";"0.820110513976822";"161"
"45";"soudain";"0.369291506591395";"0.202036838284282";"0.820110513976822";"162"
"46";"plupart";"0.369291506591395";"0.202036838284282";"0.820110513976822";"163"
"47";"1980";"0.369291506591395";"0.202036838284282";"0.820110513976822";"164"
"48";"parmi";"0.336965802005698";"0.219459526092901";"0.820000775925615";"165"
"49";"notre";"0.324258881450323";"0.174879183518037";"0.819549630603984";"167"
"50";"presque";"0.299280830935767";"0.152045053021766";"0.818687983683393";"170"
"51";"cependant";"0.299280830935767";"0.152045053021766";"0.818687983683393";"171"
"52";"lui_même";"0.299280830935767";"0.152045053021766";"0.818687983683393";"173"
"53";"1947";"0.299280830935767";"0.152045053021766";"0.818687983683393";"174"
"54";"nous";"0.325972388905965";"0.178411893827423";"0.818537601909516";"175"
"55";"au";"0.350332739764499";"0.214361944867135";"0.818334383296169";"176"
"56";"03";"0.40755608773999";"0.29030901567116";"0.818326254551635";"177"
"57";"où";"0.329457381495312";"0.178525454321706";"0.81825309585083";"178"
"58";"cette";"0.33091113970879";"0.189833768534588";"0.817667826244391";"179"
"59";"au_dessus";"0.316665899473908";"0.167062315900814";"0.817619053777187";"180"
"60";"ailleurs";"0.307796964641189";"0.163332659306419";"0.817619053777187";"181"
"61";"afin";"0.323690487114624";"0.171557631114382";"0.816383484608038";"184"
"62";"devoir";"0.345181488663216";"0.19660313160767";"0.815753506906662";"185"
"63";"ce";"0.341511433773273";"0.203568232878226";"0.815594996388251";"186"
"64";"nos";"0.334227368575698";"0.178300603934734";"0.815265782234629";"187"
"65";"pourquoi";"0.314184064920255";"0.171798364019909";"0.814794315051664";"188"
"66";"fort";"0.340722754525467";"0.194132843683688";"0.814647997650054";"189"
"67";"quelque";"0.319719551828779";"0.179135308104934";"0.814647997650054";"190"
"68";"déjà";"0.319719551828779";"0.179135308104934";"0.814647997650054";"191"
"69";"autour";"0.341287236329144";"0.182040124179276";"0.814070856788148";"192"
"70";"là";"0.344693689811313";"0.186555166693137";"0.814070856788148";"193"
"71";"52";"0.386509201613061";"0.262937491864637";"0.814070856788148";"194"
"72";"ainsi";"0.320284033632456";"0.167042588600521";"0.814009891204144";"195"
"73";"parce_que";"0.320284033632456";"0.167042588600521";"0.814009891204144";"197"
"74";"derrière";"0.320284033632456";"0.167042588600521";"0.814009891204144";"198"
"75";"3";"0.385139094734792";"0.265429492424413";"0.813668483933721";"199"
"76";"partout";"0.37465077307563";"0.286873999164035";"0.812489815976308";"200"
"77";"90";"0.386005618016192";"0.301924140876906";"0.812489815976308";"202"
"78";"24";"0.376589097631469";"0.241966463322927";"0.812331305457898";"203"
"79";"chaque";"0.35402041809201";"0.19708275073013";"0.812331305457898";"204"
"80";"sept";"0.319149480693643";"0.16920763916925";"0.812278468618428";"205"
"81";"sans";"0.323408246212786";"0.177603990866588";"0.81226221112936";"206"
"82";"votre";"0.356995858644705";"0.207141229078766";"0.812083378749614";"207"
"83";"via";"0.356995858644705";"0.207141229078766";"0.812083378749614";"208"
"84";"quels";"0.356995858644705";"0.207141229078766";"0.812083378749614";"209"
"85";"inter";"0.356995858644705";"0.207141229078766";"0.812083378749614";"210"
"86";"2018";"0.356995858644705";"0.207141229078766";"0.812083378749614";"211"
"87";"leurs";"0.326971500195976";"0.178759944629224";"0.812058992516013";"212"
"88";"depuis";"0.335506846489216";"0.194730451886477";"0.812058992516013";"213"
"89";"toujours";"0.324826658017807";"0.175766903515155";"0.811689134639721";"214"
"90";"autre";"0.321092369667188";"0.174196521791199";"0.811689134639721";"215"
"91";"17";"0.360035194456015";"0.221712203081307";"0.811640362172518";"216"
"92";"x";"0.318519173505413";"0.170410445040766";"0.811526559749044";"217"
"93";"t";"0.332951418740074";"0.195284105655225";"0.811441207931438";"218"
"94";"2007";"0.416832427987807";"0.301948207860008";"0.811420886070103";"219"
"95";"demain";"0.416832427987807";"0.301948207860008";"0.811420886070103";"220"
"96";"2021";"0.351788837677488";"0.189538891968653";"0.811420886070103";"221"
"97";"celui_ci";"0.36030497138291";"0.200826498253306";"0.811420886070103";"222"
"98";"1996";"0.416832427987807";"0.301948207860008";"0.811420886070103";"223"
"99";"contre";"0.331827039174243";"0.178061823811921";"0.811258311179425";"224"
"100";"cela";"0.318118068931086";"0.171175866959003";"0.811229860573557";"225"
"101";"encore";"0.317840381148859";"0.17170577444086";"0.811168894989553";"226"
"102";"ou";"0.333673516316576";"0.187078535874656";"0.810900646419935";"227"
"103";"alors";"0.325232433340372";"0.177270215086859";"0.810421050492436";"228"
"104";"personne";"0.32376267756176";"0.176468654471359";"0.809543146082777";"229"
"105";"2017";"0.338661835992058";"0.180165432231931";"0.808571761110978";"230"
"106";"chez";"0.367322210474249";"0.22956085932968";"0.808567696738711";"231"
"107";"dès";"0.307796964641189";"0.163332659306419";"0.808311641285894";"232"
"108";"divers";"0.307796964641189";"0.163332659306419";"0.808311641285894";"233"
"109";"dame";"0.307796964641189";"0.163332659306419";"0.808311641285894";"234"
"110";"maintenant";"0.322460922319955";"0.17206807019383";"0.807356513803163";"235"
"111";"29";"0.344929627776357";"0.217623170704165";"0.807112651467146";"236"
"112";"42";"0.344929627776357";"0.217623170704165";"0.807112651467146";"237"
"113";"parfois";"0.341287236329144";"0.182040124179276";"0.806539574977507";"238"
"114";"longtemps";"0.348100143293481";"0.191070209206998";"0.806539574977507";"239"
"115";"vouloir";"0.343789794953606";"0.201637602108922";"0.806320098875093";"240"
"116";"enfin";"0.31631309834661";"0.174620265591072";"0.805681992429183";"241"
"117";"dehors";"0.342567101717471";"0.193367185064516";"0.805681992429183";"242"
"118";"mieux";"0.31631309834661";"0.174620265591072";"0.805681992429183";"243"
"119";"1999";"0.342567101717471";"0.193367185064516";"0.805681992429183";"244"
"120";"pendant";"0.338261311466853";"0.199320195425687";"0.805596640611577";"245"
"121";"quatre";"0.32888220492841";"0.182107760637425";"0.805320263297425";"246"
"122";"o";"0.32888220492841";"0.182107760637425";"0.805320263297425";"247"
"123";"dire";"0.339806790732841";"0.187925105260685";"0.804934147932066";"248"
"124";"surtout";"0.37231890588071";"0.256970041313605";"0.804592740661643";"249"
"125";"mêmes";"0.351315703184022";"0.24197250573485";"0.804592740661643";"250"
"126";"toute";"0.357602013397323";"0.218487172714264";"0.804320427719758";"251"
"127";"eux";"0.326449023869718";"0.178882730270381";"0.804182239062682";"252"
"128";"entre";"0.354049284056799";"0.222013153330512";"0.803588840711709";"253"
"129";"concernant";"0.371971139833512";"0.244455418724159";"0.803564454478107";"254"
"130";"peu";"0.360864104222736";"0.225686105082";"0.803499424521836";"255"
"131";"rien";"0.340308665457319";"0.188914574315927";"0.803499424521836";"256"
"132";"ben";"0.310635675876329";"0.167095194734637";"0.803202725346349";"257"
"133";"douze";"0.334286168763581";"0.177040945653024";"0.803202725346349";"258"
"134";"quant";"0.310635675876329";"0.167095194734637";"0.803202725346349";"259"
"135";"ni";"0.334286168763581";"0.177040945653024";"0.803202725346349";"260"
"136";"devant";"0.310635675876329";"0.167095194734637";"0.803202725346349";"261"
"137";"500";"0.310635675876329";"0.167095194734637";"0.803202725346349";"262"
"138";"quel";"0.334286168763581";"0.177040945653024";"0.803202725346349";"263"
"139";"malgré";"0.334286168763581";"0.177040945653024";"0.803202725346349";"264"
"140";"lorsqu";"0.310635675876329";"0.167095194734637";"0.803202725346349";"265"
"141";"aucune";"0.334286168763581";"0.177040945653024";"0.803202725346349";"266"
"142";"1994";"0.334286168763581";"0.177040945653024";"0.803202725346349";"268"
"143";"1989";"0.310635675876329";"0.167095194734637";"0.803202725346349";"269"
"144";"durant";"0.327096940596793";"0.176072673628243";"0.803101116039676";"270"
"145";"000";"0.360145893389886";"0.239482543264965";"0.80276377314152";"271"
"146";"tard";"0.33390984756113";"0.185102758655966";"0.802328885308957";"272"
"147";"me";"0.345641013704143";"0.192091087365895";"0.801312792242222";"273"
"148";"combien";"0.345641013704143";"0.192091087365895";"0.801312792242222";"274"
"149";"hors";"0.334050968012049";"0.182079578779863";"0.8";"276"
"150";"aucun";"0.334050968012049";"0.182079578779863";"0.8";"277"
"151";"70";"0.334050968012049";"0.182079578779863";"0.8";"278"
