"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"petit";-2,69535361454915;1,52103073066821;0,134147073563047;-0,0732340215032267;0,055251323815793;-0,869700755290094;0,490785909552302;0,0432847885219887;-0,0236301773060456;0,0178277602589857;0,764546404304012;0,233619943840016;0,00143233939395511;0,000280744647784301;0,000120567814310128;0,0811190993936774;0,025832568947015;0,000200934275779312;5,98849079764178e-05;3,40860750855563e-05;0,0111658456486043;2,76064820120136;0,0850969026886943
"ancien";-0,167017720392366;-0,855213470699626;-0,288208686803664;0,910534611747238;0,281711827445664;-0,126225255186705;-0,646335839841229;-0,217816498473058;0,688145326460673;0,212906434268798;0,022592708281594;0,568399706933753;0,0508825075049249;0,334002316235312;0,0241227610444312;0,000187798304750012;0,00492397262711167;0,000559217427440524;0,00558160992557922;0,000534289606343807;0,00673234811165846;0,995120437751543;0,00666680658634873
"fille";-3,30962339362511;0,84431337597456;0,0606367335835817;-0,128099362506485;-0,109190272835521;-0,967640067804799;0,246853298762084;0,0177284621293454;-0,037452622573397;-0,0319241407387019;0,939978111381916;0,0586988391734403;0,000238640067409391;0,000700435084178213;0,000383974293064876;0,113313175941006;0,00737446631223681;3,80360013070993e-05;0,000169752896633461;0,000123336369123058;0,0103448275862069;3,057151413338;0,0966845665249091
"monde";-0,390281755517013;-1,33063374770102;-0,133544847939568;0,41646760110506;-0,034352941552141;-0,268340069319534;-0,914883534906716;-0,0918193926485199;0,286344271465696;-0,0236195276543732;0,0780540268696835;0,870597608706136;0,00691200861388729;0,0442094005062291;0,000226955303999274;0,00148818242972443;0,0172988304016407;0,000174242441948528;0,00169458015350199;1,15299529228976e-05;0,00977011494252874;1,25105912377801;0,0152916849598847
"extraire";0,415738084150875;0,307785265514138;0,916228615121378;-0,792439538508583;0,917066843520553;0,259027255114704;0,191766825148366;0,570859856914886;-0,493732583877856;0,571382118429226;0,113214917393681;0,059541705712538;0,415894250723072;0,204601906048661;0,206747220122032;0,000908180779578011;0,000497769561471835;0,00441103382682293;0,0032996278341764;0,00441910854770312;0,00525451559934319;1,10653517704739;0,00643373450531784
"nouveau";0,362687666803016;0,239935762097782;0,182527979729318;0,128357551003734;0,138458119092229;0,713937868350955;0,47230507737747;0,359299884418545;0,252667307819227;0,272549919526976;0,578538422846908;0,242950718535104;0,110824736351883;0,0360431588581513;0,0316429634079504;0,000550793064548587;0,000241053174598163;0,000139502432888947;6,89867574616982e-05;8,0271197690513e-05;0,0041871921182266;0,427035446387122;0,000763573308376313
"nombreux";-3,99154281452907;2,04400716224601;-0,0485814042309994;0,106700635739348;0,0114212648780936;-0,889776408598166;0,455640697464687;-0,0108295437102594;0,0237852161118555;0,00254597595894194;0,798664401970554;0,20095978535989;8,94816640744606e-05;0,000283876947535113;2,45405794286828e-06;0,126883757134746;0,0332727940963351;1,87959626596395e-05;9,06689236220485e-05;1,03885002194669e-06;0,00796387520525452;3,99996203878996;0,127419584748833
"vie";0,331975053828101;0,191333926762021;-0,383229696108705;0,0798983238190683;-0,317651444274449;0,524265135413642;0,302160375806597;-0,605208030567843;0,126177871118041;-0,50164485411339;0,370499020222846;0,118092338137592;0,373426947239318;0,0106749259175449;0,127306768482712;0,000732906596510496;0,000243456682589829;0,000976688423509458;4,24534576417761e-05;0,000671026079147873;0,00665024630541872;0,488437679774073;0,00158655835212393
"terre";0,30500398790746;0,156473142510611;-0,698783987872084;1,49404862110981;0,212881268119415;0,17962213101165;0,0921497436694927;-0,411525993084672;0,879871109226889;0,125369465804078;0,0576681896296149;0,0145635241424883;0,228940355585352;0,688284696741335;0,010543233901226;0,000465900935222225;0,000122620238420024;0,00244550433202719;0,0111792330227133;0,000226964244111982;0,00500821018062397;1,13745598524984;0,00647965297382777
"provoquer";-4,59511676372052;2,30353747911713;-0,00958303519526119;-0,0690532830530611;0,0357898406268417;-0,893857549918407;0,448091849044054;-0,00186412419985657;-0,0134324766001497;0,00696196003271458;0,805624731553158;0,19426378255909;2,65006809978671e-06;9,04944029449302e-05;1,83414167044696e-05;0,145621366015347;0,0365950683979123;6,33341817611135e-07;3,28852131062495e-05;8,83388063513608e-06;0,00689655172413793;4,58487392505149;0,144972889024946
