de;379;246;178;64;75;78
la;280;140;108;44;26;77
et;227;172;104;18;52;77
l;217;144;108;31;52;78
des;262;116;79;15;26;0
être;255;110;93;20;52;78
les;272;133;87;16;49;0
le;242;141;115;36;49;0
d;228;121;73;25;26;0
avoir;223;104;71;20;52;0
à;186;132;90;27;49;78
un;185;105;61;9;52;0
une;172;91;49;9;49;77
en;143;133;75;33;0;0
sur;150;70;77;24;26;77
du;108;81;66;32;0;0
qui;132;81;43;7;98;77
dans;139;70;47;16;26;0
il;137;54;36;10;26;0
s;61;36;28;3;52;77
pour;86;83;44;12;26;0
avec;60;67;37;8;29;0
ne;82;49;25;10;52;0
par;88;64;42;5;26;0
que;123;38;20;2;0;0
se;82;31;26;7;0;0
son;59;65;33;2;0;0
au;60;45;32;12;0;0
ses;37;29;21;0;52;0
pouvoir;90;17;11;4;49;1
ils;68;13;13;1;26;1
e;11;18;11;18;26;77
leur;42;24;8;2;52;0
pas;46;25;16;2;52;0
faire;58;45;20;2;0;0
elle;39;40;14;7;0;0
qu;78;36;16;1;0;0
ce;60;39;22;8;0;0
aux;36;30;19;21;0;0
20;15;9;30;24;0;0
plus;58;21;20;1;0;0
19;10;4;21;23;0;0
sa;26;36;22;2;0;0
après;12;15;7;2;26;0
mais;32;16;19;0;26;0
tout;36;22;9;0;0;0
tous;15;18;12;1;26;0
ou;28;17;11;1;0;0
on;24;26;10;0;0;0
nous;29;20;8;0;0;0
c;17;21;18;4;0;0
21;2;5;18;11;0;0
y;28;9;11;5;0;0
comme;19;12;5;1;26;0
cette;30;19;7;2;0;0
lui;30;19;8;0;0;0
an;24;19;8;1;0;0
autres;21;6;0;0;26;0
aujourd_hui;12;10;6;0;26;0
leurs;23;15;7;0;0;0
bien;18;5;1;0;26;0
aussi;8;9;7;0;26;0
ces;31;12;5;0;0;0
très;16;17;8;0;0;0
depuis;23;13;7;2;0;0
durant;3;1;1;0;0;0
vous;2;15;6;1;0;0
où;21;9;8;0;0;0
deux;11;17;7;1;0;0
devoir;15;7;10;1;0;0
selon;33;2;1;0;0;0
plein;1;6;2;0;26;0
grâce;5;4;0;0;26;0
alors;15;9;4;0;0;0
lorsque;7;0;1;0;26;0
23;2;2;8;4;0;0
même;21;6;3;1;0;1
comment;6;20;4;1;0;0
non;13;3;3;0;0;0
22;0;2;8;3;0;0
vouloir;9;8;5;1;0;0
personne;13;8;3;0;0;0
notre;15;6;4;0;0;0
entre;13;5;6;3;0;0
elles;17;3;3;0;0;0
dont;12;7;5;0;0;0
00;2;0;13;2;0;0
si;19;4;2;0;0;0
croire;14;4;4;0;0;0
30;3;1;10;6;0;0
point;6;8;2;6;0;0
12;2;8;6;6;0;0
t;10;4;2;1;0;0
quelques;6;12;4;0;0;0
50;4;3;10;1;0;0
40;1;2;6;1;0;0
savoir;12;6;0;0;0;0
sans;10;8;2;0;0;0
pendant;9;7;3;1;0;0
05;1;1;6;0;0;0
million;9;3;0;1;0;0
11;2;4;3;6;0;0
07;1;1;5;2;0;0
toujours;11;5;3;0;0;0
quand;9;3;8;0;0;0
cet;9;4;4;0;0;0
2;1;5;8;2;0;0
01;1;1;7;5;0;0
lors;7;4;7;0;0;0
j;3;12;4;0;0;0
dire;7;6;5;0;0;0
certains;12;2;2;1;0;0
autre;11;6;2;0;0;0
15;2;4;7;4;0;0
puis;8;5;2;0;0;0
contre;9;2;4;0;0;0
sous;14;2;1;1;0;0
plusieurs;11;3;1;0;0;0
chez;2;5;4;1;0;0
avant;2;9;5;0;0;0
autour;6;0;4;0;0;0
55;1;5;6;3;0;0
5;4;1;9;0;0;0
3;3;5;5;3;0;0
10;1;3;7;3;0;0
09;1;1;4;2;0;0
04;2;1;6;1;0;0
02;0;3;4;6;0;0
pourquoi;9;7;0;0;0;0
nos;10;1;5;0;0;0
me;1;1;1;0;0;0
là;5;1;4;0;0;0
certaines;12;1;2;0;0;0
45;2;2;2;3;0;0
44;1;2;6;1;0;0
1;1;1;6;2;0;0
08;0;4;6;1;0;0
toute;4;5;4;1;0;0
souvent;6;7;1;0;0;0
jamais;11;3;2;0;0;0
bon;0;9;5;1;0;0
beaucoup;4;8;2;0;0;0
27;1;0;5;4;0;0
25;3;1;3;3;0;0
17;3;6;4;1;0;0
13;3;1;6;2;0;0
03;0;3;4;2;0;0
54;3;1;5;2;0;0
47;2;0;4;4;0;0
16;2;0;6;2;0;0
06;1;0;3;2;0;0
eux;7;5;2;0;0;0
encore;8;4;1;0;0;0
différents;10;1;2;0;0;0
28;2;1;5;2;0;0
000;3;1;1;1;0;0
trois;4;3;2;0;0;0
peu;3;4;3;1;0;0
59;2;0;4;3;0;0
52;4;0;4;2;0;0
48;0;1;4;3;0;0
35;5;0;1;4;0;0
33;3;2;0;4;0;0
57;1;1;5;2;0;0
56;2;0;5;4;0;0
29;5;1;1;1;0;0
trop;5;1;3;0;0;0
toutes;7;1;0;0;0;0
rien;4;4;3;0;0;0
moins;5;1;3;0;0;0
mal;5;2;2;0;0;0
