"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Coord. facteur 7";"Coord. facteur 8";"Coord. facteur 9";"Coord. facteur 10";"Coord. facteur 11";"Coord. facteur 12";"Coord. facteur 13";"Coord. facteur 14";"Coord. facteur 15";"Coord. facteur 16";"Coord. facteur 17";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"Corr. facteur 7";"Corr. facteur 8";"Corr. facteur 9";"Corr. facteur 10";"Corr. facteur 11";"Corr. facteur 12";"Corr. facteur 13";"Corr. facteur 14";"Corr. facteur 15";"Corr. facteur 16";"Corr. facteur 17";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"COR -facteur 7";"COR -facteur 8";"COR -facteur 9";"COR -facteur 10";"COR -facteur 11";"COR -facteur 12";"COR -facteur 13";"COR -facteur 14";"COR -facteur 15";"COR -facteur 16";"COR -facteur 17";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"CTR -facteur 7";"CTR -facteur 8";"CTR -facteur 9";"CTR -facteur 10";"CTR -facteur 11";"CTR -facteur 12";"CTR -facteur 13";"CTR -facteur 14";"CTR -facteur 15";"CTR -facteur 16";"CTR -facteur 17";"mass";"chi.distance";"inertie"
"classe 1";0,0458168068748153;-0,364960076919688;0,185414121898157;-0,34389873313267;0,0521018028780052;-1,03136615107195;0,935287237853852;-0,784294801232163;0,86534597339422;1,01203334324374;-0,492977851901972;0,589517316786444;-1,0241912068756;-2,00019832262868;3,45251806062949;0,0786718949563379;-0,50403742131856;0,00967242497816573;-0,0770470315331312;0,0391429326110066;-0,0726007533742038;0,0109992558176658;-0,217732583340427;0,197449282441154;-0,165573141018114;0,182683922750938;0,21365121787455;-0,10407297264184;0,124453500994212;-0,216217874782685;-0,42226356520086;0,728864017486936;0,016608490502938;-0,106407767726208;0,000311827329967608;0,0193300933070555;0,00479529447267838;0,0156132677934641;0,000294212207858772;0,0768527798329456;0,0486118344333133;0,0330071918452406;0,0365060287482752;0,0485252328693909;0,0111493869345763;0,0154340715826235;0,0447108322037063;0,163237989469365;0,472853398028558;0,000237487863748516;0,00852907107723276;8,95641296040831e-05;0,00568296775251173;0,00146679726054532;0,00504598115988431;0,000115821710812974;0,0453847785509903;0,037322823368101;0,0262447926108408;0,0319494971402357;0,043699263292886;0,0103690576468213;0,0148278302780288;0,0447555149659881;0,170698848018772;0,50857661980145;0,000264072814924396;0,0108395195952838;0,0426662499023209;2,35593334375844;0,236815688711973
"classe 2";0,0327533175369185;-0,341322999879574;0,109455169788225;-0,332984711711842;-0,0899424998128524;-1,32165875500254;1,16949221140804;-2,17454904649986;0,867033870244879;1,68555463656309;-0,585014002922515;2,11246756141994;-0,153494544946219;1,87990873430945;-1,52484121959773;-0,0276836134353712;1,06888626295461;0,00675429145107796;-0,0703866109912172;0,0225715186482587;-0,068667114075387;-0,0185476740452255;-0,27254852642313;0,241169195661233;-0,448429018470219;0,178797138671193;0,347590049747797;-0,120639842795974;0,435626759783815;-0,0316531872396976;0,387669172096567;-0,314448208251617;-0,00570883219236384;0,220422537042587;0,00013843269718581;0,0146871621537337;0,00145166288292229;0,0127158324132625;0,000761638070983954;0,10963167706173;0,0660252738708837;0,220420442676512;0,0318361625922058;0,11693033797305;0,0136393051169332;0,17215951255216;0,000872368768905832;0,125259940565316;0,0801248801755785;2,55453173116489e-05;0,0333198251113322;4,37595577596263e-05;0,00475218611462259;0,00048869161904655;0,00452283684598368;0,000329983512408326;0,07125264775809;0,0557900821276861;0,192886018288713;0,0306643991703717;0,115890544185522;0,0139603033716693;0,182029774273883;0,000961054959861285;0,144157042693741;0,0948443751568183;3,12613612863947e-05;0,0466042286563622;0,0407908103461749;2,52773314786312;0,260630225871121
"classe 3";0,0237120475054922;-0,232293782889781;0,0559038491211275;-0,53012317408934;-0,43989971731411;0,750384048971599;0,110505640455247;0,196855893638755;1,70467594792881;-1,90564591274198;0,111294792271102;1,22377315288089;0,426607782034735;-0,828559110133913;-0,527551007891971;-0,500982047448466;0,00664331110643028;0,00728602434847132;-0,0713771409972687;0,0171776311503871;-0,162891473341102;-0,135168422317553;0,230571250763782;0,0339551777135169;0,0604881056289986;0,523797468775563;-0,585549709133592;0,0341976611744507;0,376029990106526;0,131084196184765;-0,254592179320877;-0,162101121283229;-0,153937250463549;0,00204129679078577;0,000152662817171009;0,0143136048943966;0,000796789692440205;0,067813608787023;0,0383347974175575;0,0743586747048438;0,001240370719939;0,00380082057703926;0,258940107956411;0,314479993266402;0,00103866734639891;0,121568159006902;0,0141787790560493;0,051197969087586;0,0201796732954297;0,0176026132040955;2,70817031896367e-06;4,85063969196377e-05;0,0046551756921502;0,0002696151709463;0,0242445698207422;0,0166943021385879;0,0485767092232489;0,00105348849073661;0,00334316450088186;0,250694364033874;0,31328912437323;0,00106858873083387;0,129200069203883;0,0157006795702606;0,059225385612287;0,0240098704996741;0,0216523595451813;3,8074138495217e-06;0,0862702195827147;1,7425999151803;0,261972847439446
"classe 4";0,0091002124494707;-0,293938719191576;0,125533381550197;-0,416973933623957;-0,277965293393963;-1,09986033673805;0,370140383181781;1,02496102346479;-0,00173800658808622;0,308005946763391;-0,84782397696339;-1,65209036515204;0,570822079431011;-1,39516812513505;-0,688063846862005;-0,17467403561574;2,99080091672232;0,00214405587737941;-0,0692534423752635;0,0295762968188359;-0,0982411584415762;-0,0654900228228717;-0,259132633702071;0,0872069381262107;0,241485978338047;-0,00040948310391667;0,0725677520269615;-0,19975159820552;-0,389240809160687;0,134488556298834;-0,328708635676105;-0,162111307078614;-0,0411540823653287;0,704647756211799;1,59824510227005e-05;0,0162904322090911;0,00285577442848545;0,0298212779546047;0,0108795795948495;0,113549361136109;0,00989146718051611;0,0732386595024114;1,91321445917244e-07;0,00583945033890129;0,042843342044619;0,157481939212145;0,0180437987605768;0,103182011797295;0,0243998892463066;0,00152101917016264;0,390145823651465;4,35521858552493e-06;0,004543813412574;0,000828753450929637;0,00914375766739045;0,00406338563844348;0,0636182877003813;0,00720509704581512;0,0552486404661722;1,58858234262368e-07;0,00498913318446553;0,0378023051301191;0,143540512051636;0,0171359592564101;0,102367002230632;0,0248979948427208;0,00160458823141426;0,47041580472715;0,0525904508869266;2,06692685775776;0,224676221424601
"classe 5";0,00847752478655276;-0,343595939934167;0,14352635888531;-0,498181833284585;-0,298132834332308;-1,14875337728848;1,16912623143671;1,31214879400569;0,169145123387868;0,76782666779704;-0,410454362446376;-0,683828651274694;-0,205625261225087;-0,822188623650866;-1,91829687985608;1,07467516442357;-2,78408712626071;0,00192261844124676;-0,0779241473292781;0,0325503530034628;-0,112982692930178;-0,0676135664194904;-0,26052585904823;0,265146220070159;0,297582317071688;0,038360434402777;0,174135463871398;-0,0930869736625658;-0,155085547809792;-0,0466337674228486;-0,1864642156543;-0,435050683997722;0,243725655954211;-0,631403314736062;1,235881076942e-05;0,0198341359313905;0,003326342817573;0,037929964547842;0,0111518985800745;0,110372643024729;0,08793237634448;0,106952288842976;0,00161464854870009;0,0323354103051087;0,00894746339446984;0,0240411904964829;0,0020863040866596;0,0319294952605454;0,168989703499016;0,0513015670122009;0,301242208496982;3,51563921177947e-06;0,00577513592107263;0,00100769591505756;0,012140649919767;0,00434796241336186;0,0645534957776536;0,0668634794710409;0,0842233156571246;0,00139953938825127;0,0288398200870885;0,00824130363098301;0,0228749813873884;0,00206832650478489;0,0330680883934458;0,180010485852954;0,0564963757014963;0,379168113249843;0,0489177150894741;2,18965652316128;0,234540665904403
"classe 6";-0,0457979476989866;-0,157283978736622;-0,0261664696935567;-0,516636158435143;-0,710941653427331;2,07438886048067;2,27730399322201;-0,116840039275373;-1,34270070163938;1,11202995791711;1,69784483241435;-0,204576771093457;1,18162342895645;-0,132307159048184;0,216377967145838;-1,1259628565455;-0,0158593630949338;-0,010508066086344;-0,0360878713114061;-0,0060037404862204;-0,118539086753695;-0,163121324275287;0,475956158078868;0,522513825657769;-0,0268082504986094;-0,308074671811531;0,255148644751299;0,38956037551356;-0,0469389205933452;0,271116451816933;-0,0303570889270548;0,0496466346776394;-0,258345465284037;-0,00363883632044448;0,00028711741774355;0,00330837836184748;8,80081509701945e-05;0,0324717145251622;0,0504807818554433;0,286495063304848;0,265580983837824;0,000675050495176435;0,0809928041684897;0,0539900744938094;0,121869528963714;0,00171278551966846;0,0548418152424202;0,000658180141567672;0,00171152652999538;0,0448284057188473;7,78127246837401e-06;0,000104897185949913;0,00123720246768947;3,42422323343945e-05;0,0133487746291848;0,0252778262194195;0,215204895871784;0,259366462891987;0,000682739756023857;0,0901633907538516;0,0618450262932944;0,144167643039144;0,0020930733276124;0,0698280623450519;0,000875464403739706;0,00234152002706461;0,063404478140569;1,25789180727708e-05;0,0500117214972259;2,45420883649297;0,301227650886685
"classe 7";-0,0464557580164566;-0,164354567033392;0,0408927027012361;-0,544827100342781;-0,701131705632836;1,6861501945558;-0,0186148624669694;-0,489932449735939;-1,5534241202453;-0,612517173720384;-2,59936317137798;0,0383637251911621;-1,24031298310356;0,237211490495403;-0,00585868236358737;0,714217662370066;0,0313296601249871;-0,011778902149672;-0,0416722586305071;0,0103683841211429;-0,138141435581652;-0,177772618665619;0,427525004420065;-0,00471981629167178;-0,1242228440949;-0,393872180555699;-0,155304318825026;-0,659071033482569;0,00972715943981644;-0,314482550425058;0,0601452016848677;-0,0014854745511258;0,181090575589022;0,00794366547337312;0,000377965092295584;0,00462183924045984;0,000274997879737728;0,0462017165188341;0,0628148678298945;0,242177837983103;2,27028148772279e-05;0,0151855443964375;0,138698950978864;0,0209566845481326;0,36545856548971;7,70614133746904e-05;0,0773074410525588;0,00270679032312753;1,60532345998748e-06;0,0230765787066463;3,88504084834559e-05;0,000130361823167852;0,00163167957519413;0,000101009670449764;0,017930348366344;0,029694125331055;0,171736986477942;2,0931048675894e-05;0,0144991897710551;0,145764380906399;0,0226625024383184;0,408136322353802;8,89022733726454e-05;0,0929252853677198;0,00339893429049137;2,0733433567178e-06;0,0308128944224093;5,92901693789162e-05;0,0604047823708682;2,16974638478838;0,284373596650437
"classe 8";0,0883942402557446;-0,145187420486131;0,0153357026173134;-0,53626534730759;-0,497643933232328;0,190005364522717;-2,02227743658883;-0,596731190751075;-0,39334676908308;0,821082474306399;1,7014805823284;-0,0619582149156119;-2,26245896404293;-0,992554913663119;-0,983792621794412;-0,804831584603873;0,112875694503201;0,0217570993770945;-0,0357360064036014;0,00377468492174491;-0,13199478178789;-0,122488620055087;0,0467673638705567;-0,497757444700247;-0,14687766737991;-0,0968172215727986;0,202098835157011;0,41879744665275;-0,0152502135347981;-0,55687502234153;-0,244304559112815;-0,242147834258266;-0,198098888766827;0,0277828928158598;0,00142841978543777;0,00376482326156198;4,03720129725894e-05;0,0467235151552568;0,0330320857507367;0,00321002889504178;0,279689942102304;0,0235153130920047;0,00928281285060933;0,0393092658976055;0,163453245796539;0,000209811144696719;0,268506913542518;0,0494683688285072;0,0472503577976237;0,0305883185775941;0,000526405508987528;0,000446331092466618;0,00120411283474889;1,34343470621581e-05;0,0164273940853686;0,0141464228343229;0,00206224819708971;0,233609596649374;0,0203407369965702;0,00883812992317413;0,0385108205084934;0,165372465559245;0,000219284028220037;0,292395462394942;0,0562753616161211;0,0552861476511368;0,037001491440966;0,000727796693084552;0,0571227631476127;2,12369090563152;0,25762726410924
"classe 9";0,0012566239117236;-0,185020856642684;0,0957741042030127;-0,494036038539909;-0,541778299519367;0,535016740568297;-2,2538839096549;-0,216713670855324;0,605231585131969;1,46229313552308;-0,720723163582917;-0,254063663376435;2,32069325011468;0,239861521222269;0,457259595798932;0,116014158581927;-0,639791001202279;0,000322765292433773;-0,0475228191533554;0,0245996884686588;-0,126893722906674;-0,139156377375304;0,137419663206657;-0,578912666251688;-0,0556631548193871;0,155454426533499;0,37559166836451;-0,18511857086864;-0,0652565432198519;0,596072721945066;0,061608706724931;0,117447651424807;0,0297983696409161;-0,164331052173206;3,02242139526491e-07;0,00640124490474039;0,00164856356969662;0,0415173623948873;0,0409900298514501;0,0266470055468401;0,363743227993224;0,0032471500593011;0,0230095456354332;0,130534919290746;0,0307052734136617;0,00369362095413628;0,295778078137867;0,00302465694205999;0,0106871053170452;0,000665432525505003;0,0177064812212666;9,77299441406816e-08;0,00211864594632271;0,000567692568291358;0,0151054710511804;0,0181660382009406;0,01771543227703;0,314398234049807;0,00290662917772813;0,0226704520700128;0,132338404442037;0,0321480009214484;0,00399486514637944;0,333313182121843;0,00356072291127172;0,01294025003177;0,000832988490524833;0,0253333875106491;0,0618895053528171;2,07550163760404;0,266601858386814
"classe 10";0,0327347238387703;-0,281035412161966;0,0966025903705684;-0,573038173268485;-0,621462594159751;0,899065569075196;0,282749552484061;0,798254822221343;1,90439612234909;-0,00336741416710606;1,4265626195487;-1,47847877110332;-1,14281535588563;2,20371354039551;0,965292380595495;2,58699947412663;0,726725254542669;0,00661448861771198;-0,0567869624950882;0,0195198449693603;-0,115790024478827;-0,125574826158602;0,181668218816048;0,0571333274653719;0,161298059565824;0,384808698461471;-0,00068043105508239;0,2882560505454;-0,298746403090446;-0,230921122196824;0,445289784677513;0,195050231541922;0,522737832153965;0,146844554059843;0,000141149344243562;0,0101639445841135;0,00115426139686093;0,0384411814725486;0,0371177922153395;0,0517861384485679;0,00393960616766952;0,0303200539223016;0,156782136023274;4,7639590289405e-07;0,0827894150932891;0,0860824314733819;0,0493627976169085;0,175704288957723;0,0327770086172971;0,22771510656742;0,0157222117031566;4,20351798616769e-05;0,00309825843950153;0,000366077545837659;0,0128813877867849;0,0151504500649967;0,0317086884850548;0,00313616858121655;0,024996468088006;0,142268949331153;4,44824415312882e-07;0,0798320399751359;0,085748342365773;0,0512327516370475;0,19050475820876;0,0365521816658537;0,262535615544581;0,0207174382266339;0,0392279440493866;2,50186872036353;0,245541317586511
