"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"18";"***";"";""
"**";"classe";"1";"**";"";""
"****";"61";"1265";"4.82";"****";""
"0";"113";"0.00";"-6.29";"monde";"0.01216502"
"0";" 96";"0.00";"-5.26";"nombreux";"0.02178083"
"1";"126";"0.79";"-4.95";"fille";"0.02611819"
"0";" 84";"0.00";"-4.56";"provoquer";"0.03275549"
"0";" 82";"0.00";"-4.44";"incident";"0.03505582"
"0";" 77";"0.00";"-4.15";"prétexte";"0.04153590"
"2";"133";"1.50";"-3.57";"petit";"0.05897711"
"0";" 61";"0.00";"-3.25";"humour";"0.07154944"
"0";" 57";"0.00";"-3.02";"super";"0.08203384"
"0";" 57";"0.00";"-3.02";"tenter";"0.08203384"
"0";" 53";"0.00";"-2.80";"planète";"0.09410931"
"0";" 50";"0.00";"-2.64";"grave";"0.10436960"
"0";" 49";"0.00";"-2.58";"péril";"0.10804437"
"0";" 47";"0.00";"-2.47";"bellver";"0.11580815"
"0";" 46";"0.00";"-2.42";"ambre";"0.11990889"
"0";" 43";"0.00";"-2.26";"parent";"0.13316354"
"0";" 42";"0.00";"-2.20";"gasnier";"0.13792275"
"0";" 42";"0.00";"-2.20";"univers";"0.13792275"
"1";" 76";"1.32";"-2.17";"vie";"0.14109381"
"0";" 41";"0.00";"-2.15";"passer";"0.14286521"
"0";" 41";"0.00";"-2.15";"côté";"0.14286521"
"0";" 39";"0.00";"-2.04";"etienne";"0.15333369"
"0";" 39";"0.00";"-2.04";"carbonnier";"0.15333369"
"1";" 73";"1.37";"-2.01";"prendre";"0.15608628"
"*****";"*";"*";"*";"*";"*"
" 4";"265";"1.51";"-8.02";"s";"0.004638111"
"11";"424";"2.59";"-6.90";"qui";"0.008635950"
" 3";"215";"1.40";"-6.63";"ne";"0.010042597"
"23";"669";"3.44";"-5.93";"et";"0.014906293"
"13";"437";"2.97";"-4.96";"un";"0.025878177"
" 1";"126";"0.79";"-4.95";"leur";"0.026118187"
" 7";"292";"2.40";"-4.86";"il";"0.027428011"
"22";"627";"3.51";"-4.67";"être";"0.030652737"
