"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7";"classe 8";"classe 9";"classe 10";"classe 11";"classe 12";"classe 13";"classe 14";"classe 15";"classe 16";"classe 17";"classe 18"
"petit";0,059;0,109;0,089;0,269;0,007;0,005;0,013;0,08;0,908;0,045;0,717;0,586;0,417;0,697;0,011;0;0;0,021
"ancien";0,252;0,068;0,366;0,01;0,013;0;0,001;0,03;0,721;0,207;0,105;0,064;0,002;0,009;0;0;0,004;0,034
"fille";0,026;0,014;0,004;0,023;0,03;0,006;0,002;0,006;0,266;0,055;0,078;0,004;0,931;0,005;0,013;0;0;0,025
"monde";0,012;0,189;0,868;0,1;0,126;0;0,816;0,031;0,402;0,438;0,108;0,024;0,471;0,009;0,02;0;0,004;0,034
"extraire";0;0,349;0,061;0,945;0,851;0,07;0,039;0,039;0,145;0,84;0,497;0;0,585;0;0,337;0,022;0,046;0,139
"nouveau";0,455;0,923;0,278;0,754;0,027;0,914;0,074;0,074;0,719;0,709;0,054;0,312;0,842;0,451;0,119;0,003;0,01;0
"nombreux";0,022;0,035;0,002;0,02;0,08;0,974;0,466;0,007;0,009;0,039;0,166;0,014;0,051;0,021;0,033;0,003;0;0,053
"vie";0,141;0,063;0;0,907;0,414;0,119;0,055;0,628;0,067;0,542;0,277;0,013;0;0,319;0,06;0,008;0,021;0,088
"terre";0,564;0,097;0;0,219;0,077;0;0;0,289;0,023;0,342;0,124;0,173;0,029;0,032;0,094;0,018;0,04;0,129
"provoquer";0,033;0,05;0,004;0,098;0,036;0,027;0,109;0,04;0,048;0,054;0,225;0,022;0,032;0,011;0,047;0,005;0;0,072
"incident";0,035;0,053;0,016;0,032;0,038;0,252;0,013;0,043;0,052;0,057;0,072;0,023;0,01;0,012;0,05;0,006;0;0,075
"prendre";0,156;1;0,026;0,365;0,817;0,339;0,174;0,282;0,437;0,584;0,299;0,282;0,145;0,018;0,066;0,01;0,024;0
"prétexte";0,042;0,061;0,006;0,038;0,045;0,035;0,016;0,016;0,019;0,066;0,082;0,028;0,013;0,015;0,058;0,008;0;0,086
"homme";0,581;0,756;0;0,548;0,616;0,583;0,973;0,57;0,34;0,074;0,183;0,445;0,542;0,033;0,734;0,019;0,042;0,132
"présenter";0,716;0,405;0,081;0;0;0,083;0,767;0,16;0,857;0,131;0,398;0,205;0,863;0,382;0,12;0,028;0,057;0,158
"humour";0,072;0,099;0,051;0,219;0,077;0,062;0,034;0,034;0,039;0,104;0,124;0,173;0,094;0,032;0,094;0;0,04;0,129
"super";0,082;0,11;0,065;0,077;0,286;0,072;0,041;0,341;0,382;0,117;0,138;0,494;0,035;0,038;0,106;0;0,048;0,142
"planète";0,094;0,124;0;0,089;0,1;0,083;0,787;0,402;0,327;0,43;0,153;0,567;0,042;0,046;0,12;0;0,057;0,518
"invité";0,298;0,051;0,459;0,659;0,097;0,08;0,153;0,047;0,173;0,128;0,953;0,548;0,337;0;0;0,027;0,054;0,154
"voir";0,342;0,968;0,921;0;0,254;0,093;0,056;0,184;0;0,47;0,863;0,628;0,16;0,053;0,43;0,034;0,064;0,171
"tenter";0,082;0,11;0,704;0,252;0,087;0,072;0,341;0,216;0,046;0,117;0,452;0,202;0,035;0,038;0,106;0,023;0,048;0
"sauver";0,26;0,349;0,018;0,583;0,085;0,228;0,039;0,327;0,145;0,114;0,134;0,194;0,033;0,036;0,103;0;0,046;0,139
"tête";0,269;0,359;0,019;0,252;0,087;0,072;0,041;0,134;0,046;0,117;0,452;0,062;0,114;0,125;0,348;0;0,048;0,142
"film";0,803;0,214;0,967;0,322;0,266;0,535;0,112;0,369;0,122;0,587;0,821;0;0,101;0,07;0,21;0,077;0,124;0,255
"venir";0,393;0,019;0,643;0,624;0,415;0,665;0,551;0,991;0;0,528;0,185;0,094;0,906;0,957;0,149;0,042;0,077;0,19
"grand";0,38;0;0,1;0,36;0,892;0,341;0,515;0,515;0,968;0,513;0,59;0,363;0,458;0,2;0,144;0,04;0,073;0,185
"premier";0,561;0,208;0,535;0;0,178;0,908;0,352;0,352;0,383;0,617;0,013;0,138;0,742;0,695;0,668;0,073;0,119;0,248
"parler";0,878;0,5;0,245;0;0;0,108;0,067;0,067;0,588;0,889;0,606;0,765;0,098;0,064;0,149;0,042;0,077;0,19
"phénomène";0,522;0,641;0,194;0,499;0,012;0,477;0,321;0,321;0,35;0;0;0,13;0,087;0,307;0,191;0,065;0,109;0,235
"passer";0,143;0,064;0,411;0,136;0,947;0;0,842;0,278;0,306;0,053;0,643;0,852;0,248;0,266;0,173;0,055;0,095;0,217
"parent";0,133;0,549;0,044;0,416;0,14;0,12;0,077;0,46;0,28;0,176;0,2;0,349;0;0,073;0,163;0;0,087;0,205
"année";0,123;0,383;0,605;0,229;0,011;0,021;0,164;0,164;0,581;0,352;0,275;0,674;0,105;0,159;0,899;0,122;0,178;0,319
"grave";0,104;0,135;0,097;0,099;0,111;0,093;0,056;0,056;0,063;0,143;0,166;0,081;0,049;0,053;0,131;0;0,064;0,171
"péril";0,108;0,139;0,031;0,102;0,114;0,097;0,058;0,058;0,065;0,148;0,17;0,084;0,051;0,055;0,135;0;0,067;0,175
"gasnier";0,138;0,172;0,046;0,947;0,145;0,125;0,081;0,081;0,089;0,181;0,206;0,363;0,236;0;0,168;0,052;0,091;0,211
"bellver";0,116;0,148;0,035;0,36;0,122;0,104;0,064;0,064;0,071;0,156;0,18;0,091;0,056;0;0,144;0,04;0,073;0,185
"ambre";0,12;0,153;0,037;0,114;0,126;0,108;0,067;0,067;0,075;0,161;0,185;0,094;0,059;0;0,149;0,042;0,077;0,19
"étrange";0,755;0,268;0,106;0,729;0,782;0,177;0,015;0,518;0,323;0;0,3;0,195;0,143;0,151;0,263;0,115;0,17;0,31
"reportage";0,958;0,856;0,736;0;0,464;0,12;0,077;0,254;0,66;0,811;0;0,106;0,545;0,242;0,163;0,049;0,087;0,205
"fry";0,212;0,251;0,094;0,204;0,22;0,197;0,142;0,47;0,505;0,261;0,287;0,18;0,13;0,137;0,246;0,102;0,155;0
"découvrir";0,448;0,584;0;0,136;0,492;0,173;0,034;0,139;0,713;0,613;0,694;0,852;0,926;0,081;0,173;0,055;0,095;0,217
"émission";0,246;0,001;0,626;0,773;0;0,175;0,123;0,123;0,439;0,238;0,082;0,159;0,061;0,581;0,224;0,086;0,136;0,269
"millénaire";0,22;0,259;0,332;0,212;0,228;0,205;0,493;0,149;0,16;0,269;0,295;0,187;0,136;0,144;0,255;0,109;0,163;0
"départ";0,422;0,162;0,041;0,122;0,135;0,116;0,074;0,074;0,081;0,171;0,195;0,102;0,065;0,23;0,158;0,047;0,083;0
"côté";0,143;0,178;0,411;0,136;0,492;0,13;0,842;0,842;0,093;0,187;0,211;0,852;0,474;0,081;0,173;0;0,095;0,217
