"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12"
"1";1;0;0;0;0;0;0;0;0;0;0;0;1
"2";2;0;0;0;0;0;0;0;0;0;0;0;1
"3";3;0;0;0;0;0;0;0;0;0;0;0;1
"4";4;0;0;0;0;0;0;0;0;0;0;0;1
"5";5;0;0;0;0;0;0;0;0;0;0;0;1
"6";6;0;0;0;0;0;0;0;0;0;0;0;1
"7";7;0;0;0;0;0;0;0;0;0;0;0;2
"8";8;0;0;0;0;0;0;0;0;0;0;0;2
"9";9;0;0;0;0;0;0;0;0;0;0;0;1
"10";10;0;0;0;0;0;0;0;0;0;0;0;2
"11";11;0;0;0;0;0;0;0;0;0;0;0;2
"12";12;0;0;0;0;0;0;0;0;0;0;0;2
"13";13;0;0;0;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;0;0;0;1
"15";15;0;0;0;0;0;0;0;0;0;0;0;1
"16";16;0;0;0;0;0;0;0;0;0;0;0;1
"17";17;0;0;0;0;0;0;0;0;0;0;0;1
"18";18;0;0;0;0;0;0;0;0;0;0;0;1
"19";19;0;0;0;0;0;0;0;0;0;0;0;2
"20";20;0;0;0;0;0;0;0;0;0;0;0;2
"21";21;0;0;0;0;0;0;0;0;0;0;0;2
"22";22;0;0;0;0;0;0;0;0;0;0;0;2
"23";23;0;0;0;0;0;0;0;0;0;0;0;1
"24";24;0;0;0;0;0;0;0;0;0;0;0;1
"25";25;0;0;0;0;0;0;0;0;0;0;0;1
"26";26;0;0;0;0;0;0;0;0;0;0;0;1
"27";27;0;0;0;0;0;0;0;0;0;0;0;2
"28";28;0;0;0;0;0;0;0;0;0;0;0;1
"29";29;0;0;0;0;0;0;0;0;0;0;0;1
"30";30;0;0;0;0;0;0;0;0;0;0;0;1
"31";31;0;0;0;0;0;0;0;0;0;0;0;1
"32";32;0;0;0;0;0;0;0;0;0;0;0;2
"33";33;0;0;0;0;0;0;0;0;0;0;0;2
"34";34;0;0;0;0;0;0;0;0;0;0;0;1
"35";35;0;0;0;0;0;0;0;0;0;0;0;1
"36";36;0;0;0;0;0;0;0;0;0;0;0;1
"37";37;0;0;0;0;0;0;0;0;0;0;0;1
"38";38;0;0;0;0;0;0;0;0;0;0;0;1
"39";39;0;0;0;0;0;0;0;0;0;0;0;1
"40";40;0;0;0;0;0;0;0;0;0;0;0;1
"41";41;0;0;0;0;0;0;0;0;0;0;0;1
"42";42;0;0;0;0;0;0;0;0;0;0;0;1
"43";43;0;0;0;0;0;0;0;0;0;0;0;1
"44";44;0;0;0;0;0;0;0;0;0;0;0;1
"45";45;0;0;0;0;0;0;0;0;0;0;0;2
"46";46;0;0;0;0;0;0;0;0;0;0;0;1
"47";47;0;0;0;0;0;0;0;0;0;0;0;2
"48";48;0;0;0;0;0;0;0;0;0;0;0;2
"49";49;0;0;0;0;0;0;0;0;0;0;0;0
"50";50;0;0;0;0;0;0;0;0;0;0;0;0
"51";51;0;0;0;0;0;0;0;0;0;0;0;0
"52";52;0;0;0;0;0;0;0;0;0;0;0;0
"53";53;0;0;0;0;0;0;0;0;0;0;0;0
"54";54;0;0;0;0;0;0;0;0;0;0;0;0
