"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"2";"***";"";""
"**";"classe";"1";"**";"";""
"****";"575";"1095";"52.51";"****";""
"56";"61";" 91.80";"39.99";"extraire";"2.548538e-10"
"35";"36";" 97.22";"29.84";"plateau";"4.691459e-08"
"35";"38";" 92.11";"24.75";"émission";"6.534606e-07"
"48";"57";" 84.21";"24.23";"présenter";"8.551643e-07"
"24";"25";" 96.00";"19.40";"sujet";"1.058182e-05"
"36";"44";" 81.82";"15.79";"reportage";"7.080987e-05"
"20";"21";" 95.24";"15.67";"retour";"7.524489e-05"
"20";"21";" 95.24";"15.67";"pari";"7.524489e-05"
"17";"17";"100.00";"15.62";"extrait";"7.758051e-05"
"19";"20";" 95.00";"14.75";"semaine";"1.228687e-04"
"40";"51";" 78.43";"14.41";"parler";"1.469019e-04"
"20";"22";" 90.91";"13.27";"consacrer";"2.691028e-04"
"19";"21";" 90.48";"12.38";"frédéric";"4.351033e-04"
"16";"17";" 94.12";"11.99";"yves";"5.356694e-04"
"13";"13";"100.00";"11.90";"visuel";"5.620107e-04"
"13";"13";"100.00";"11.90";"nes";"5.620107e-04"
"13";"13";"100.00";"11.90";"portrait";"5.620107e-04"
"18";"20";" 90.00";"11.48";"famille";"7.030022e-04"
"30";"38";" 78.95";"11.03";"film";"8.953351e-04"
"12";"12";"100.00";"10.97";"quotidien";"9.247793e-04"
"12";"12";"100.00";"10.97";"damien";"9.247793e-04"
"14";"15";" 93.33";"10.16";"frère";"1.432808e-03"
"11";"11";"100.00";"10.05";"mois";"1.524495e-03"
"11";"11";"100.00";"10.05";"matin";"1.524495e-03"
"11";"11";"100.00";"10.05";"he";"1.524495e-03"
"16";"18";" 88.89";" 9.71";"professeur";"1.831035e-03"
"18";"21";" 85.71";" 9.47";"montrer";"2.093876e-03"
"13";"14";" 92.86";" 9.26";"bande";"2.346015e-03"
"13";"14";" 92.86";" 9.26";"public";"2.346015e-03"
"10";"10";"100.00";" 9.13";"cnews";"2.518880e-03"
"10";"10";"100.00";" 9.13";"présentation";"2.518880e-03"
"10";"10";"100.00";" 9.13";"info";"2.518880e-03"
"10";"10";"100.00";" 9.13";"richard";"2.518880e-03"
"10";"10";"100.00";" 9.13";"média";"2.518880e-03"
"10";"10";"100.00";" 9.13";"courant";"2.518880e-03"
"10";"10";"100.00";" 9.13";"archive";"2.518880e-03"
"10";"10";"100.00";" 9.13";"secte";"2.518880e-03"
"10";"10";"100.00";" 9.13";"galley";"2.518880e-03"
" 9";" 9";"100.00";" 8.21";"déguiser";"4.173871e-03"
" 9";" 9";"100.00";" 8.21";"présidentiel";"4.173871e-03"
" 9";" 9";"100.00";" 8.21";"porter";"4.173871e-03"
" 9";" 9";"100.00";" 8.21";"diffuser";"4.173871e-03"
"20";"25";" 80.00";" 7.75";"témoignage";"5.364334e-03"
"18";"22";" 81.82";" 7.73";"inviter";"5.423025e-03"
" 8";" 8";"100.00";" 7.29";"thierry";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"lci";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"justice";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"handicapé";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"spectacle";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"manifestation";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"mai";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"entourer";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"elisabeth";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"compilation";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"appel";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"user";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"témoigner";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"physique";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"lancer";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"isabelle";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"compagnie";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"amour";"6.941561e-03"
" 8";" 8";"100.00";" 7.29";"actu";"6.941561e-03"
"13";"15";" 86.67";" 7.11";"marier";"7.645646e-03"
"28";"38";" 73.68";" 7.08";"année";"7.808888e-03"
"15";"18";" 83.33";" 6.97";"jacques";"8.280240e-03"
"10";"11";" 90.91";" 6.57";"star";"1.037304e-02"
"10";"11";" 90.91";" 6.57";"internet";"1.037304e-02"
"10";"11";" 90.91";" 6.57";"beau";"1.037304e-02"
"10";"11";" 90.91";" 6.57";"annonce";"1.037304e-02"
"10";"11";" 90.91";" 6.57";"aimer";"1.037304e-02"
" 7";" 7";"100.00";" 6.37";"acteur";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"élection";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"cercle";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"séquence";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"problème";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"duplex";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"didier";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"choisir";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"jamy";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"gourmaud";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"crise";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"cinéma";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"christelle";"1.159895e-02"
" 7";" 7";"100.00";" 6.37";"ballestrero";"1.159895e-02"
"12";"14";" 85.71";" 6.27";"voix";"1.228419e-02"
"14";"17";" 82.35";" 6.17";"sortir";"1.301871e-02"
"28";"39";" 71.79";" 6.03";"image";"1.406204e-02"
" 9";"10";" 90.00";" 5.69";"scientologie";"1.708387e-02"
" 9";"10";" 90.00";" 5.69";"the";"1.708387e-02"
" 9";"10";" 90.00";" 5.69";"carrière";"1.708387e-02"
" 6";" 6";"100.00";" 5.46";"fils";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"droite";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"yann";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"télévision";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"nicolas";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"adepte";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"style";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"salle";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"parisien";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"laurence";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"janvier";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"exercice";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"contacter";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"bourret";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"argent";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"zeitoun";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"vraiment";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"ven";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"thouanel";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"show";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"responsable";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"musique";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"couple";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"coach";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"choix";"1.950143e-02"
" 6";" 6";"100.00";" 5.46";"canular";"1.950143e-02"
"11";"13";" 84.62";" 5.44";"jouer";"1.970809e-02"
"13";"16";" 81.25";" 5.38";"information";"2.039519e-02"
"23";"32";" 71.88";" 4.96";"évoquer";"2.599546e-02"
" 8";" 9";" 88.89";" 4.82";"luc";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"philippe";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"revue";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"davant";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"monter";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"intéresser";"2.820352e-02"
" 8";" 9";" 88.89";" 4.82";"cadre";"2.820352e-02"
"16";"21";" 76.19";" 4.81";"partir";"2.822781e-02"
"10";"12";" 83.33";" 4.62";"bernard";"3.156180e-02"
"10";"12";" 83.33";" 4.62";"heure";"3.156180e-02"
"10";"12";" 83.33";" 4.62";"magazine";"3.156180e-02"
"12";"15";" 80.00";" 4.61";"claude";"3.181703e-02"
"12";"15";" 80.00";" 4.61";"commenter";"3.181703e-02"
" 5";" 5";"100.00";" 4.54";"gasnier";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"troisième";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"écriture";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"bien_être";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"élève";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"stéphane";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"semoun";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"saint";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"populaire";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"louis";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"homosexuel";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"euro";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"conséquence";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"animer";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"zarzavatdjian";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"www";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"téléphone";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"totalement";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"suivant";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"spécialiser";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"santé";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"roulant";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"plage";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"participation";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"original";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"nouvel";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"méthode";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"maladie";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"intituler";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"illustration";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"gueule";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"février";"3.306364e-02"
" 5";" 5";"100.00";" 4.54";"fragile";"3.306364e-02"
