"";"classe 1";"classe 2"
"petit";0,443;0,443
"ancien";0;0
"fille";0,245;0,245
"monde";0;0
"extraire";0;0
"nouveau";0,424;0,424
"nombreux";0,009;0,009
"vie";0,414;0,414
"terre";0;0
"provoquer";0,608;0,608
"incident";0,018;0,018
"prendre";0,413;0,413
"homme";0;0
"présenter";0;0
"humour";0,05;0,05
"super";0,247;0,247
"planète";0;0
"invité";0,448;0,448
"voir";0,105;0,105
"tenter";0,006;0,006
"sauver";0,634;0,634
"tête";0,315;0,315
"film";0,001;0,001
"venir";0;0
"grand";0,066;0,066
"premier";0,053;0,053
"parler";0;0
"phénomène";0,101;0,101
"passer";0,002;0,002
"parent";0,042;0,042
"année";0,008;0,008
"gasnier";0,033;0,033
"étrange";0;0
"reportage";0;0
"découvrir";0;0
"émission";0;0
"côté";0,651;0,651
"univers";0,65;0,65
"rendre";0;0
"image";0,014;0,014
"enfant";0,046;0,046
"spécialiste";0,086;0,086
"espace";0;0
"propre";0,154;0,154
"livre";0,291;0,291
"astronaute";0;0
"aller";0,931;0,931
"évoquer";0,026;0,026
"recherche";0;0
"quitter";0,854;0,854
"scientifique";0,002;0,002
"preuve";0;0
"humain";0;0
"histoire";0,395;0,395
"donner";0,293;0,293
"courir";0,177;0,177
"plateau";0;0
"lointain";0,003;0,003
"expliquer";0,43;0,43
"débat";0,161;0,161
"dernier";0,773;0,773
"retrouver";0,001;0,001
"posséder";0,449;0,449
"origine";0;0
"comprendre";0,055;0,055
"terrien";0,023;0,023
"robot";0,57;0,57
"naître";0,047;0,047
"inviter";0,005;0,005
"frédéric";0;0
"voler";0,203;0,203
"vivre";0,132;0,132
"président";0,323;0,323
"membre";0,92;0,92
"général";0,486;0,486
"trouver";0,006;0,006
"revenir";0,787;0,787
"luc";0,028;0,028
"citation";0,133;0,133
"cas";0,31;0,31
"américain";0,103;0,103
"acteur";0,012;0,012
"témoin";0,839;0,839
"thierry";0,007;0,007
"sujet";0;0
"question";0,049;0,049
"manquer";0,217;0,217
"grandir";0,057;0,057
"forme";0,064;0,064
"député";0,057;0,057
"claude";0,032;0,032
"unir";0,873;0,873
"raconter";0,052;0,052
"porte";0,685;0,685
"intervenir";0,92;0,92
"figure";0,27;0,27
"édition";0,806;0,806
"visuel";0,001;0,001
"site";0,038;0,038
"retour";0;0
"recevoir";0,06;0,06
"environnement";0,92;0,92
"danger";0,623;0,623
"affaire";0,042;0,042
"théoricien";0;0
"ciel";0;0
"visiteur";0;0
"témoignage";0,005;0,005
"parole";0,127;0,127
"objet";0;0
"femme";0,245;0,245
"créature";0,092;0,092
"connaître";0,89;0,89
"partir";0,028;0,028
"mélenchon";0,099;0,099
"culture";0,697;0,697
"temps";0,136;0,136
"rencontre";0,697;0,697
"penser";0,205;0,205
"mettre";0,136;0,136
"jour";0,137;0,137
"identifier";0;0
"découverte";0,271;0,271
"devenir";0,322;0,322
"voyage";0,449;0,449
"vaisseau";0;0
"sy";0,057;0,057
"pierre";0,974;0,974
"photo";0,99;0,99
"montrer";0,002;0,002
"humanité";0;0
"cnews";0,003;0,003
"bernard";0,032;0,032
"avocat";0,078;0,078
"affirmer";0,001;0,001
"écrivain";0,08;0,08
"françois";0,291;0,291
"famille";0,001;0,001
"extrait";0;0
"entier";0,001;0,001
"consacrer";0;0
"équipe";0,847;0,847
"volant";0;0
"semaine";0;0
"laisser";0;0
"haut";0,806;0,806
"fois";0,498;0,498
"enquête";0,027;0,027
"déclaration";0,201;0,201
"anne";0,047;0,047
"ami";0,006;0,006
"visite";0,009;0,009
"réalité";0,071;0,071
"rester";0,205;0,205
"professeur";0,002;0,002
"pari";0;0
"lci";0,007;0,007
"information";0,02;0,02
"ex";0,737;0,737
"désert";0,092;0,092
"animal";0,971;0,971
"agir";0,013;0,013
"permettre";0,243;0,243
"partie";0,599;0,599
"maison";0,49;0,49
"contact";0,001;0,001
"bruno";0,057;0,057
"état";0,217;0,217
"vidéo";0,117;0,117
"utiliser";0,651;0,651
"système";0,007;0,007
"spatial";0;0
"réputation";0,13;0,13
"possible";0;0
"médecin";0,201;0,201
"mystérieux";0,002;0,002
"giorgio";0;0
"gens";0,266;0,266
"expérience";0,599;0,599
"décider";0;0
"cours";0,461;0,461
"commentaire";0,08;0,08
"cacher";0;0
"yves";0,001;0,001
"tsoukalos";0;0
"troisième";0,033;0,033
"tomber";0,83;0,83
"suite";0,393;0,393
"sortir";0,013;0,013
"seul";0,044;0,044
"sentir";0,85;0,85
"révéler";0,019;0,019
"olivier";0,971;0,971
"jacques";0,008;0,008
"incroyable";0;0
"gouvernement";0,011;0,011
"étude";0,307;0,307
"voix";0,012;0,012
"université";0,08;0,08
"présentation";0,003;0,003
"frère";0,001;0,001
"corps";0,727;0,727
"commenter";0,032;0,032
"école";0,315;0,315
"technologie";0;0
"sembler";0;0
"secret";0,001;0,001
"scientologie";0,017;0,017
"père";0,076;0,076
"persuader";0,226;0,226
"mars";0;0
"lune";0,002;0,002
"lopez";0,099;0,099
"info";0,003;0,003
"exister";0,039;0,039
"continuer";0,886;0,886
"chercher";0,644;0,644
"blanc";0,727;0,727
"arriver";0,011;0,011
"apparition";0,458;0,458
"époque";0,85;0,85
"yacine";0,078;0,078
"soucoupe";0,071;0,071
"nes";0,001;0,001
"mort";0,225;0,225
"millier";0,033;0,033
"marier";0,008;0,008
"lieu";0,055;0,055
"etats";0,854;0,854
"déguiser";0,004;0,004
"discussion";0,737;0,737
"créer";0,266;0,266
"construire";0,114;0,114
"commencer";0,648;0,648
"claviere";0,035;0,035
"belhousse";0,078;0,078
"bande";0,002;0,002
"ville";0,004;0,004
"travailler";0,458;0,458
"théorie";0,002;0,002
"star";0,01;0,01
"réaliser";0,685;0,685
"rencontrer";0,114;0,114
"quotidien";0,001;0,001
"public";0,002;0,002
"présidentiel";0,004;0,004
"près_de";0,393;0,393
"plan";0,85;0,85
"part";0,644;0,644
"nasa";0,005;0,005
"moment";0,727;0,727
"italie";0,393;0,393
"géant";0,001;0,001
"groupe";0,127;0,127
"dieu";0,001;0,001
"actuel";0,346;0,346
"élection";0,012;0,012
"âge";0,902;0,902
"travers";0,225;0,225
"suggérer";0,001;0,001
"richard";0,003;0,003
"rappeler";0,114;0,114
"portrait";0,001;0,001
"omar";0,099;0,099
"nouvelle";0,307;0,307
"média";0,003;0,003
"long";0,307;0,307
"jouer";0,02;0,02
"humoriste";0,13;0,13
"heure";0,032;0,032
"explorer";0;0
"envoyer";0,007;0,007
"entrer";0,247;0,247
"coeur";0,08;0,08
"antique";0;0
"alain";0,117;0,117
"évolution";0,902;0,902
"écrire";0,323;0,323
"véritable";0,002;0,002
"visage";0,634;0,634
"toulouse";0,574;0,574
"théâtre";0,05;0,05
"science";0,627;0,627
"répondre";0,892;0,892
"pyramide";0,018;0,018
"philippe";0,028;0,028
"mois";0,002;0,002
"mauvais";0,145;0,145
"matin";0,002;0,002
"magazine";0,032;0,032
"légende";0;0
"ligne";0,039;0,039
"laure";0,092;0,092
"internet";0,01;0,01
"héros";0,892;0,892
"he";0,002;0,002
"guerre";0,013;0,013
"explication";0,007;0,007
"décrire";0,458;0,458
"débarquer";0,145;0,145
"dossier";0,266;0,266
"différent";0,458;0,458
"damien";0,001;0,001
"courant";0,003;0,003
"conseil";0,634;0,634
"chef";0,861;0,861
"bord";0,002;0,002
"beau";0,01;0,01
"archive";0,003;0,003
"élément";0,039;0,039
"zorbb";0,002;0,002
"zone";0,346;0,346
"victime";0,892;0,892
"travail";0,266;0,266
"transformer";0,638;0,638
"the";0,017;0,017
"structure";0,023;0,023
"siècle";0,068;0,068
"servir";0,001;0,001
"représentant";0,505;0,505
"poser";0,022;0,022
"observation";0,068;0,068
"nuit";0,638;0,638
"notamment";0,05;0,05
"mythe";0,023;0,023
"mystère";0,007;0,007
"mot";0,892;0,892
"mener";0,426;0,426
"meilleur";0,737;0,737
"marine";0,315;0,315
"main";0,152;0,152
"leçon";0,623;0,623
"justice";0,007;0,007
"important";0,039;0,039
"handicapé";0,007;0,007
"garçon";0,281;0,281
"gagner";0,127;0,127
"force";0,003;0,003
"fils";0,02;0,02
"fantôme";0,068;0,068
"face";0,266;0,266
"extra_terrestre";0,022;0,022
"expert";0,177;0,177
"effet";0,003;0,003
"convaincre";0,873;0,873
"cnrs";0,001;0,001
"chose";0,152;0,152
"chine";0,152;0,152
"carrière";0,017;0,017
"base";0,004;0,004
"avenir";0,022;0,022
"association";0,458;0,458
"apporter";0,022;0,022
"annonce";0,01;0,01
"aimer";0,01;0,01
"également";0,201;0,201
"xavier";0,346;0,346
"vendre";0,426;0,426
"trace";0,007;0,007
"tourner";0,201;0,201
"suivre";0,393;0,393
"sud";0,393;0,393
"substance";0,068;0,068
"secte";0,003;0,003
"réseau";0,078;0,078
"récit";0,068;0,068
"rouge";0,393;0,393
"revue";0,028;0,028
"rapport";0,886;0,886
"préparer";0,08;0,08
"porter";0,004;0,004
"nucléaire";0,627;0,627
"nombre";0,608;0,608
"nom";0,068;0,068
"mère";0,393;0,393
"moyen";0,145;0,145
"message";0,426;0,426
"loi";0,047;0,047
"jerry";0,042;0,042
"galley";0,003;0,003
"fou";0,886;0,886
"façon";0,08;0,08
"enlever";0,854;0,854
"diffuser";0,004;0,004
"davant";0,028;0,028
"clair";0,266;0,266
"christian";0,047;0,047
"chien";0,486;0,486
"chercheur";0,145;0,145
"chaîne";0,13;0,13
"capable";0,039;0,039
"bout";0,92;0,92
"astrophysicien";0,002;0,002
"appeler";0,854;0,854
"aider";0,486;0,486
"agnès";0,057;0,057
"étranger";0,201;0,201
"église";0,57;0,57
"virtuel";0,92;0,92
"village";0,247;0,247
"thème";0,201;0,201
"spectacle";0,007;0,007
"signe";0,023;0,023
"scooby";0,003;0,003
"says";0,217;0,217
"roswell";0,118;0,118
"relation";0,886;0,886
"puissant";0,013;0,013
"prouver";0,886;0,886
"procès";0,13;0,13
"plaindre";0,078;0,078
"place";0,068;0,068
"pilote";0,203;0,203
"perdre";0,886;0,886
"pays";0,346;0,346
"participer";0,393;0,393
"musk";0,023;0,023
"monter";0,028;0,028
"militaire";0,002;0,002
"maître";0,623;0,623
"manifestation";0,007;0,007
"mai";0,007;0,007
"machine";0,393;0,393
"intérieur";0,13;0,13
"intéresser";0,028;0,028
"intervention";0,068;0,068
"international";0,078;0,078
"intelligent";0,003;0,003
"garder";0,627;0,627
"fait";0,393;0,393
"existence";0,393;0,393
"entourer";0,007;0,007
"elon";0,023;0,023
"elisabeth";0,007;0,007
"elbaz";0,003;0,003
"droite";0,02;0,02
"doo";0,003;0,003
"disparaître";0,002;0,002
"dessin";0,118;0,118
"demander";0,886;0,886
"curieux";0,047;0,047
"compilation";0,007;0,007
"cercle";0,012;0,012
"centre";0,118;0,118
"centrale";0,393;0,393
"cadre";0,028;0,028
"attaque";0,627;0,627
"appel";0,007;0,007
"apparaître";0,393;0,393
"analyse";0,247;0,247
"aide";0,247;0,247
"accompagner";0,393;0,393
"événement";0,393;0,393
"étoile";0,608;0,608
"énergie";0,118;0,118
"yann";0,02;0,02
"vrai";0,57;0,57
"vol";0,042;0,042
"user";0,007;0,007
"ukraine";0,623;0,623
"témoigner";0,007;0,007
"télévision";0,02;0,02
"tuer";0,005;0,005
"transmettre";0,608;0,608
"thevenot";0,047;0,047
"technique";0,078;0,078
"séquence";0,012;0,012
"surveillance";0,346;0,346
"stylo";0,099;0,099
"soirée";0,315;0,315
"réponse";0,486;0,486
"robert";0,315;0,315
"publier";0,886;0,886
"présence";0,393;0,393
"problème";0,012;0,012
"physique";0,007;0,007
"peuple";0,042;0,042
"personnalité";0,078;0,078
"partager";0,203;0,203
"oeil";0,023;0,023
"nicolas";0,02;0,02
"mouvement";0,13;0,13
"mission";0,393;0,393
"michael";0,099;0,099
"lisa";0,047;0,047
"lancer";0,007;0,007
"isabelle";0,007;0,007
"invasion";0,005;0,005
"génération";0,078;0,078
"génie";0,01;0,01
"filmer";0,047;0,047
"festival";0,057;0,057
"essayer";0,201;0,201
"endroit";0,005;0,005
"désormais";0,217;0,217
"début";0,047;0,047
"duplex";0,012;0,012
"docteur";0,13;0,13
