"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"petit";-31,861;-8,87;-11,122;0,059;-13,545;656,36
"ancien";21,043;-6,001;-23,73;-4,367;46,493;-5,894
"fille";-57,888;-26,462;-14,629;-8,07;29,242;715,056
"monde";0,733;-13,626;-11,052;-7,458;191,961;-8,836
"extraire";-26,672;33,493;-0,304;47,817;-5,984;-4,53
"nouveau";0,507;0,221;-0,074;6,497;-4,716;-3,57
"nombreux";-25,53;-21,825;-21,404;-5,59;-9,331;980,809
"vie";5,481;-1,422;5,057;-1,348;-7,685;-5,817
"terre";82,221;-6,777;-16,681;-4,721;-5,689;-4,307
"provoquer";-43,074;-18,688;-19,407;-6,631;-7,99;1114,194
"incident";-38,707;-18,211;-26,443;-6,462;-7,786;1143,399
"prendre";3,743;0,024;0,325;-2,495;-3,006;-2,276
"prétexte";-51,15;-17,027;-24,724;-6,042;-7,28;1223,05
"homme";25,34;-1,229;-0,706;-4,559;-5,493;-4,158
"présenter";-12,349;-0,345;60,754;-0,99;-5,201;-3,937
"humour";-37,316;-2,58;-12,295;-4,803;500,212;-4,381
"super";-22,156;-7,846;-15,369;-4,397;483,604;-4,011
"planète";1,384;-6,78;-16,345;-3,994;127,086;-3,643
"invité";-8,386;0,012;-1,512;129,214;-4,141;-3,134
"voir";-0,029;-1,095;23,167;-3,914;-4,716;-3,57
"tenter";11,117;-1,179;-0,822;-1,117;-1,346;-1,019
"sauver";-25,511;-6,164;-13,271;-4,478;473,923;-4,084
"tête";-33,22;-7,632;-10,432;-2,36;493,632;-3,937
"film";-4,532;18,214;-0,05;2,648;-3,382;-2,56
"venir";15,7;-0,668;-1,87;-0,017;-4,332;-3,279
"grand";-0,709;46,174;-3,408;-1,852;-4,524;-3,424
"premier";-3,991;0,985;11,984;0,044;-3,571;-2,703
"parler";-6,361;-0,445;51,647;-3,914;-4,716;-3,57
"phénomène";7,216;-2,546;1,316;-1,161;-3,571;-2,703
"passer";18,546;-0,325;-2,116;-1,431;-3,95;-2,99
"parent";-14,688;-2,255;-0,022;-3,436;153,744;-3,134
"année";-2,081;18,214;0,93;-2,807;-3,382;-2,56
"grave";-29,166;-10,806;-15,69;-3,834;562,245;-3,497
"péril";-31,785;-10,581;-15,364;-3,754;575,319;-3,424
"gasnier";-27,753;-6,906;-4,799;463,594;-3,95;-2,99
"bellver";-30,436;-10,132;-12,131;633,828;-4,332;-3,279
"ambre";-29,764;-9,908;-14,387;649,14;-4,236;-3,207
"étrange";23,189;-3,728;-1,264;-2,108;-2,54;-1,923
"reportage";-7,874;-1,084;52,017;-1,5;-4,045;-3,062
"découvrir";21,691;-0,193;-2,858;-3,12;-3,76;-2,846
"émission";-14,784;0,529;32,639;0,094;-3,382;-2,56
"côté";-7,371;-3,258;-2,116;-3,278;162,978;-2,99
"univers";-5,739;-9,239;-0,516;-3,278;162,978;-2,99
"rendre";34,109;-7,47;-2,78;-0,901;-3,194;-2,418
"image";-1,477;0,414;15,893;-2,885;-3,476;-2,631
"enfant";-0,256;-0,212;16,197;-2,651;-3,194;-2,418
"spécialiste";-2,128;-6,594;-4,981;184,608;-2,819;-2,134
"mazaurette";-23,761;-7,91;-11,485;518,228;-3,382;-2,56
"espace";15,601;-1,734;-5,501;0,518;-1,62;-1,226
"propre";-14,083;-2,721;-0,74;-3,042;178,58;-2,775
"livre";-3,647;0,835;0,01;25,266;-2,262;-1,713
"etienne";-25,087;-8,351;-12,126;547,15;-3,571;-2,703
"carbonnier";-25,087;-8,351;-12,126;547,15;-3,571;-2,703
"astronaute";57,66;-8,13;-11,806;-1,095;-3,476;-2,631
"aller";0,169;-0,408;1,484;1,822;-2,819;-2,134
"évoquer";-1,465;0,257;10,543;-0,54;-2,633;-1,993
"recherche";10,682;-3,318;-5,561;10,945;-2,355;-1,783
"quitter";-12,866;-2,374;-7,047;0,066;190,365;-2,631
"scientifique";17,235;-1,257;-0,88;-2,34;-2,819;-2,134
"preuve";34,289;-3,522;-5,865;-2,031;-2,447;-1,853
"humain";35,11;-1,558;-7,711;-2,495;-3,006;-2,276
"histoire";2,233;-0,974;0,329;0,566;-2,633;-1,993
"donner";0,04;-1,875;16,197;-2,651;-3,194;-2,418
"courir";-16,898;-0,282;-4,573;-2,729;203,47;-2,489
"plateau";-19,878;0,134;62,211;-2,729;-3,288;-2,489
"maïa";-22,44;-7,47;-10,847;489,402;-3,194;-2,418
"lointain";-3,263;-7,25;-10,528;-2,573;218,13;-2,347
"expliquer";0,001;-1,257;14,485;-2,34;-2,819;-2,134
"débat";-0,605;11,061;-0,113;-0,11;-1,803;-1,365
"dernier";1,344;-2,571;4,33;-0,008;-2,819;-2,134
"retrouver";16,236;-3,728;-0,047;-2,108;-2,54;-1,923
"posséder";-3,787;-4,559;-7,401;-2,417;178,315;-2,205
"origine";23,397;-7,031;-0,47;-2,495;-3,006;-0,611
"comprendre";6,176;-0,003;-1,487;-0,048;-1,62;-1,226
"terrien";-5,852;-7,031;-7,711;-2,495;226,132;-2,276
"robot";-0,003;2,338;0,016;-0,593;-0,714;-0,54
"naître";-18,571;-7,25;-0,128;-2,573;218,13;-2,347
"inviter";-10,475;11,256;-0,725;33,759;-2,726;-2,064
"frédéric";-16,62;0,652;2,721;50,53;-2,819;-2,134
"voler";-9,307;-6,813;-5,271;-2,417;234,636;-2,205
"vivre";-0,224;-4,559;28,6;-2,417;-2,913;-2,205
"président";-0,882;0,961;-0,822;16,673;-1,346;-1,019
"membre";0,229;3,039;-1,209;-0,295;-0,356;-0,269
"général";-0,065;-1,25;6,42;-0,444;-0,535;-0,405
"trouver";12,188;-1,51;-0,142;-1,878;-2,262;-1,713
"revenir";0,521;-2,206;2,146;2,239;-2,633;-1,993
"luc";-2,281;6,097;0,016;0,402;-0,714;-0,54
"citation";-2,018;31,444;-5,501;0,518;-1,62;-1,226
"cas";-3,932;-0,239;-0,101;67,06;-2,633;-1,993
"américain";8,184;0,65;-3,565;-0,377;-2,355;-1,783
"acteur";-13,309;-0,88;0,005;119,689;-1,894;-1,434
"témoin";0,924;-0,249;1,878;-1,193;-1,437;-1,088
"thierry";-9,46;-0,158;2,425;37,692;-1,346;-1,019
"sujet";-14,038;28,575;0,652;0,783;-2,447;-1,853
"question";6,018;3,448;-3,565;-1,954;-2,355;-1,783
"manquer";-16,62;-6,594;-1,875;-2,34;243,693;-2,134
"grandir";-19,155;-6,376;-1,664;-2,263;253,357;-2,064
"forme";8,184;-5,508;1,964;-1,954;-2,355;-1,783
"député";-3,128;13,927;-1,512;1,359;-0,445;-0,337
"claude";-2,643;-0,249;14,113;-0,009;-1,437;-1,088
"unir";0,234;0,795;-1,232;2,23;-0,984;-0,745
"raconter";-0,472;-2,028;22,73;-2,108;-2,54;-1,923
"porte";0,055;2,223;-1,494;1,827;-1,074;-0,813
"intervenir";-12,45;-6,159;-6,476;-2,185;263,691;-1,993
"figure";-10,475;-4,142;-9,259;-2,263;253,357;-2,064
"édition";-10,739;-0,355;-2,888;153,872;-1,528;-1,157
"visuel";-8,822;57,005;-4,264;0,002;-1,256;-0,95
"site";7,048;0,494;-3,843;0,013;-2,447;-1,853
"retour";-14,601;70,522;-7,057;4,075;-2,078;-1,573
"recevoir";-0,895;18,609;-0,332;-0,429;-2,447;-1,853
"danger";-15,326;-6,159;-4,407;-2,185;263,691;-1,993
"affaire";-1,189;12,363;0,109;-1,42;-1,711;-1,295
"théoricien";44,301;-5,724;-8,312;-2,031;-2,447;-1,853
"ciel";22,896;-4,216;-1,975;-1,496;-1,803;-1,365
"visiteur";40,952;-5,292;-7,684;-1,878;-2,262;-1,713
"témoignage";-2,746;-2,711;33,955;-1,725;-2,078;-1,573
"parole";-1,002;4,738;-0,738;3,353;-0,804;-0,609
"objet";23,374;-4,86;-1,344;-1,725;-2,078;-1,573
"femme";-0,008;-5,076;17,036;-0,277;-2,17;-1,643
"entraîner";-17,196;-3,522;-8,312;-2,031;286,668;-1,853
"créature";5,534;0,008;-1,232;-0,817;-0,984;-0,745
"connaître";0,997;0,835;0,338;-1,878;-2,262;-1,713
"sse";-16,546;-5,508;-7,998;-1,954;299,487;-1,783
"pté";-16,546;-5,508;-7,998;-1,954;299,487;-1,783
"partir";-3,866;33,98;-2,487;0,175;-1,986;-1,503
"mélenchon";-1,874;5,177;-0,906;3,302;-0,267;-0,202
"décontraction";-16,546;-5,508;-7,998;-1,954;299,487;-1,783
"culture";0,257;0,343;1,784;-1,725;-2,078;-1,573
"conquérant";-16,546;-5,508;-7,998;-1,954;299,487;-1,783
"aile";-16,546;-5,508;-7,998;-1,954;299,487;-1,783
"temps";8,407;-2,512;0,215;-1,648;-1,986;-1,503
"rencontre";0,257;-2,711;8,025;-0,231;-2,078;-1,573
"penser";5,039;-3,114;2,37;-1,878;-2,262;-1,713
"mettre";5,039;0,143;-0,732;-0,326;-2,262;-1,713
"jour";-0,627;0,001;8,025;-0,231;-2,078;-1,573
"identifier";21,087;-2,725;-3,956;-0,967;-1,165;-0,882
"découverte";3,259;0,343;-1,344;0,124;-2,078;-1,573
"devenir";-0,129;-1,185;11,102;-0,231;-2,078;-1,573
"voyage";-1,002;1,663;-0,004;3,353;-0,804;-0,609
"vaisseau";17,763;-1,002;-4,264;-1,042;-1,256;-0,95
"sy";-8,822;-0,083;-0,625;92,473;-1,256;-0,95
"pierre";1,277;1,604;-0,31;-0,187;-1,986;-1,503
"photo";0,77;-2,315;7,193;-1,572;-1,894;-1,434
"montrer";-7,524;-0,88;33,791;-0,147;-1,894;-1,434
"humanité";32,627;-4,216;-6,122;-1,496;-1,803;-1,365
"cnews";-5,017;27,989;-0,513;-0,593;-0,714;-0,54
"bernard";-2,417;-0,666;18,317;-0,892;-1,074;-0,813
"avocat";-0,304;0,173;1,627;-0,295;-0,356;-0,269
"affirmer";19,376;-2,711;-1,344;-1,725;-2,078;-1,573
"écrivain";-1,441;7,634;-0,056;0,156;-0,894;-0,677
"françois";-0,001;23,983;-4,058;-1,572;-1,894;-1,434
"famille";-6,926;-0,068;30,728;-1,496;-1,803;-1,365
"extrait";-13,309;18,608;-0,202;15,778;-1,894;-1,434
"entier";21,006;-3,362;-2,601;-1,193;-1,437;-1,088
"disciple";-14,601;-4,86;-7,057;-1,725;264,278;-1,573
"consacrer";-8,128;-4,645;57,818;-1,648;-1,986;-1,503
"équipe";0,022;15,393;-1,975;-1,496;-1,803;-1,365
"volant";22,896;-0,736;-6,122;-1,496;-1,803;-1,365
"semaine";-8,951;8,428;9,431;-1,42;-1,711;-1,295
"laisser";18,674;-4,216;-0,758;-1,496;-1,803;-1,365
"haut";-0,003;0,346;0,016;0,402;-0,714;-0,54
"fois";-0,019;-0,026;3,9;-0,077;-1,711;-1,295
"enquête";7,84;0,085;-2,318;-1,117;-1,346;-1,019
"déclaration";-4,593;4,706;-4,881;47,257;-1,437;-1,088
"anne";-9,581;-0,068;-0,758;107,637;-1,803;-1,365
"ami";4,26;0,056;-0,979;-0,742;-0,894;-0,677
"visite";14,087;-1,546;-2,888;-0,026;-1,528;-1,157
"réalité";8,249;-0,03;-1,764;-0,967;-1,165;-0,882
"rester";4,016;-1,002;0,234;-1,042;-1,256;-0,95
"professeur";-3,478;3,42;5,741;-1,042;-1,256;-0,95
"pari";-5,844;1,292;13,473;-1,042;-1,256;-0,95
"lci";-3,756;18,548;-0,142;-0,444;-0,535;-0,405
"information";-2,17;26,139;-0,822;-1,117;-1,346;-1,019
"ex";-0,287;-0,041;-0,311;14,291;-0,624;-0,473
"désert";5,948;0,162;-2,73;-0,667;-0,804;-0,609
"animal";0,548;0,489;0,381;-1,268;-1,528;-1,157
"agir";13,422;-1,925;-0,587;-1,42;-1,711;-1,295
"permettre";5,048;-0,355;0,001;-1,268;-1,528;-1,157
