"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,426441954224584;22,1704410025759;22,1704410025759
"facteur 2";0,371783728810689;19,3287952643002;41,4992362668761
"facteur 3";0,292945579182563;15,2300509269593;56,7292871938354
"facteur 4";0,214328430223195;11,1427962712496;67,872083465085
"facteur 5";0,133214005718623;6,92570987737793;74,7977933424629
"facteur 6";0,107405058272278;5,58391941555946;80,3817127580223
"facteur 7";0,0600422383583347;3,12155708414423;83,5032698421666
"facteur 8";0,0501712999042017;2,60837338711483;86,1116432292814
"facteur 9";0,0474687470471003;2,46786941446126;88,5795126437427
"facteur 10";0,0388736543464545;2,02101611181697;90,6005287555596
"facteur 11";0,0357301041611681;1,85758497369583;92,4581137292555
"facteur 12";0,0309375426084392;1,60842280261162;94,0665365318671
"facteur 13";0,0237518742275556;1,23484455749703;95,3013810893641
"facteur 14";0,0225046268881712;1,17000097613852;96,4713820655026
"facteur 15";0,0220839734963226;1,14813147874475;97,6195135442474
"facteur 16";0,0193397832686587;1,00546280616328;98,6249763504106
"facteur 17";0,0183893404726797;0,95604990078231;99,581026251193
"facteur 18";0,00805883762931522;0,418973748807035;100
