"";"banalfreq";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"devenir";25;-0,0308;-0,2852;-0,3261;-0,4413;1,5541;-0,4169;-0,9137;0,5976;0,5192;-0,0123;0,3227;-0,5394;-0,4346;1,6899;-0,084;-0,1636;-0,3942;0,7538;-0,0246
"commenter";17;-0,0209;-0,1939;-0,5334;-0,3;1,6189;0,8039;-1,0969;0,3103;-0,1064;-0,0084;-0,1906;1,1252;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;0,3445;-0,0167
"suivre";10;-0,0123;0,6365;0,2887;-0,1765;0,2433;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;0,5997;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;0,2184;-0,0098
"poser";11;-0,0135;-0,1254;-0,3451;-0,1941;0,9006;0,6477;-0,7097;0,4526;0,8339;-0,0054;1,5138;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,2154;-0,4435;-0,0108
"fou";10;-0,0123;-0,114;-0,3137;-0,1765;0,5657;0,2415;-0,6452;1,26;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;-0,1839;1,284;-0,0098
"expérience";19;-0,0234;0,4058;-0,5962;-0,3353;1,3509;-0,7032;-0,6191;-0,3263;-0,1189;-0,0093;-0,2131;-0,8399;0,2737;0,8091;-0,0638;0,6039;0,3892;1,0885;-0,0187
"internet";12;-0,0148;1,4286;-0,3765;0,4135;-0,487;-0,4441;-0,7742;-0,2061;0,7992;-0,0059;1,4419;0,9885;-0,2085;0,9955;-0,0403;-0,0785;-0,2482;-0,4839;-0,0118
"2";21;-0,0258;-0,2395;0,361;0,2411;0,7638;0,6139;-1,355;1,3379;-0,1314;-0,0103;-0,2355;1,9079;-0,365;-0,081;-0,0706;-0,1374;-1,1755;-0,8469;-0,0207
"différent";12;-0,0148;-0,1369;0,2367;0,4135;1,8987;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;-0,0463;-0,0403;1,875;-0,2482;-0,4839;-0,0118
"vouloir";30;-0,0369;-0,3422;-0,1862;-0,1783;0,5175;0,3484;-1,172;-0,1707;1,1656;-0,0148;1,3957;0,482;-0,5215;0,6311;-0,1008;-0,1963;-1,6795;0,9147;-0,0295
"époque";15;-0,0185;-0,1711;-0,4707;0,3407;0,5386;1,5347;-0,9678;0,3493;-0,0939;-0,0074;-0,1682;-0,6631;-0,2607;-0,0578;-0,0504;-0,0981;0,5699;0,41;-0,0148
"dernier";36;-0,0443;1,1813;-0,5618;0,374;-0,478;0,4702;-1,4928;-0,6184;-0,2254;-0,0177;1,8887;0,3325;-0,6259;0,5629;-0,121;-0,2356;0,8631;0,4007;-0,0354
"plan";14;-0,0172;-0,1597;-0,4393;-0,2471;-0,6129;-0,1668;-0,3924;0,9981;-0,0876;-0,0069;0,5181;0,3994;-0,2433;-0,054;-0,047;-0,0916;0,629;0,9162;-0,0138
"croire";27;-0,0332;-0,308;-0,3667;-0,1502;0,2466;0,4191;-0,5858;-0,4637;1,2467;-0,0133;0,8234;-1,1937;-0,4693;-0,1041;1,7379;-0,1767;0,6542;0,6702;-0,0266
"nucléaire";10;-0,0123;0,6365;0,2887;0,4764;0,2433;-0,3701;-0,6452;1,26;-0,0626;-0,0049;-0,1121;-0,442;-0,1738;-0,0385;-0,0336;-0,0654;0,9564;-0,4032;-0,0098
"victime";11;-0,0135;-0,1254;-0,3451;1,1634;1,4474;-0,4071;-0,7097;-0,1889;-0,0688;-0,0054;0,6069;-0,4862;-0,1912;-0,0424;-0,037;-0,072;-0,6156;1,1745;-0,0108
"frère";17;-0,0209;0,4436;-0,5334;0,302;0,4203;-0,2291;-1,0969;0,8562;-0,1064;-0,0084;-0,1906;1,712;-0,2955;-0,0655;-0,0571;-0,1112;-0,9515;0,7287;-0,0167
"t";24;-0,0295;-0,2737;-0,7531;0,6064;0,5726;0,506;-1,5487;-0,4122;-0,1502;-0,0118;-0,2691;-0,2322;-0,4172;0,7169;0,7709;0,5179;0,8059;0,4446;-0,0236
"animal";21;-0,0258;0,3727;1,2651;-0,3706;1,1318;-0,3196;-1,355;-0,3607;0,5831;-0,0103;-0,2355;-0,4164;-0,365;0,7694;-0,0706;-0,1374;0,613;-0,3634;-0,0207
"temps";25;1,165;-0,2852;-0,7845;0,1952;-0,2954;-0,1772;-0,9137;0,5976;0,5192;-0,0123;-0,2804;-0,2524;-0,4346;0,7011;-0,084;0,5032;1,1372;0,4154;-0,0246
"façon";10;-0,0123;-0,114;-0,3137;0,4764;0,2433;0,712;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;1,1891;-0,1738;-0,0385;-0,0336;-0,0654;0,4619;-0,4032;-0,0098
"rouge";10;-0,0123;-0,114;-0,3137;-0,1765;1,6409;0,712;-0,6452;0,486;-0,0626;-0,0049;0,643;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;-0,4032;-0,0098
"seul";18;-0,0221;-0,2053;-0,5648;-0,3177;-0,2403;0,3576;-0,5721;0,8158;-0,1127;-0,0089;0,4298;-0,329;1,4999;-0,0694;-0,0605;0,6243;0,4275;-0,2862;-0,0177
"chef";12;-0,0148;1,4286;-0,3765;0,4135;0,7891;-0,4441;-0,7742;0,4227;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;0,7815;0,3611;-0,1479;-0,0118
"appeler";10;-0,0123;0,6365;-0,3137;-0,1765;0,2433;-0,3701;-0,6452;0,486;-0,0626;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;0,9564;0,657;-0,0098
"françois";23;-0,0283;1,6803;-0,2866;1,9174;-0,4312;0,2434;-1,4841;1,2381;-0,144;-0,0113;-0,2579;1,1862;-0,3998;-0,0887;-0,0773;-0,1505;-1,2875;-0,1766;-0,0226
"loin";10;-0,0123;-0,114;-0,3137;-0,1765;0,5657;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;1,5937;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;1,284;-0,0098
"zone";11;-0,0135;0,6005;-0,3451;-0,1941;0,486;0,2159;-0,7097;-0,1889;-0,0688;-0,0054;-0,1233;1,7813;-0,1912;-0,0424;-0,037;-0,072;0,4078;-0,4435;-0,0108
"cours";19;-0,0234;-0,2167;-0,5962;-0,3353;1,8571;-0,2734;-0,6191;0,7782;-0,1189;-0,0093;-0,2131;-0,8399;-0,3302;-0,0732;-0,0638;-0,1243;0,3892;1,0885;-0,0187
"nom";10;-0,0123;0,6365;-0,3137;-0,1765;-0,3676;0,2415;-0,6452;-0,1717;-0,0626;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;1,6103;0,657;-0,0098
"ligne";12;-0,0148;0,5682;-0,3765;-0,2118;0,4187;-0,4441;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;1,3234;1,7676;-0,0118
"3";18;-0,0221;-0,2053;0,4435;-0,3177;0,3716;0,3576;-1,1614;0,2931;-0,1127;-0,0089;-0,2018;1,6059;-0,3128;0,8307;-0,0605;-0,1178;-1,0075;0,6771;-0,0177
"explication";12;-0,0148;-0,1369;-0,3765;0,4135;0,7891;0,5911;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;0,4867;-0,2085;-0,0463;1,0524;-0,0785;0,3611;-0,4839;-0,0118
"héros";12;-0,0148;0,5682;-0,3765;0,4135;1,2825;0,1936;-0,3085;1,1157;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;-0,0463;-0,0403;-0,0785;-0,6716;-0,1479;-0,0118
"vendre";10;-0,0123;-0,114;-0,3137;-0,1765;-0,3676;0,712;0,8248;-0,1717;0,8723;-0,0049;-0,1121;0,1948;-0,1738;-0,0385;-0,0336;-0,0654;-0,5597;0,657;-0,0098
"aimer";11;-0,0135;-0,1254;-0,3451;0,4432;0,9006;0,2159;-0,7097;-0,1889;0,8339;-0,0054;-0,1233;-0,148;-0,1912;1,0314;-0,037;-0,072;-0,6156;0,5945;-0,0108
"visage";12;-0,0148;-0,1369;-0,3765;-0,2118;0,7891;0,1936;-0,7742;-0,2061;-0,0751;-0,0059;-0,1345;-0,1714;-0,2085;0,9955;-0,0403;-0,0785;0,7711;0,5398;-0,0118
"cet";21;-0,0258;-0,2395;-0,659;-0,3706;-0,3498;0,6139;-0,7151;1,3379;0,5831;-0,0103;-0,2355;-0,9284;-0,365;1,8348;-0,0706;-0,1374;1,4703;0,2465;-0,0207
"véritable";12;1,476;0,5682;-0,3765;-0,2118;-1,0541;0,1936;-0,3085;-0,2061;-0,0751;-0,0059;-0,1345;-0,5304;-0,2085;0,9955;-0,0403;-0,0785;1,3234;1,0781;-0,0118
"jour";25;-0,0308;-0,2852;-0,3261;0,581;0,5201;0,475;-1,6132;0,2021;1,3069;-0,0123;-0,2804;0,6603;-0,4346;1,6899;0,7548;-0,1636;-0,1923;-1,0082;-0,0246
