"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"devenir";0;0;0,39;0;1,32;0,33;0,2;1,39;1,88;0;1,06;0,28;0;6,1;0;0;0,45;1,22;0
"lors";0;0;0,39;0,68;0,59;0,33;0,2;0,69;0;0;0;0,56;0,69;0;0;0;0;2,13;11,9
"commenter";0;0;0;0;1,03;0,99;0;0,69;0;0;0;1,11;0;0;0;0;0;0,61;0
"accidentellement";0;0;0;0,68;0;0,33;0;0;0;0;0;0;16,48;0;0;0;0;0;0
"évolution";0;0;0;0;0,15;2,31;0;0;0;0;0;0;0;0;6,99;0;0,45;0;0
"chine";0;1,04;0;0,68;0;0,33;0;0,69;0;0;0;0;0;0;0;0;1,56;0;0
"substance";0;0;0;0;0,15;0;0;0;0;0;0;0;0;0;0;0;2,01;0;0
"karim";0;0;5,03;0;0;0;0;0,69;0;0;0;0;0;0;0;0;0;0;0
"unir";0;1,04;0;0,68;0,29;0,33;0;0;5,65;0;1,06;0,56;0;0;0;1,8;3,57;0,61;0
"leurs";0;1,04;0,39;3,38;2,21;1,98;0,2;0,69;5,65;0;2,11;0,84;0;6,1;3,5;0;2,01;1,82;0
"sortir";0;5,2;0;0,68;0,44;0,66;0,2;1,39;0;0;1,06;0;0;0;0;0;0,22;0,61;0
"commentaire";0;2,08;1,55;2,03;0;0,33;0;0;0;0;0;2,51;0;0;0;0;0;0;0
"zorbb";0;0;0;0;0;3,63;0;0;0;0;0;0;0;0;0;0;0;0;0
"consacrer";0;0;0;1,35;2,8;0;0;0;0;0;0;0,28;0;0;0;0;0;0,3;0
"sentir";0;0;0,39;0;1,47;0,99;0;0;0;0;0;0;0;6,1;0;0;0;0,61;0
"député";0;0;10,05;0;0,15;0;0;0,69;0;0;0;0,84;0;0;0;0;0;0;0
"toute";0;0;0,77;0;0,29;1,65;0,2;0;1,88;0;0;0,28;0;0;0;0;0,67;0,3;0
"affaire";0;1,04;3,48;0,68;0,44;2,31;0;0;0;0;2,11;0,56;0;0;0;0;0;1,22;0
"guerre";0;0;0;0,68;0,29;0;0,2;0;0;0;0;0,84;0;0;0;0;0;0,61;35,71
"parler";0;0;1,16;1,35;4,41;1,98;0;0;0;0;1,06;0,56;0;3,05;0;0;0;2,13;0
"fry";0;0;0;0,68;0;0;0;0;0;0;0;0;30,91;0;0;0;0;0;0
"penser";0;0;0;0;0,74;0,33;0,2;0,69;1,88;0;3,17;0;0;0;0;1,8;0,89;2,43;0
"suivre";0;1,04;0,39;0;0,29;0,33;0;0;0;0;0;0,56;0;0;0;0;0,45;0,3;0
"évoquer";0;1,04;2,32;5,41;0,74;1,32;0;0,69;0;0;0;1,11;0;0;0;3,6;1,11;0,91;0
"tête";0;2,08;0,39;0;0,29;0,33;9,56;0;0;0;0;0,56;0;0;0;0;0;0,3;0
"possible";0;0;0;0;0,59;0,33;0;0;0;0;0;0,28;0;0;0;1,8;2,45;0,3;0
"poser";0;0;0;0;0,59;0,66;0;0,69;1,88;0;2,11;0;0;0;0;0;0,22;0;0
"théorie";0;0;0;0,68;0,15;0;0;0;0;0;0;0;0;0;20,98;0;1,34;0;0
"fou";0;0;0;0;0,44;0,33;0;1,39;0;0;0;0;0;0;0;0;0,22;0,91;0
"expérience";0;1,04;0;0;1,03;0;0,2;0;0;0;0;0;0,69;3,05;0;1,8;0,67;1,22;0
"son";0;3,12;1,16;3,38;7,8;10,55;0,39;9,73;13,18;23,81;24,31;3,34;2,06;15,24;0;1,8;1,78;12,15;0
"corps";0;0;0;0;0,88;0;0;1,39;0;0;1,06;0;0;0;6,99;0;0;1,82;0
"cette";0;3,12;0,77;1,35;3,68;1,65;0,2;2,78;0;0;1,06;1,39;0;3,05;6,99;3,6;0,89;2,43;0
"reportage";0;0;0;1,35;3,83;0,66;0;1,39;0;0;0;1,11;0;0;0;0;0;3,34;0
"explorer";0;0;0;0,68;0;0;0,2;0;0;0;0;0,56;0;0;0;0;2,01;0;0
"convaincre";0;0;0;0;0,29;0,33;0;0;0;0;3,17;0;0;0;0;0;0;1,52;0
"sy";0;0;4,25;0;0;0;0;0;0;0;0;3,62;0;0;0;0;0;0;0
"si";0;0;0;0;0,88;0;0;1,39;0;0;0;0,28;0;3,05;6,99;1,8;2,67;0,61;0
"sa";9,52;4,16;0;4,06;5,44;1,98;0,39;2,78;1,88;0;8,46;3,34;2,75;12,2;0;3,6;0,22;6,38;0
