"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX"
"pre";198,53;150,81;118,46;141,14;158,42;149,54;179,27;166,27;128,21;212,12;136,1;138,56;213,7;141,59;135,29;121,81;145,81;152,99;175,57
"ver_sup";29,41;3,88;6,87;8,16;10,97;10,93;12,35;9,45;14,1;15,15;16,74;4,27;0;15,49;23,53;9,92;16,63;7,35;7,63
"adj_dem";0;2,59;0,98;1,92;3,99;3,28;0,37;4,25;2,56;0;0,73;1,22;0;6,64;5,88;8,5;4,9;2,94;0
"ono";0;0;0;1,44;1,69;2,84;0,19;3,31;3,85;15,15;2,91;0,61;0;2,21;0;0;1,4;2,52;0
"pro_per";80,88;24,6;34,36;25,92;42,27;38,26;70,36;21,26;44,87;45,45;41,48;20,93;60,88;77,43;58,82;42,49;38,86;44,49;30,53
"num";0;47,25;92,6;45,13;11,07;10,06;0,75;27,4;0;15,15;4,37;134,09;27,9;6,64;0;2,83;5,78;31,9;0
"adv";0;7,12;1,31;1,92;4,99;12,24;0,75;5,2;16,67;0;4,37;3,66;15,85;6,64;5,88;11,33;2,8;4,41;0
"ver";110,29;47,9;29,78;72,49;96,41;101,01;87,95;71,8;144,87;136,36;125,91;61,97;123,02;101,77;123,53;90,65;87,69;100,73;76,34
"adj_ind";0;1,29;2,62;0,96;2,99;5,03;0,37;0,94;2,56;0;0,73;1,63;0;2,21;11,76;8,5;5,78;3,78;0
"adj_pos";7,35;9,06;2,62;10,56;17,35;16,83;16,09;11,81;14,1;15,15;30,57;6,1;4,44;26,55;14,71;5,67;7,7;17,84;7,63
"aux";29,41;23,95;23,23;26,4;29,11;33,01;56,32;31,18;20,51;15,15;38,57;29,05;62,78;48,67;44,12;76,49;57,41;30,64;30,53
"nr";29,41;146,28;185,54;153,62;95,41;76,96;19,09;85,03;100;45,45;72,05;170,05;71,66;61,95;11,76;28,33;29,93;85,83;61,07
"pro_ind";7,35;2,59;2,62;3,36;8,97;7,87;10,48;5,2;8,97;0;5,82;2,44;2,54;6,64;14,71;8,5;8,93;6,51;7,63
"adj";58,82;64,08;64,46;48,49;49,65;52,47;83,83;62,35;46,15;15,15;57,5;42,46;65,31;55,31;26,47;83,57;93,3;56,03;106,87
"pro_dem";7,35;5,83;1,96;4,8;7,48;7,43;0,94;10,39;7,69;0;6,55;5,28;0;15,49;0;7,08;5,95;5,25;0
"nom";183,82;251,78;247,05;233,8;226,22;224,97;162,24;234,29;189,74;257,58;194,32;211,91;183,89;181,42;208,82;235,13;214,07;212,8;221,37
"art_ind";51,47;24,6;32,07;39,85;43,47;46,57;62,69;35,43;43,59;45,45;54,59;21,33;113,51;39,82;64,71;82,15;70,72;45,75;61,07
"adj_int";7,35;0,65;0;0;0,4;0;0;0,47;0;0;0;0;0;0;0;1,42;0,18;0,21;0
"pro_pos";0;0;0;0;0;0;0;0;0;0;0;0,2;0;0;0;0;0,18;0;0
"nom_sup";7,35;9,06;8,84;6,72;5,68;6,78;19,46;5,2;3,85;0;8,73;8,94;0,63;8,85;8,82;2,83;3,85;4,83;0
"adv_sup";58,82;10,36;18,32;9,6;20,94;26,67;41,54;28,81;12,82;15,15;34,21;16,66;6,34;24,34;35,29;11,33;26,96;23,29;53,44
"adj_sup";0;1,29;0;0,96;1,89;1,31;0,19;1,89;1,28;0;1,46;0,81;0;2,21;0;0;0,18;0,63;0
"art_def";88,24;131,39;96,53;115,7;104,19;105,6;89,45;125,18;112,82;121,21;91,7;94,47;24,1;84,07;144,12;116,15;114,13;105,77;129,77
"adj_num";0;3,24;0,98;2,4;1,89;5,25;0,75;3,31;7,69;15,15;4,37;1,42;0,63;0;0;2,83;2,45;2,73;0
"pro_rel";14,71;6,47;4,25;12,96;16,25;17,71;35,93;14,64;25,64;0;24,75;7,11;0;28,76;26,47;19,83;24,16;16,58;7,63
"con";29,41;23,95;24,54;31,69;38,29;37,39;48,65;34,96;47,44;15,15;41,48;14,83;22,83;55,31;35,29;22,66;30,28;34,21;22,9
