"";"*chaine_6ter";"*chaine_ARTE";"*chaine_C8";"*chaine_Canal";"*chaine_France2";"*chaine_France3";"*chaine_France4";"*chaine_France5";"*chaine_Gulli";"*chaine_LaCinquième";"*chaine_M6";"*chaine_MonteCarloTMC";"*chaine_NRJ12";"*chaine_NT1";"*chaine_Numéro23";"*chaine_RMCDécouverteHD24";"*chaine_RMCStory";"*chaine_TF1";"*chaine_TFX"
"pre";27;233;362;294;1589;684;958;352;100;14;187;682;337;64;46;86;833;729;23
"ver_sup";4;6;21;17;110;50;66;20;11;1;23;21;0;7;8;7;95;35;1
"adj_dem";0;4;3;4;40;15;2;9;2;0;1;6;0;3;2;6;28;14;0
"ono";0;0;0;3;17;13;1;7;3;1;4;3;0;1;0;0;8;12;0
"pro_per";11;38;105;54;424;175;376;45;35;3;57;103;96;35;20;30;222;212;4
"num";0;73;283;94;111;46;4;58;0;1;6;660;44;3;0;2;33;152;0
"adv";0;11;4;4;50;56;4;11;13;0;6;18;25;3;2;8;16;21;0
"ver";15;74;91;151;967;462;470;152;113;9;173;305;194;46;42;64;501;480;10
"adj_ind";0;2;8;2;30;23;2;2;2;0;1;8;0;1;4;6;33;18;0
"adj_pos";1;14;8;22;174;77;86;25;11;1;42;30;7;12;5;4;44;85;1
"aux";4;37;71;55;292;151;301;66;16;1;53;143;99;22;15;54;328;146;4
"nr";4;226;567;320;957;352;102;180;78;3;99;837;113;28;4;20;171;409;8
"pro_ind";1;4;8;7;90;36;56;11;7;0;8;12;4;3;5;6;51;31;1
"adj";8;99;197;101;498;240;448;132;36;1;79;209;103;25;9;59;533;267;14
"pro_dem";1;9;6;10;75;34;5;22;6;0;9;26;0;7;0;5;34;25;0
"nom";25;389;755;487;2269;1029;867;496;148;17;267;1043;290;82;71;166;1223;1014;29
"art_ind";7;38;98;83;436;213;335;75;34;3;75;105;179;18;22;58;404;218;8
"adj_int";1;1;0;0;4;0;0;1;0;0;0;0;0;0;0;1;1;1;0
"pro_pos";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0
"nom_sup";1;14;27;14;57;31;104;11;3;0;12;44;1;4;3;2;22;23;0
"adv_sup";8;16;56;20;210;122;222;61;10;1;47;82;10;11;12;8;154;111;7
"adj_sup";0;2;0;2;19;6;1;4;1;0;2;4;0;1;0;0;1;3;0
"art_def";12;203;295;241;1045;483;478;265;88;8;126;465;38;38;49;82;652;504;17
"adj_num";0;5;3;5;19;24;4;7;6;1;6;7;1;0;0;2;14;13;0
"pro_rel";2;10;13;27;163;81;192;31;20;0;34;35;0;13;9;14;138;79;1
"con";4;37;75;66;384;171;260;74;37;1;57;73;36;25;12;16;173;163;3
