"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"devenir";-0,334244069914592;-0,00360325887847559;-0,445049258310183;-0,0466848580512753;-0,314673731588455;1,78506156921039;-0,176224644724918;-0,00189975850842626;-0,234644843365032;-0,0246138174604606;-0,165906508281835;0,941144119405279;0,197697716909055;1,3509836878107e-05;0,0903715527553219;0,000691381581355388;0,02224073171008;0,68898510720731;0,000250491251733342;2,91109294737964e-08;0,000444100543323866;4,8867174243671e-06;0,000222016944734984;0,0071444950804302;0,00224215246636771;0,603086553647636;0,00081550087710893
"commenter";-0,81736326833832;1,04674288200931;0,357245269923554;0,153512470614819;-0,0758222956744765;-0,185916723208909;-0,584538494063234;0,748579648269531;0,255484458601695;0,109784659855757;-0,0542244216822703;-0,132958606797491;0,493256747476896;0,475672205828911;0,0242950123606168;0,00311904479114877;0,00053875401318507;0,00311823552922024;0,00101860144495856;0,00167052925898043;0,000194583955964735;3,59303441060552e-05;8,76532276797413e-06;5,27000426429191e-05;0,00152466367713004;0,933674206520367;0,00132912178535107
"accidentellement";2,1583487432715;0,268089134950449;0,368294641717638;0,279966709916834;-0,0480049707861814;-0,14789119733766;0,968293993951903;0,120272083010464;0,165227000822544;0,125600686434039;-0,0215363365336594;-0,0663480165505384;0,980169212125311;0,00889203550687954;0,0073585114332121;0,00295639251906101;6,15437701150691e-05;0,000562304645420639;0,0108627983620739;0,000167593398317532;0,000316292782158385;0,000182772674906106;5,37366885423635e-06;5,10015213003705e-05;0,00233183856502242;1,7489921170649;0,00713303220308825
"évolution";0,516284168721846;-0,783268439084462;0,734731941484641;0,198908148404514;-0,0153407896680015;-0,181675790906354;0,42257438406129;-0,641098833264998;0,601372105582231;0,162804698243796;-0,0125563113062685;-0,148700154085999;0,342766280173865;0,463902456616723;0,178986248451934;0,0091204677616674;3,8412251585056e-05;0,00518613474422612;0,00028686924793486;0,000660279226187419;0,000580984063681927;4,25805756072237e-05;2,53280531986937e-07;3,55222525576136e-05;0,0010762331838565;0,707467549372142;0,000538665829683901
"chine";-0,367833442130377;-1,89831813646915;1,07011685823073;0,15108418688692;0,0200438278029477;-0,20461110931337;-0,165342914334078;-0,85330319940239;0,481022712326363;0,0679130739853268;0,009009797706689;-0,0919736849457256;0,0528773215535791;0,828113685664372;0,115390694269531;0,00159917700797346;1,99288487157739e-05;0,00199919265583303;0,000133481242389623;0,00355513266544616;0,00112974448367406;2,2519349488798e-05;3,96350256765599e-07;4,13024902779304e-05;0,000986547085201794;1,28331493578846;0,00162474165637625
"substance";-0,266620000175936;-3,09616759420855;1,36513367704955;0,14646520536243;0,0589650125325493;-0,213442370010032;-0,0783113062829056;-0,909402627759644;0,400965424311724;0,0430195842373312;0,0173191326733357;-0,0626920366085631;0,0114687499875112;0,909419999012362;0,077521531999124;0,000620427521664973;7,11989002484454e-05;0,000898092579089074;6,37544614294316e-05;0,0085975370147329;0,00167138112665006;1,92395124500977e-05;3,11827148247865e-06;4,0858874722421e-05;0,000896860986547085;1,99733744208214;0,00357789852694459
"karim";-0,817363268338328;1,04674288200933;0,357245269923558;0,153512470614821;-0,07582229567448;-0,185916723208909;-0,584538494063233;0,748579648269532;0,255484458601695;0,109784659855757;-0,0542244216822722;-0,132958606797489;0,493256747476906;0,475672205828923;0,0242950123606173;0,00311904479114883;0,000538754013185121;0,00311823552922024;0,000838848248789417;0,00137572997798392;0,000160245610794491;2,95896951461638e-05;7,21850110303819e-06;4,34000351176981e-05;0,00125560538116592;0,933674206520367;0,00109457088205382
"unir";-0,251820288789411;-1,76710768527319;1,02990749946049;0,157244576400031;0,0158903981227332;-0,201732119351575;-0,121262869395601;-0,850942350504743;0,495947086698278;0,0757203822727305;0,0076519460821225;-0,097143148232528;0,0290554203461487;0,841311259002049;0,125309361610831;0,00203090012057603;1,46848374128109e-05;0,00227837408298291;0,00017061916909233;0,00840180153726876;0,00285392679133174;6,65269689880502e-05;6,79384984302139e-07;0,000109495555097968;0,00269058295964126;1,18520615443284;0,00377949855203265
"sortir";-0,364821375415084;-0,00944274435823251;-0,364904324738415;-0,0322606256641284;-0,294264868522436;1,6384185640232;-0,209294944198276;-0,0054172227471218;-0,209342531525027;-0,0185076486828465;-0,168817271649291;0,939946902893224;0,262690069077108;0,000103481927321255;0,0677614158685782;0,000368230842696996;0,0216927090991642;0,647384093185132;0,000214861295719781;1,43944177423208e-07;0,000214959012720213;1,68013124917833e-06;0,000139789473653586;0,00433358538447042;0,00161434977578475;0,571051413299261;0,000526439004426861
"commentaire";-0,817363268338329;1,04674288200933;0,357245269923557;0,153512470614821;-0,07582229567448;-0,185916723208909;-0,584538494063233;0,748579648269532;0,255484458601695;0,109784659855757;-0,0542244216822722;-0,132958606797489;0,493256747476906;0,475672205828923;0,0242950123606173;0,00311904479114883;0,000538754013185121;0,00311823552922024;0,00113843690907135;0,00186706211297818;0,000217476186078238;4,01574434126508e-05;9,79653721126612e-06;5,89000476597331e-05;0,00170403587443946;0,933674206520367;0,0014854890542159
