"";"banalfreq";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";25;-0,9872;-0,2149;-0,1759;-0,0802;0,4882;1,4114;-0,0215
"évolution";12;0,8236;0,9253;-0,0844;-0,0385;-1,3459;-0,1605;-0,0103
"sortir";18;-0,8456;0,2334;-0,1266;-0,0577;0,468;0,9916;-0,0155
"penser";25;-0,9872;0,6672;0,4775;-0,0802;-0,4385;1,4114;-0,0215
"suivre";10;-0,5983;0,2966;0,8254;-0,0321;0,3339;-0,1337;-0,0086
"poser";11;0,558;-0,3553;-0,0774;-0,0353;-0,3894;0,5416;-0,0094
"fou";10;0,3339;-0,3055;-0,0703;-0,0321;0,3339;-0,1337;-0,0086
"expérience";19;-0,9284;0,7249;-0,1337;-0,061;0,5702;-0,2542;-0,0163
"aller";40;0,268;-1,5203;0,3213;-0,1285;0,7953;0,4645;-0,0344
"semaine";22;-1,1868;-0,298;-0,1548;-0,0706;1,7197;-0,2944;-0,0189
"différent";12;-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"extra_terrestre";11;-0,3312;-0,8543;0,7874;-0,0353;0,7863;-0,1471;-0,0094
"apparition";16;-1,967;0,9724;-0,1125;-0,0513;0,785;-0,214;-0,0137
"époque";15;-1,8439;1,075;-0,1055;-0,0481;0,6534;-0,2007;-0,0129
"mythe";11;-1,3519;-0,3553;-0,0774;-0,0353;1,9711;-0,1471;-0,0094
"italie";14;-1,7209;0,389;-0,0985;-0,0449;1,3025;-0,1873;-0,012
"chaîne";10;-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"science";12;-1,4749;0,216;-0,0844;-0,0385;1,4782;-0,1605;-0,0103
"leçon";11;-0,3312;-0,8543;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"plan";14;-0,974;0,389;1,6873;-0,0449;-0,2995;0,4556;-0,012
"notamment";11;-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"recherche";39;-1,2489;-0,6739;-0,2746;-0,1252;1,1824;1,5282;-0,0335
"garçon";11;0,2728;-0,3553;-0,0774;1,1078;-0,3894;0,5416;-0,0094
"nucléaire";10;-1,229;0,6647;-0,0703;-0,0321;0,6313;-0,1337;-0,0086
"frère";17;-0,2308;-0,6839;-0,1196;-0,0545;0,6077;0,3897;-0,0146
"meilleur";11;-0,6892;-0,8543;-0,0774;1,1078;1,2762;-0,1471;-0,0094
"animal";21;-1,0992;0,339;-0,1477;-0,0674;0,7984;0,322;-0,018
"façon";10;-1,229;0,2966;-0,0703;-0,0321;1,0804;-0,1337;-0,0086
"face";11;0,2728;-0,8543;-0,0774;-0,0353;-0,3894;1,3761;1,6675
"seul";18;0,5686;0,4699;-0,1266;-0,0577;-0,5258;-0,2408;-0,0155
"mauvais";12;-0,3959;-0,932;-0,0844;-0,0385;0,9507;0,5101;-0,0103
"chef";12;-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"appeler";10;-1,229;0,6647;0,8254;-0,0321;0,3339;-0,1337;-0,0086
"soucoupe";15;1,279;-1,1652;-0,1055;0,9793;-0,6648;0,4318;-0,0129
"the";11;-0,6892;0,2528;-0,0774;-0,0353;0,7863;-0,1471;-0,0094
"transformer";11;0,2728;-0,8543;-0,0774;-0,0353;0,4479;0,5416;-0,0094
"commencer";15;-1,8439;0,3419;0,6662;-0,0481;0,6534;0,4318;-0,0129
"zone";11;-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"donner";38;-0,4158;-0,9575;0,3373;-0,122;0,8279;0,4937;-0,0326
"cours";19;-1,4773;1,5932;-0,1337;-0,061;-0,2507;0,3535;-0,0163
"nom";10;-0,5983;1,1817;-0,0703;-0,0321;-0,2705;-0,1337;-0,0086
"marine";11;-0,3312;0,2528;-0,0774;-0,0353;0,4479;-0,1471;-0,0094
"message";10;-1,229;1,1817;-0,0703;-0,0321;0,3339;-0,1337;-0,0086
"déguiser";15;0,5207;-1,1652;-0,1055;-0,0481;0,6534;-0,2007;-0,0129
"ligne";12;-1,4749;0,9253;-0,0844;-0,0385;0,5741;-0,1605;-0,0103
"près_de";14;0,6059;-0,5141;-0,0985;-0,0449;-0,5243;1,1832;-0,012
"explication";12;-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"héros";12;0,4686;-0,932;-0,0844;-0,0385;0,5741;-0,1605;-0,0103
"vendre";10;0,3339;0,2966;0,8254;-0,0321;-1,4639;1,4546;-0,0086
"aimer";11;-1,3519;-0,3553;-0,0774;-0,0353;1,2762;0,5416;-0,0094
"réalité";21;0,6136;0,9384;-0,1477;-0,0674;-1,2885;0,322;-0,018
"visage";12;-1,4749;0,5059;-0,0844;-0,0385;0,9507;-0,1605;-0,0103
"justice";11;-0,6892;-0,8543;-0,0774;-0,0353;1,9711;-0,1471;-0,0094
"portrait";13;-1,5979;1,9376;-0,0914;-0,0417;-0,3975;-0,1739;1,5958
"effet";11;0,2728;-0,3553;-0,0774;-0,0353;-0,3894;1,3761;-0,0094
"jouer";13;-0,2244;-1,0097;-0,0914;-0,0417;1,1231;-0,1739;-0,0112
"volant";22;0,8199;0,3041;-0,1548;0,8238;-1,4679;0,8463;-0,0189
"également";10;-1,229;0,6647;-0,0703;-0,0321;0,3339;0,5767;-0,0086
"université";17;-1,2726;-0,6839;-0,1196;-0,0545;1,3406;1,0343;-0,0146
"carrière";11;-1,3519;0,2528;-0,0774;-0,0353;1,2762;-0,1471;-0,0094
"he";12;-0,7823;-0,932;-0,0844;1,0716;1,4782;-0,1605;-0,0103
"chercher";16;1,1296;-0,6263;-0,1125;-0,0513;-0,8175;1,0801;-0,0137
"star";14;-0,974;-0,2279;-0,0985;-0,0449;0,8569;0,4556;-0,012
"force";11;-0,3312;-0,3553;-0,0774;1,1078;0,2276;0,5416;-0,0094
"nes";15;-1,0722;-1,1652;-0,1055;-0,0481;1,488;0,4318;1,5345
"famille";23;-0,8374;-1,046;1,2839;-0,0738;1,4325;-0,3078;-0,0197
"créer";15;-0,3239;-1,1652;-0,1055;-0,0481;0,6534;1,1296;-0,0129
"lieu";15;0,2793;-0,5697;0,6662;0,9793;-0,6648;1,1296;-0,0129
"ville";14;0,9778;-0,2279;0,6928;-0,0449;-1,811;0,4556;1,564
"etats";15;-0,3239;0,655;-0,1055;-0,0481;-0,2243;-0,2007;-0,0129
"père";16;-0,3788;-0,3012;1,5762;-0,0513;-0,3115;0,4099;-0,0137
"équipe";22;-0,7652;-0,984;-0,1548;1,95;0,4238;1,5568;-0,0189
"clair";10;-1,229;-0,7766;-0,0703;-0,0321;1,0804;1,4546;-0,0086
"main";11;0,2728;-0,3553;-0,0774;-0,0353;0,4479;-0,1471;-0,0094
"agir";21;-0,4181;0,5982;1,3558;-0,0674;-0,9321;0,8793;-0,018
"trace";10;-1,229;0,2966;0,8254;-0,0321;0,6313;-0,1337;-0,0086
"débarquer";12;1,8835;-0,932;1,8176;1,0716;-1,9767;-0,1605;-0,0103
"mot";11;-1,3519;0,2528;-0,0774;-0,0353;0,7863;0,5416;-0,0094
"rappeler";13;-0,2244;-0,4598;0,7216;-0,0417;0,4181;-0,1739;-0,0112
"fils";11;0,2728;-0,8543;0,7874;-0,0353;-0,3894;1,3761;-0,0094
"important";11;-1,3519;1,6439;0,7874;-0,0353;-0,3894;-0,1471;-0,0094
"revenir";32;-1,5573;1,5626;0,3929;-0,1027;0,3519;-0,4284;-0,0275
