"";"X.genregroupe_Animation";"X.genregroupe_Documentaire";"X.genregroupe_Feuilleton";"X.genregroupe_Longmétrage";"X.genregroupe_Magazine";"X.genregroupe_Série";"X.genregroupe_Tranchehoraire"
"devenir";1,09;2,19;0;0;2,52;8,88;0
"commenter";0;0;0;0;2,85;0;0
"accidentellement";9,46;0;0;0;0;0;0
"évolution";1,82;2,19;0;0;0,5;0;0
"chine";0,36;3,84;0;0;0,5;0;0
"substance";0,36;4,93;0;0;0;0;0
"karim";0;0;0;0;2,35;0;0
"unir";1,46;9,86;0;0;1,34;0;0
"sortir";0,73;1,64;0;0;1,85;5,92;0
"commentaire";0;0;0;0;3,19;0;0
"zorbb";4;0;0;0;0;0;0
"consacrer";0;0;0;0;3,86;0;0
"sentir";0;0;0;0;3,02;0;0
"député";0;0;0;0;5,2;0;0
"affaire";0;0,55;0;0;4,03;11,83;0
"guerre";0,73;0;0;36,59;0,84;5,92;0
"parler";0,36;0,55;0;0;8,23;2,96;0
"fry";16,75;0;0;0;0;0;0
"penser";1,09;3,29;5,59;0;2,01;8,88;0
"suivre";0,36;1,1;5,59;0;1,01;0;0
"évoquer";1,09;3,84;0;0;4,87;0;0
"tête";17,84;0,55;0;0;1,34;0;0
"possible";0,36;6,58;5,59;0;0,84;0;0
"poser";1,46;0,55;0;0;0,84;2,96;0
"théorie";0;6,58;0;0;0,34;0;0
"fou";1,09;0,55;0;0;1,01;0;0
"expérience";0,73;2,74;0;0;2,01;0;0
"corps";0;2,74;5,59;0;0,84;17,75;0
"reportage";0,36;0;0;0;7,72;0;0
"explorer";0;4,93;0;0;0,67;0;0
"convaincre";0,73;0;16,76;0;0,5;8,88;0
"sy";0;0;0;0;4,03;0;0
"internet";0;0,55;0;0;1,34;8,88;0
"aller";3,64;1,1;5,59;0;4,2;5,92;0
"affirmer";0;6,58;16,76;0;1,34;2,96;0
"semaine";0,73;1,64;0;0;2,85;0;0
"différent";0;1,64;0;0;1,51;0;0
"extra_terrestre";0,73;0;5,59;0;1,34;0;0
"monde";20,39;23,01;5,59;0;4,7;11,83;0
"visiteur";0;9,86;39,11;0;0,34;0;0
"naulleau";0;0;0;0;2,01;0;0
"fille";38,95;2,19;0;0;3,53;5,92;0
"désert";0,73;8,22;0;24,39;0,17;2,96;0
"humoriste";0;0;0;0;2,18;0;0
"apparition";0;2,74;0;0;1,85;0;0
"venir";5,46;6,03;16,76;24,39;3,36;11,83;0
"tomber";1,46;1,1;5,59;24,39;1,01;8,88;0
"laisser";1,09;6,03;5,59;0;1,01;2,96;0
"époque";0;2,74;0;0;1,68;0;0
"intervenir";9,46;0;0;0;0,67;0;0
"origine";0,36;10,96;0;0;2,35;0;0
"image";0;4,93;0;0;5,37;2,96;45,45
"mythe";0;0,55;0;0;1,68;0;0
"italie";0;1,64;0;0;1,85;0;0
"édition";0;0,55;0;0;4,7;0;0
"répondre";0;0;0;0;1,85;2,96;0
"présenter";1,09;2,19;0;0;9,57;0;0
"chaîne";0;1,1;0;0;1,34;0;0
"spatial";1,09;0,55;11,17;24,39;1,68;2,96;0
"écrivain";0;0,55;0;0;3,69;0;0
"terre";5,46;25,21;16,76;12,2;2,85;5,92;45,45
"richard";0;0;0;0;2,18;0;0
"gagner";0;0;0;24,39;1,51;0;0
"espace";5,1;1,1;0;48,78;3,53;0;0
"vie";0;13,7;5,59;0;10,91;11,83;0
"mort";0;2,19;0;0;1,34;8,88;0
"damien";0;0;0;0;2,01;0;0
"science";0;1,1;0;0;1,68;0;0
"information";0;1,1;11,17;0;2,85;0;0
"débat";0;0;0;0;6,04;0;0
"créature";0;12,05;5,59;0;0,17;8,88;0
"visuel";0;0;0;0;4,87;0;0
"boucherie";0;0;0;0;1,68;0;0
"astrophysicien";0;0;0;0;1,68;0;0
"comprendre";1,09;0,55;11,17;0;3,69;20,71;0
"dernier";0,36;3,84;5,59;0;4,03;8,88;0
"leçon";0,73;0;0;0;1,51;0;0
"grandir";9,46;0;0;0;0,84;0;0
"plan";0,36;1,64;11,17;0;1,18;2,96;0
"secte";0;4,93;0;0;0,17;0;0
"notamment";0;1,1;0;0;1,51;0;0
"incident";28,76;1,64;0;0;0;0;0
"recherche";1,82;2,19;0;0;4,36;11,83;0
"garçon";1,09;0,55;0;12,2;0,84;2,96;0
"environnement";9,1;0;0;24,39;0,34;0;0
"nucléaire";0;1,64;0;0;1,18;0;0
"belhousse";0;0;0;0;2,52;0;0
"témoin";0,73;3,29;0;0;3,69;2,96;0
"mystère";0;2,74;0;24,39;0,67;0;0
"kelly";0;0;0;0;2,01;0;0
"retrouver";3,64;1,64;27,93;0;1,18;29,59;0
"victime";0,73;1,64;0;0;0,34;11,83;0
"technologie";0;6,58;11,17;0;0,34;0;0
"alexandre";0;0;0;0;2,69;0;0
"frère";1,46;0,55;0;0;1,85;2,96;0
"millénaire";15,65;1,1;0;0;0;0;0
"meilleur";0,36;0;0;12,2;1,51;0;0
"observation";0;5,48;0;0;0,17;0;0
"tirailleur";0;0;0;0;1,68;0;0
"décontraction";9,46;0;0;0;0;0;0
"astronaute";0,36;16,44;0;0;1,51;0;0
"découverte";0;4,93;16,76;0;2,18;0;0
"millier";0;5,48;0;0;0,84;0;0
"continuer";0;3,84;5,59;0;1,18;2,96;0
"ambre";0;0;0;0;8,06;0;0
"laëtitia";0;0;0;0;2,52;0;0
"animal";0,73;2,19;0;0;2,35;2,96;0
"pyramide";0;6,58;0;0;0;0;0
"robot";10,56;0;0;0;0,84;0;0
"temps";1,09;3,84;11,17;0;1,51;11,83;0
"façon";0;1,1;0;0;1,34;0;0
"face";1,09;0;0;0;0,84;5,92;45,45
"rouge";0;0;0;0;1,68;0;0
"montrer";1,09;0,55;0;0;3,19;2,96;0
"tenter";16,38;0;11,17;0;1,01;17,75;0
"quitter";9,46;0,55;5,59;0;1,85;0;0
"inviter";0;0;0;0;5,54;2,96;0
"site";0;7,12;11,17;0;2,18;2,96;0
"alliance";0;0;0;0;2,69;0;0
"lune";0;1,64;0;48,78;1,18;2,96;45,45
"seul";2,18;2,19;0;0;1,34;0;0
"mauvais";0,73;0;0;0;1,51;2,96;0
"chef";0;1,64;0;0;1,51;0;0
"appeler";0;1,64;5,59;0;1,01;0;0
"françois";0,73;0;5,59;0;3,19;0;45,45
"soucoupe";2,55;0;0;12,2;1,01;2,96;0
"nombre";0;3,29;0;0;0,5;2,96;0
"pizza";15,65;0;0;0;0;0;0
"alexis";0;0;0;0;2,18;0;0
"enlever";1,82;0;0;0;0,34;8,88;0
"prendre";19,66;2,19;5,59;0;3,36;2,96;0
"livreur";15,65;0;0;0;0;0;0
"état";0;8,22;0;0;0,67;0;0
"grave";17,84;0;0;0;0,17;0;0
"déage";0;0;0;0;1,68;0;0
"yacine";0;0;0;0;2,52;0;0
"thierry";0;0;0;0;5,2;0;0
"carbonnier";0;0;0;0;6,71;0;0
"jerry";3,28;0;0;0;0,17;0;0
"raid";0;0;0;0;2,52;0;0
"déclaration";0;0;0;0;3,69;0;0
"contact";0;7,67;0;0;1,01;0;0
"the";0,36;1,1;0;0;1,34;0;0
"photo";0;1,1;5,59;0;3,53;0;0
"transformer";1,09;0;0;0;1,18;2,96;0
"lci";0;0;0;0;3,53;0;0
"bord";1,82;0;0;36,59;0,67;0;0
"jacques";0,36;0;0;0;2,52;2,96;45,45
"connaître";0;3,84;5,59;0;3,02;2,96;0
"peupler";9,1;0;0;0;0,17;0;0
"commencer";0;1,64;5,59;0;1,68;2,96;0
"archive";0;0,55;0;0;1,85;0;0
"sujet";0,36;0;0;0;5,04;0;0
"zone";0;1,1;0;0;1,51;0;0
"donner";2,91;1,64;5,59;0;4,03;5,92;0
"urgentiste";0;0;0;0;2,01;0;0
"ciel";0,36;9,32;0;0;1,51;2,96;0
"cas";0;2,19;0;0;4,53;2,96;0
"discussion";0;0;0;0;2,52;0;0
"cours";0,36;3,84;0;0;1,68;2,96;0
"découvrir";3,64;6,58;27,93;12,2;2,35;11,83;0
"forme";1,09;8,22;0;0;2,01;2,96;0
"nom";0,36;2,19;0;0;0,84;0;0
"ex";1,09;0,55;0;0;2,85;0;0
"marine";0,73;1,1;0;0;1,18;0;0
"toulouse";0;0;0;0;2,01;0;0
"message";0;2,19;0;0;1,01;0;0
"incroyable";0;7,12;0;0;0,84;0;0
"premier";0,36;6,58;5,59;0;6,04;8,88;0
"déguiser";1,82;0;0;0;1,68;0;0
"ligne";0;2,19;0;0;1,34;0;0
"étrange";1,46;16,44;5,59;24,39;1,34;5,92;0
"secrétaire";0;0;0;0;4,87;0;0
"bruno";0;0;0;0;3,36;0;0
"près_de";1,82;0,55;0;0;1,01;5,92;0
"maïa";0;0;0;0;6,21;0;0
"prétexte";28,03;0;0;0;0;0;0
"explication";0;1,64;0;0;1,51;0;0
"ami";2,55;0;0;73,17;1,01;8,88;0
"héros";1,46;0;0;0;1,34;0;0
"vendre";1,09;1,1;5,59;0;0,34;5,92;0
"loi";0;0;0;0;1,68;0;0
"giorgio";0;10,41;0;0;0;0;0
"aile";9,46;0;0;0;0;0;0
"aimer";0;0,55;0;0;1,51;2,96;0
"vidéo";0,36;0,55;0;0;2,85;0;0
"réalité";2,55;3,29;0;0;1,18;2,96;0
"visage";0;1,64;0;0;1,51;0;0
"posséder";8,37;4,93;0;0;0,5;0;0
"diffuser";0;0;0;0;1,68;0;0
"base";0,36;2,74;0;24,39;0,5;0;0
"véritable";0,73;2,19;0;0;0,5;8,88;0
"jour";0,36;2,19;0;0;3,02;5,92;0
"justice";0,36;0;0;0;1,68;0;0
"voler";10,92;0;0;0;0,34;2,96;0
"culture";0,36;6,58;0;0;2,18;0;0
"portrait";0;3,29;0;0;1,01;0;45,45
"effet";1,09;0,55;0;0;0,84;5,92;0
"planète";14,2;3,84;0;0;2,01;8,88;0
"grand";1,82;6,58;5,59;24,39;5,37;8,88;0
"pierre";0;0,55;0;0;3,86;0;0
"jouer";1,09;0;0;0;1,68;0;0
"hapsatou";0;0;0;0;1,85;0;0
"univers";9,46;3,29;0;0;1,85;0;0
"info";0;0;0;0;2,69;0;0
"cryogénisé";15,65;0;0;0;0;0;0
"rester";0,36;5,48;5,59;0;1,01;8,88;0
"visite";0,36;5,48;5,59;0;1,34;2,96;0
"structure";0;5,48;0;0;0,17;0;0
"utiliser";1,09;4,38;0;0;1,34;0;0
"rencontre";0,36;3,84;0;0;2,52;5,92;0
"suite";0;1,1;0;0;2,69;0;0
"scientologie";0;8,77;0;0;0;0;0
"élection";0;0;0;0;2,18;0;0
"témoignage";0;1,64;0;0;3,86;2,96;0
"gens";0;1,1;0;0;2,85;0;0
"danger";9,46;0;5,59;0;0,34;0;0
"volant";2,91;2,19;0;12,2;1,18;5,92;0
"entrer";1,09;3,84;0;0;0,5;0;0
"heure";0,36;0;0;0;2,01;0;0
"également";0;1,64;0;0;1,01;2,96;0
"rencontrer";0;3,29;0;12,2;0,5;8,88;45,45
"représentant";0;5,48;0;0;0,17;0;0
"avocat";0;1,1;0;0;3,69;0;0
"université";0,36;0,55;0;0;2,18;5,92;0
"médecin";0;0,55;5,59;0;2,85;0;0
"réaliser";0,73;0,55;0;0;1,18;2,96;136,36
"trouver";2,18;6,58;5,59;24,39;1,68;2,96;0
"mohammed";0;0;0;0;1,85;0;0
"média";0;0,55;0;0;2,01;0;0
"preuve";0;15,89;0;0;1,34;2,96;0
"luc";0;0;0;0;5,37;0;0
"carrière";0;1,1;0;0;1,51;0;0
"examiner";0;8,22;0;0;0;2,96;0
"femme";0,36;2,74;5,59;0;2,52;14,79;0
"persuader";2,55;0,55;5,59;0;0,34;14,79;0
"général";0;0;0;0;5,54;0;0
"he";0,36;0;0;12,2;1,68;0;0
"étude";0;0;0;0;2,52;5,92;0
"laporte";0;0;0;0;2,01;0;0
"chercher";2,55;0,55;0;0;1,01;5,92;0
"homme";0,73;11,51;0;12,2;6,88;17,75;45,45
"star";0,36;1,1;0;0;1,68;2,96;0
"fois";0;2,19;0;0;3,02;0;0
"aider";1,46;0;0;0;0,34;11,83;0
"siècle";0;4,38;0;0;0,34;2,96;0
"voix";0,36;0,55;0;0;2,52;0;0
"réputation";0;0;0;0;2,85;5,92;0
"voir";2,18;4,93;11,17;0;6,04;17,75;0
"légende";0;3,84;0;0;0,84;0;0
"force";0,73;0,55;0;12,2;1,01;2,96;0
