"";"*genregroupe_Animation";"*genregroupe_Documentaire";"*genregroupe_Feuilleton";"*genregroupe_Longmétrage";"*genregroupe_Magazine";"*genregroupe_Série";"*genregroupe_Tranchehoraire"
"pre";1720;1209;132;78;4112;325;24
"ver_sup";106;120;11;4;227;33;2
"adj_dem";2;39;8;2;82;5;1
"ono";13;11;1;0;46;0;2
"pro_per";603;342;62;20;904;111;3
"num";65;66;6;0;1424;4;5
"adv";58;37;5;6;136;10;0
"ver";1010;731;119;49;2125;273;12
"adj_ind";8;48;5;1;75;5;0
"adj_pos";142;98;20;4;333;50;2
"aux";482;460;34;15;789;75;3
"nr";481;294;53;31;3442;159;18
"pro_ind";78;78;8;5;157;15;0
"adj";703;688;55;32;1479;98;3
"pro_dem";17;55;5;0;177;19;1
"nom";1760;1845;172;107;6325;430;28
"art_ind";660;549;41;26;1002;121;10
"adj_int";0;2;0;0;7;1;0
"pro_pos";0;1;0;0;1;0;0
"nom_sup";122;39;4;2;190;15;1
"adv_sup";295;222;34;14;534;68;1
"adj_sup";9;2;1;0;34;0;0
"art_def";840;954;82;56;2942;207;8
"adj_num";25;25;2;0;57;8;0
"pro_rel";252;189;18;7;349;46;1
"con";411;261;37;17;839;99;3
