"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"devenir";-0,175325906601463;0,6211783679631;0,0252420797550011;0,0587384572040084;-0,270312083326742;0,957713677438986;0,0389174611917689;0,0905611443624596;0,408839414267142;0,587090911271809;0,000706114823611417;0,00336355963758673;6,89219137345848e-05;0,000865162701402018;1,42861567344806e-06;7,73588868768413e-06;0,00224215246636771;0,207620276690699;9,6650626217763e-05
"commenter";-0,868310893261849;0,785218433106824;0,0189513105012239;-0,00958206044347756;-0,74158212338492;0,670616892478322;0,0161853930331684;-0,0081835720192144;0,914412487845467;0,0855430560518556;3,62939831126639e-05;8,16211956706171e-06;0,00114954123094818;0,000940058815313228;5,47586267725074e-07;1,39988340791191e-07;0,00152466367713004;0,687549904529937;0,000720746440423779
"accidentellement";2,01912655115657;0,101718161674668;0,04516284905859;0,275086763087705;0,989372040291506;0,0498419007432308;0,0221297967147626;0,134792518030815;0,99831032675022;0,000289832864487938;4,16165079182363e-05;0,00135822387737681;0,00950660742324851;2,41265645539302e-05;4,75621132845861e-06;0,000176456583666175;0,00233183856502242;1,53013873325352;0,00545959086260719
"évolution";0,334788041912491;0,500426653343426;0,0298727849001335;0,109029949361179;0,546495471506189;0,81687774243939;0,0487632162007406;0,177976409324703;0,791118667389902;0,202206337354555;0,000524828813342597;0,00615016644220245;0,000120627479470063;0,00026951767036036;9,60412496168226e-07;1,27937541069431e-05;0,0010762331838565;0,28500282972285;8,74187762690925e-05
"chine";-0,861400097433568;-1,75955948059386;0,961019810748953;0,591142752874929;-0,381021133559987;-0,778301917842303;0,425085693345199;0,261478820895475;0,61898419439613;0,29545392981556;0,0641946589826377;0,0213672168056748;0,000732027928829074;0,00305439867472869;0,000911134515082645;0,000344748636506013;0,000986547085201794;0,829020343009495;0,000678028880749722
"substance";-0,579567148820008;0,716868405963605;0,0215724643569719;0,0188848219096441;-0,628399547915143;0,777269352031684;0,0233900884081108;0,0204759941529464;0,850910608647526;0,148924941199554;9,82291590001591e-05;6,62209939224466e-05;0,000301253883400317;0,000460897140330762;4,17373290074283e-07;3,19853361936299e-07;0,000896860986547085;0,475731427506654;0,00020297792925338
"karim";-0,86831089326185;0,785218433106819;0,0189513105012367;-0,0095820604434737;-0,741582123384922;0,67061689247832;0,0161853930331794;-0,00818357201921112;0,914412487845469;0,0855430560518547;3,62939831127133e-05;8,16211956705513e-06;0,000946681013722035;0,000774166083199121;4,50953396950673e-07;1,15284515945593e-07;0,00125560538116592;0,687549904529937;0,0005935558921137
"unir";-0,483319234006061;0,694085063582533;0,0224461823088836;0,0283737826940167;-0,570922759827146;0,819890730958104;0,0265146417723786;0,0335166432093629;0,808829284620737;0,190821034908872;0,000145357742901663;0,000204322727491945;0,000628513404377234;0,00129619930624673;1,35559937285285e-06;2,16611177856667e-06;0,00269058295964126;0,406916870615243;0,00044551033073893
"sortir";-0,222434863718252;-0,92181257447296;0,600484624776475;0,420787286258034;-0,185564851751963;-0,769016200364342;0,500950428873064;0,351039082130972;0,26080847162722;0,512405017226717;0,158374133002963;0,0684123781431031;7,98736174665855e-05;0,00137177503176828;0,000582105123109686;0,000285839903585221;0,00161434977578475;0,329793477399003;0,00017558271562589
"commentaire";-0,86831089326185;0,785218433106819;0,0189513105012368;-0,00958206044347369;-0,741582123384921;0,67061689247832;0,0161853930331794;-0,00818357201921112;0,914412487845468;0,0855430560518547;3,62939831127134e-05;8,16211956705512e-06;0,00128478137576562;0,00105065397005595;6,12008181575917e-07;1,56457557354734e-07;0,00170403587443946;0,687549904529937;0,000805540139297165
"zorbb";2,01912655115657;0,101718161674674;0,0451628490585886;0,275086763087704;0,989372040291506;0,0498419007432337;0,0221297967147619;0,134792518030815;0,99831032675022;0,000289832864487972;4,16165079182338e-05;0,0013582238773768;0,00402202621752822;1,02073926958947e-05;2,01224325434775e-06;7,46547084741505e-05;0,000986547085201794;1,53013873325352;0,00230982690341073
"consacrer";-0,865005730039629;-0,431849264750026;0,46950581061971;0,277721111143589;-0,779223280368832;-0,389022857326005;0,422945010880515;0,250179562675348;0,942848346092587;0,0268831641254073;0,0231446334239222;0,00712385635808639;0,00154344421515982;0,000384695705085037;0,00045471042535699;0,000159100211499648;0,0020627802690583;0,674525097620285;0,000938532239314087
"sentir";-0,86831089326185;0,785218433106819;0,0189513105012368;-0,00958206044347368;-0,741582123384922;0,67061689247832;0,0161853930331794;-0,00818357201921111;0,914412487845469;0,0855430560518547;3,62939831127134e-05;8,1621195670551e-06;0,0012171613033569;0,000995356392684584;5,79797224650868e-07;1,48222949072905e-07;0,00161434977578475;0,687549904529937;0,000763143289860472
"député";-0,86831089326185;0,785218433106819;0,0189513105012367;-0,00958206044347376;-0,741582123384922;0,67061689247832;0,0161853930331794;-0,00818357201921117;0,914412487845469;0,0855430560518547;3,62939831127132e-05;8,16211956705523e-06;0,00209622224467022;0,00171422489851234;9,98539664676489e-07;2,55272856736675e-07;0,00278026905829596;0,687549904529937;0,00131430233253748
"affaire";-0,467422323200306;-0,274318054356491;0,379903022810005;0,257543740957462;-0,65815259746257;-0,386252712043097;0,534921309565138;0,362633690472552;0,895500053341279;0,035283173477811;0,0492897600448939;0,0199270131360188;0,000568253382829881;0,00019571851600287;0,000375377838158314;0,000172514311810275;0,00260089686098655;0,374004383621706;0,000363811577585589
"guerre";0,816027615982228;0,386509941438068;0,034241374659692;0,156474753283047;0,889857224169439;0,421479196127429;0,0373393424556393;0,170631712557241;0,972284298224034;0,024952670791253;0,000142642989269784;0,00262038799544682;0,000716664828748669;0,0001607784051987;1,26185299219953e-06;2,6350868249317e-05;0,0010762331838565;0,626625798687404;0,000422593605288567
"parler";-0,747626585209258;-0,775934610322106;-1,16134156778789;0,143362336344805;-0,470002147029217;-0,487798240486048;-0,730087775225126;0,0901260164074069;0,753594506768861;0,092860418981561;0,151513971555259;0,0020311026943209;0,00260674139617992;0,00280788116715492;0,00628996774239875;9,585143435664e-05;0,00466367713004484;0,65210259000505;0,00198317174621949
"fry";2,01912655115657;0,101718161674674;0,0451628490585886;0,275086763087704;0,989372040291506;0,0498419007432337;0,0221297967147619;0,134792518030815;0,998310326750221;0,000289832864487972;4,16165079182338e-05;0,0013582238773768;0,0168193823642089;4,26854603646507e-05;8,41483542727243e-06;0,000312192417255539;0,00412556053811659;1,53013873325352;0,00965927614153579
"penser";-0,0598284088246928;0,593838357105819;0,0262905412972953;0,0701252101452561;-0,0994612387629248;0,987221619009657;0,0437064908886159;0,116579070153692;0,0807295124335941;0,909842157382607;0,00129891570812759;0,00812941447567466;8,02564686657977e-06;0,000790681601726767;1,54975910696141e-06;1,10258858697676e-05;0,00224215246636771;0,159437816754389;5,69964515950811e-05
"suivre";-0,290823404378166;0,64851837882039;0,0241936182127071;0,0473517042627619;-0,408042363110751;0,909909477129043;0,0339450711294041;0,0664372296514847;0,636387309987429;0,362009126280466;0,00036696862759921;0,0012365951045083;7,58549350081672e-05;0,000377198284903881;5,24960683607383e-07;2,01092726151396e-06;0,000896860986547085;0,276037858454865;6,83380262783393e-05
"évoquer";-0,849624601153357;-3,41454128144606;-0,75898182385709;0,688051012003589;-0,231836736087982;-0,931724557944199;-0,207103076528466;0,18774821335023;0,337583955339955;0,6237413187101;0,0224468228447205;0,0162279031052267;0,00252489834551705;0,0407806811071992;0,0020148953317374;0,00165588821611187;0,00349775784753363;1,1072258875752;0,00428807331646197
"tête";1,57107591322957;0,207778548621041;0,0410955413514134;0,230914014608728;0,980685574503049;0,129698013703849;0,0256523597875538;0,144139465935709;0,996371895224202;0,00199361220770455;5,68042759499314e-05;0,00157768829214646;0,0128394809378967;0,000224571449819718;8,78501561435086e-06;0,000277366310697557;0,00520179372197309;1,19175363927184;0,00738798661252238
"possible";-0,564370109638859;0,713271036113962;0,0217104198230633;0,0203830788755977;-0,620165963320065;0,783787822326335;0,02385679750522;0,0223982303995561;0,845350017864019;0,154464923877663;0,000104234020444207;8,0824237877751e-05;0,000542758636091638;0,000866937744235212;8,0318423757664e-07;7,07975621930753e-07;0,00170403587443946;0,464778224164435;0,000368103780761568
"poser";0,451071468211167;-2,07024142215392;0,97293414645684;0,720537672661829;0,184841444867136;-0,848349857312592;0,398691928143558;0,295264129704754;0,250979743302919;0,60478649304605;0,097292494042224;0,0469412696088106;0,000200728265809503;0,00422824170457586;0,000933866312713785;0,000512190126903513;0,000986547085201794;0,681751454053469;0,000458532331492755
"théorie";-0,843405777427869;-0,916770396466393;-5,84913152904156;-0,426165982377525;-0,140673646884432;-0,152910305428449;-0,975590499043458;-0,0710812334034078;0,193746496604352;0,0261874985604957;0,776440138699268;0,00362586613588547;0,000893153926061159;0,00105529609306906;0,0429571977593178;0,000228039840672755;0,00125560538116592;1,45084057723985;0,00264297195766093
"fou";-0,00207965993632427;0,580168351677176;0,0268147720684423;0,0758185866158797;-0,00355060834845008;0,990522804710271;0,0457809240371651;0,129445252997388;0,000110923053690053;0,987546091157412;0,00153656124229753;0,0108064245466028;3,87891071816347e-09;0,000301879207433015;6,44871749849788e-07;5,15556778155126e-06;0,000896860986547085;0,149513864800607;2,00487854418065e-05
