"";"X.mediamatgroupe_Cultureconnaissance";"X.mediamatgroupe_Fiction";"X.mediamatgroupe_Information";"X.mediamatgroupe_Jeunesse";"X.mediamatgroupe_Variétésdivertissement"
"pre";146,72;167,85;188,48;150,94;160,38
"ver_sup";9,42;11,74;0;9,43;13,79
"adj_dem";3,45;1,36;0;0;0,73
"ono";1,55;1,21;0;9,43;1,45
"pro_per";34,28;59,89;20,94;66,04;35,56
"num";42,49;5,91;10,47;0;7,26
"adv";4,85;5,98;5,24;0;2,18
"ver";78,56;109,18;41,88;94,34;89,26
"adj_ind";3,5;1,36;0;0;1,45
"adj_pos";11,63;16,35;5,24;37,74;16,69
"aux";34,89;45,88;26,18;18,87;21,77
"nr";103,19;50,2;125,65;75,47;137,16
"pro_ind";6,52;8,03;5,24;0;5,08
"adj";60,1;67,08;73,3;56,6;42,82
"pro_dem";6,4;3,18;0;0;6,53
"nom";225,65;182,39;277,49;245,28;232,22
"art_ind";43,04;64,05;20,94;18,87;42,09
"adj_int";0,26;0,08;0;0;0
"pro_pos";0,06;0;0;0;0
"nom_sup";6,32;10,68;10,47;0;7,26
"adv_sup";21,19;30,74;5,24;18,87;15,24
"adj_sup";1;0,68;0;0;1,45
"art_def";107,9;86,61;115,18;132,08;109,58
"adj_num";2,18;2,5;5,24;0;5,08
"pro_rel";14,93;24,53;5,24;18,87;10,89
"con";29,92;42,55;57,59;47,17;34,11
