"";"";"";"";"super";""
"1";"super";"1.87941183610406";"0.134790755453649";"2.51322317786956";"6"
"2";"péril";"2.01912655115657";"0.101718161674674";"2.42592931559476";"7"
"3";"sauver";"1.89556104468065";"-0.145042603505088";"2.39850960648098";"8"
"4";"grave";"1.9613778022682";"0.115388167103317";"2.30910537626999";"9"
"5";"pizza";"2.01912655115657";"0.101718161674674";"2.18711103550156";"12"
"6";"livreur";"2.01912655115657";"0.101718161674674";"2.18711103550156";"13"
"7";"cryogénisé";"2.01912655115657";"0.101718161674674";"2.18711103550156";"14"
"8";"new_yorkais";"2.01912655115657";"0.101718161674674";"2.18711103550156";"15"
"9";"réveiller";"1.95350297287433";"0.117252258752677";"2.07444753582242";"17"
"10";"millénaire";"1.89079599807131";"0.132095951516103";"1.98373186267965";"18"
"11";"départ";"1.89079599807131";"0.132095951516103";"1.98373186267965";"19"
"12";"tête";"1.57107591322957";"0.207778548621041";"1.7711349041936";"21"
"13";"accidentellement";"2.01912655115657";"0.101718161674668";"1.51181590700599";"23"
"14";"décontraction";"2.01912655115657";"0.101718161674674";"1.51181590700599";"24"
"15";"aile";"2.01912655115657";"0.101718161674674";"1.51181590700599";"25"
"16";"sse";"2.01912655115657";"0.101718161674674";"1.51181590700599";"26"
"17";"conquérant";"2.01912655115657";"0.101718161674674";"1.51181590700599";"28"
"18";"terrien";"1.764352659002";"0.162027009153981";"1.45889843100604";"29"
"19";"entraîner";"1.91218442358552";"0.127032986542531";"1.41498770387662";"32"
"20";"disciple";"2.01912655115657";"0.101718161674674";"1.39285898866";"33"
"21";"environnement";"1.81999293430013";"0.148856111428615";"1.3770161550819";"34"
"22";"danger";"1.81999293430013";"0.148856111428615";"1.3770161550819";"35"
"23";"peupler";"1.90807126483278";"0.128006633652834";"1.3765488593246";"36"
"24";"intervenir";"1.63413489190078";"0.19285153119896";"1.22151972332646";"40"
"25";"figure";"1.63413489190078";"0.19285153119896";"1.22151972332646";"41"
"26";"manquer";"1.55341083431489";"0.211960140937923";"1.17283052022723";"44"
"27";"lointain";"1.37747378573025";"0.253607110881817";"1.11584304892177";"46"
"28";"décider";"1.41124498391059";"0.245612955660389";"0.848316227868054";"74"
"29";"laure";"1.7785067641217";"0.158676517627353";"0.846763600029287";"75"
"30";"persuader";"1.47773203032811";"0.229874462568201";"0.821439184795014";"81"
"31";"vaisseau";"1.17695729653453";"0.30107240750905";"0.813103231447066";"84"
"32";"humanité";"-0.86831089326185";"0.78521843310682";"0.78738689073893";"96"
"33";"chien";"1.73038280671473";"0.170068188817889";"0.773405703161676";"102"
