"";"x"
"1";1
"2";0
"3";0
"4";0
"5";0
"6";0
"7";0
"8";1
"9";1
"10";1
"11";1
"12";1
"13";1
"14";1
"15";1
"16";1
"17";0
"18";1
"19";0
"20";1
"21";0
"22";1
"23";1
"24";1
"25";1
"26";1
"27";1
"28";1
"29";1
"30";1
"31";1
"32";1
"33";0
"34";1
"35";1
"36";1
"37";1
"38";1
"39";1
"40";1
"41";1
"42";1
"43";1
"44";1
"45";1
"46";1
"47";1
"48";1
"49";1
"50";1
"51";1
"52";1
"53";1
"54";1
"55";1
"56";1
"57";1
"58";1
"59";1
"60";1
"61";1
"62";0
"63";0
"64";0
"65";0
"66";0
"67";1
"68";1
"69";1
"70";1
"71";1
"72";1
"73";1
"74";1
"75";1
"76";0
"77";0
"78";0
"79";0
"80";0
"81";0
"82";1
"83";1
"84";1
"85";1
"86";1
"87";1
"88";1
"89";1
"90";1
"91";1
"92";1
"93";1
"94";1
"95";1
"96";0
"97";0
"98";0
"99";0
"100";1
"101";1
"102";1
"103";0
"104";0
"105";0
"106";0
"107";0
"108";0
"109";1
"110";0
"111";0
"112";0
"113";0
"114";1
"115";0
"116";0
"117";0
"118";0
"119";1
"120";1
"121";0
"122";0
"123";0
"124";0
"125";0
"126";0
"127";1
"128";1
"129";1
"130";1
"131";1
"132";0
"133";0
"134";1
"135";0
"136";1
"137";1
"138";1
"139";1
"140";1
"141";1
"142";1
"143";1
"144";1
"145";1
"146";1
"147";1
"148";1
"149";0
"150";1
"151";1
"152";1
"153";1
"154";1
"155";1
"156";1
"157";1
"158";1
"159";1
"160";1
"161";1
"162";1
"163";1
"164";1
"165";1
"166";1
"167";1
"168";1
"169";1
"170";1
"171";1
"172";1
"173";1
"174";1
"175";1
"176";1
"177";1
"178";0
"179";1
"180";1
"181";0
"182";0
"183";0
"184";0
"185";0
"186";0
"187";1
"188";1
"189";1
"190";1
"191";1
"192";1
"193";1
"194";1
"195";1
"196";1
"197";1
"198";1
"199";0
"200";1
"201";0
"202";1
"203";1
"204";1
"205";0
"206";1
"207";0
"208";1
"209";1
"210";1
"211";0
"212";0
"213";0
"214";0
"215";0
"216";0
"217";1
"218";1
"219";1
"220";1
"221";1
"222";1
"223";1
"224";1
"225";1
"226";1
"227";1
"228";1
"229";1
"230";1
"231";1
"232";1
"233";1
"234";1
"235";1
"236";1
"237";1
"238";1
"239";1
"240";1
"241";1
"242";1
"243";1
"244";1
"245";0
"246";0
"247";0
"248";0
"249";0
"250";1
"251";1
"252";1
"253";0
"254";0
"255";0
"256";0
"257";0
"258";0
"259";1
"260";0
"261";0
"262";0
"263";0
"264";0
"265";1
"266";1
"267";1
"268";1
"269";1
"270";1
"271";1
"272";0
"273";0
"274";0
"275";0
"276";0
"277";0
"278";1
"279";1
"280";0
"281";0
"282";0
"283";0
"284";0
"285";0
"286";1
"287";1
"288";1
"289";1
"290";1
"291";1
"292";1
"293";1
"294";0
"295";1
"296";1
"297";1
"298";1
"299";1
"300";1
"301";1
"302";1
"303";1
"304";1
"305";0
"306";1
"307";1
"308";1
"309";1
"310";1
"311";1
"312";1
"313";1
"314";1
"315";1
"316";1
"317";1
"318";1
"319";1
"320";1
"321";1
"322";1
"323";1
"324";1
"325";1
"326";1
"327";1
"328";1
"329";1
"330";1
"331";1
"332";1
"333";1
"334";1
"335";1
"336";1
"337";0
"338";1
"339";1
"340";1
"341";1
"342";1
"343";0
"344";0
"345";0
"346";0
"347";0
"348";0
"349";1
"350";1
"351";1
"352";1
"353";1
"354";1
"355";1
"356";0
"357";0
"358";0
"359";0
"360";0
"361";1
"362";1
"363";0
"364";0
"365";0
"366";0
"367";0
"368";0
"369";1
"370";1
"371";1
"372";1
"373";1
"374";1
"375";1
"376";1
"377";1
"378";1
"379";0
"380";0
"381";0
"382";0
"383";0
"384";0
"385";0
"386";1
"387";1
"388";1
"389";1
"390";1
"391";1
"392";1
"393";1
"394";1
"395";1
"396";1
"397";1
"398";1
"399";1
"400";1
"401";1
"402";1
"403";1
"404";0
"405";0
"406";0
"407";0
"408";0
"409";0
"410";1
"411";1
"412";1
"413";1
"414";1
"415";1
"416";1
"417";1
"418";1
"419";1
"420";0
"421";1
"422";1
"423";1
"424";1
"425";1
"426";1
"427";1
"428";1
"429";1
"430";0
"431";0
"432";1
"433";1
"434";1
"435";1
"436";1
"437";1
"438";1
"439";1
"440";1
"441";0
"442";0
"443";0
"444";0
"445";0
"446";0
"447";0
"448";0
"449";0
"450";0
"451";1
"452";1
"453";1
"454";1
"455";1
"456";1
"457";1
"458";1
"459";1
"460";1
"461";0
"462";0
"463";1
"464";1
"465";1
"466";1
"467";1
"468";1
"469";0
"470";0
"471";0
"472";0
"473";0
"474";1
"475";1
"476";1
"477";1
"478";1
"479";1
"480";1
"481";1
"482";1
"483";0
"484";1
"485";0
"486";1
"487";1
"488";1
"489";1
"490";1
"491";1
"492";0
"493";0
"494";0
"495";0
"496";0
"497";1
"498";0
"499";1
"500";1
"501";0
"502";0
"503";0
"504";1
"505";1
"506";1
"507";1
"508";1
"509";1
"510";1
"511";1
"512";0
"513";0
"514";0
"515";1
"516";1
"517";1
"518";1
"519";1
"520";1
"521";0
"522";0
"523";0
"524";0
"525";0
"526";0
"527";0
"528";1
"529";0
"530";0
"531";0
"532";0
"533";1
"534";1
"535";1
"536";1
"537";0
"538";0
"539";0
"540";0
"541";0
"542";0
"543";0
"544";1
"545";1
"546";1
"547";0
"548";0
"549";0
"550";0
"551";0
"552";0
"553";1
"554";1
"555";0
"556";0
"557";1
"558";1
"559";0
"560";0
"561";0
"562";1
"563";1
"564";0
"565";0
"566";0
"567";0
"568";0
"569";1
"570";0
"571";0
"572";0
"573";0
"574";0
"575";0
"576";1
"577";1
"578";1
"579";0
"580";0
"581";1
"582";0
"583";0
"584";0
"585";0
"586";0
"587";0
"588";0
"589";0
"590";0
"591";0
"592";1
"593";1
"594";1
"595";1
"596";0
"597";0
"598";0
"599";0
"600";0
"601";0
"602";0
"603";0
"604";0
"605";0
"606";0
"607";0
"608";1
"609";1
"610";1
"611";1
"612";0
"613";0
"614";0
"615";0
"616";0
"617";0
"618";1
"619";1
"620";1
"621";0
"622";1
"623";0
"624";0
"625";0
"626";0
"627";0
"628";0
"629";1
"630";0
"631";0
"632";0
"633";0
"634";0
"635";1
"636";1
"637";1
"638";1
"639";1
"640";0
"641";0
"642";0
"643";0
"644";0
"645";1
"646";0
"647";0
"648";1
"649";0
"650";0
"651";0
"652";1
"653";0
"654";0
"655";0
"656";1
"657";1
"658";1
"659";1
"660";1
"661";1
"662";1
"663";1
"664";0
"665";1
"666";1
"667";1
"668";0
"669";0
"670";0
"671";0
"672";0
"673";0
"674";0
"675";0
