"";"";"";"";"cette";""
"1";"cette";"0.446390567076781";"0.394312872163993";"0.906126163971155";"88"
"2";"elles";"0.433891170934997";"0.255708845358021";"0.869698242666107";"116"
"3";"41";"0.385675333093309";"0.315253569381494";"0.862018783568878";"127"
"4";"plein";"0.485490530911168";"0.366285143722135";"0.859356277692762";"129"
"5";"pourquoi";"0.39614639333197";"0.208427122306628";"0.838001220231844";"143"
"6";"comme";"0.418877519075233";"0.297975446717258";"0.836625958932197";"145"
"7";"moins";"0.439660731355972";"0.426305499097098";"0.834007461417669";"152"
"8";"ailleurs";"0.403290109864679";"0.201727907432378";"0.833534371530591";"155"
"9";"loin";"0.403290109864679";"0.201727907432378";"0.833534371530591";"157"
"10";"me";"0.391709935057368";"0.341930098574115";"0.831509986897511";"158"
"11";"point";"0.391383915643497";"0.212893265556129";"0.831509986897511";"160"
"12";"mon";"0.391383915643497";"0.212893265556129";"0.831509986897511";"161"
"13";"23";"0.425035948865739";"0.27246703283486";"0.831509986897511";"163"
"14";"au";"0.420986014385207";"0.315526407472879";"0.831047899100829";"164"
"15";"contre";"0.489975771482399";"0.451147733506203";"0.825964933337334";"168"
"16";"non";"0.471627451029817";"0.274340521164849";"0.825964933337334";"169"
"17";"nos";"0.415630996637691";"0.362611659999275";"0.824446644862524";"170"
"18";"autres";"0.403616129278551";"0.330764740450364";"0.823115391924466";"172"
"19";"croire";"0.456326052612522";"0.286683846936239";"0.822565287404607";"174"
"20";"pouvoir";"0.420021833640712";"0.316245167741185";"0.820573909042718";"175"
"21";"2016";"0.410629438045712";"0.272450792368919";"0.81974875226293";"176"
"22";"qu";"0.425094821091674";"0.321703517139745";"0.818978605935128";"178"
"23";"aux";"0.435208092726127";"0.35434659261483";"0.816503135595763";"181"
"24";"où";"0.44364485096601";"0.369238254166922";"0.815523949550415";"183"
"25";"vos";"0.403534624425083";"0.298505532195867";"0.814610776047449";"186"
"26";"100";"0.428773649341765";"0.343185857654916";"0.814610776047449";"187"
"27";"certains";"0.415522323499734";"0.319599382326613";"0.804466848701253";"192"
"28";"même";"0.448848337308105";"0.250136316587359";"0.804466848701253";"194"
"29";"bon";"0.446632940673539";"0.32643782046929";"0.8";"197"
