"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"6";"***";"";""
"**";"classe";"1";"**";"";""
"****";"194";"852";"22.77";"****";""
" 0";"107";" 0.00";"-36.08";"blog";"1.895712e-09"
" 0";"105";" 0.00";"-35.31";"mikecriss";"2.813441e-09"
" 1";" 89";" 1.12";"-26.48";"www";"2.662110e-07"
" 0";" 74";" 0.00";"-23.89";"com";"1.018505e-06"
" 0";" 56";" 0.00";"-17.67";"espace";"2.624355e-05"
" 2";" 68";" 2.94";"-16.52";"youtube";"4.807609e-05"
" 0";" 51";" 0.00";"-15.99";"http";"6.354849e-05"
" 0";" 44";" 0.00";"-13.68";"urn";"2.168573e-04"
" 0";" 43";" 0.00";"-13.35";"zinzin";"2.581936e-04"
"28";"207";"13.53";"-13.29";"ovni";"2.675287e-04"
" 0";" 38";" 0.00";"-11.73";"hd";"6.161081e-04"
" 0";" 36";" 0.00";"-11.08";"watch";"8.715819e-04"
" 0";" 35";" 0.00";"-10.76";"saison";"1.036492e-03"
" 0";" 31";" 0.00";" -9.48";"scicos";"2.071669e-03"
" 2";" 46";" 4.35";" -9.38";"https";"2.188732e-03"
" 1";" 37";" 2.70";" -8.86";"vidéo";"2.918875e-03"
" 0";" 29";" 0.00";" -8.85";"wat";"2.928589e-03"
" 0";" 28";" 0.00";" -8.54";"the";"3.482206e-03"
" 0";" 27";" 0.00";" -8.22";"alien";"4.140812e-03"
" 0";" 25";" 0.00";" -7.59";"aliens";"5.857461e-03"
" 0";" 25";" 0.00";" -7.59";"compilation";"5.857461e-03"
" 0";" 24";" 0.00";" -7.28";"di";"6.968428e-03"
" 0";" 23";" 0.00";" -6.97";"html";"8.292024e-03"
" 0";" 23";" 0.00";" -6.97";"episode";"8.292024e-03"
" 0";" 23";" 0.00";" -6.97";"icke";"8.292024e-03"
" 0";" 22";" 0.00";" -6.66";"cinéma";"9.869786e-03"
" 6";" 62";" 9.68";" -6.52";"extraterrestre";"1.067981e-02"
" 0";" 19";" 0.00";" -5.73";"video";"1.668132e-02"
" 0";" 19";" 0.00";" -5.73";"trouver";"1.668132e-02"
" 0";" 19";" 0.00";" -5.73";"sub";"1.668132e-02"
" 1";" 26";" 3.85";" -5.46";"france";"1.944146e-02"
" 1";" 26";" 3.85";" -5.46";"part";"1.944146e-02"
" 0";" 18";" 0.00";" -5.42";"ita";"1.988992e-02"
" 0";" 18";" 0.00";" -5.42";"edge";"1.988992e-02"
" 0";" 18";" 0.00";" -5.42";"cutting";"1.988992e-02"
" 0";" 18";" 0.00";" -5.42";"beyond";"1.988992e-02"
" 0";" 17";" 0.00";" -5.11";"space";"2.373078e-02"
" 0";" 17";" 0.00";" -5.11";"fortnite";"2.373078e-02"
" 0";" 16";" 0.00";" -4.81";"film";"2.833433e-02"
" 0";" 16";" 0.00";" -4.81";"chasseur";"2.833433e-02"
" 0";" 15";" 0.00";" -4.50";"i";"3.386021e-02"
" 0";" 14";" 0.00";" -4.20";"novni";"4.050468e-02"
" 0";" 12";" 0.00";" -3.59";"zone";"5.817945e-02"
" 0";" 11";" 0.00";" -3.29";"nhttps";"6.989091e-02"
" 0";" 11";" 0.00";" -3.29";"partir";"6.989091e-02"
" 0";" 11";" 0.00";" -3.29";"dimensione";"6.989091e-02"
" 1";" 18";" 5.56";" -3.10";"crop";"7.835424e-02"
" 0";" 10";" 0.00";" -2.98";"français";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"by";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"facebook";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"r";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"replay";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"portali";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"altra";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"nextraterrestre";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"matin";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"cospirazione";"8.412530e-02"
" 0";" 10";" 0.00";" -2.98";"contact";"8.412530e-02"
" 0";"  9";" 0.00";" -2.68";"cacher";"1.014994e-01"
" 0";"  9";" 0.00";" -2.68";"gli";"1.014994e-01"
" 0";"  9";" 0.00";" -2.68";"del";"1.014994e-01"
" 4";" 34";"11.76";" -2.44";"secret";"1.183497e-01"
" 0";"  8";" 0.00";" -2.38";"kombat";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"instagram";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"be";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"nalien";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"exister";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"article";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"voir";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"vf";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"photo";"1.228174e-01"
" 0";"  8";" 0.00";" -2.38";"incroyable";"1.228174e-01"
" 0";"  7";" 0.00";" -2.08";"mortal";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"nufo";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"twitter";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"p";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"over";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"youtu";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"oddbods";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"complet";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"jones";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"fantôme";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"enlever";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"black";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"voyage";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"spazio";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"odh";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"obama";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"nufologie";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"lune";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"inganno";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"illuminati";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"dello";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"curieux";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"conquista";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"alex";"1.491496e-01"
" 0";"  7";" 0.00";" -2.08";"00z";"1.491496e-01"
"*****";"*";"*";"*";"*";"*"
" 2";" 57";" 3.51";"-12.89";"12";"0.0003308048"
" 6";" 76";" 7.89";"-10.50";"2";"0.0011940531"
" 2";" 46";" 4.35";" -9.38";"4";"0.0021887325"
" 8";" 84";" 9.52";" -9.30";"1";"0.0022940792"
" 6";" 71";" 8.45";" -9.03";"3";"0.0026542986"
" 1";" 35";" 2.86";" -8.23";"v";"0.0041202488"
" 0";" 27";" 0.00";" -8.22";"6";"0.0041408117"
" 0";" 24";" 0.00";" -7.28";"8";"0.0069684281"
" 0";" 22";" 0.00";" -6.66";"16";"0.0098697861"
"20";"137";"14.60";" -6.20";"ne";"0.0127844818"
" 0";" 18";" 0.00";" -5.42";"04";"0.0198899203"
