"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"ovni";-13,285;-20,452;-13,76;402,845;-17,047;-38,434
"btlv";444,677;-30,377;-22,237;-35,339;-11,076;-24,971
"www";-26,481;301,23;-17,123;-22,978;-6,196;-13,969
"youtube";-16,523;211,084;-12,166;-17,086;-4,607;-10,387
"com";-23,893;260,768;-16,071;-18,737;-5,052;-11,391
"mikecriss";-35,309;-28,788;-23,75;-27,69;-7,466;797,376
"blog";-36,078;-24,515;-24,267;-28,293;-7,629;780,235
"https";-9,384;130,86;-7,276;-11,243;-3,032;-6,835
"tv";10,329;29,779;-10,087;-9,296;-3,171;-7,15
"extraterrestre";-6,518;-7,278;170,011;-10,605;-2,192;-9,399
"espace";-17,672;-2,943;-5,437;-9,089;545,698;-8,425
"http";-15,994;174,558;-10,758;-12,543;-3,382;-7,625
"urn";-13,679;140,532;-6,847;-10,727;-2,893;-6,522
"ufo";-0,258;12,418;0;-2,814;-0,759;-1,711
"wat";-8,851;96,605;-5,954;-6,941;-1,872;-4,22
"vidéo";-8,857;70,388;-3,478;-4,536;-2,411;-1,713
"zinzin";-13,352;-14,073;-8,981;-10,471;726,38;-6,365
"watch";-11,082;120,952;-7,454;-8,691;-2,343;-5,283
"the";-8,536;0,378;-5,741;-6,694;-1,805;93,601
"fr";0,79;22,516;-2,548;-5,465;-1,474;-3,323
"radio";131,932;-11,11;-6,421;-10,215;-2,754;-6,21
"partie";0,023;0,007;-0,096;1,856;-0,503;-1,135
"mystère";62,319;-3,514;-5,108;-3,688;-1,606;-3,62
"saison";-10,761;-1,792;5,851;-6,067;137,148;-5,13
"hd";-11,727;-5,499;-7,888;-9,196;535,449;-5,591
"secret";-2,439;-4,338;0,418;-5,824;-2,208;62,184
"aller";22,789;-3,502;-1,1;-7,438;-2,006;3,132
"français";-2,983;24,584;-2,007;-0,511;-0,631;-1,422
"scicos";-9,485;-5,297;95,699;-0,728;-2,006;-4,522
