de;71;57;44;51;45;0
ne;20;97;15;4;0;1
la;72;39;45;14;4;18
les;51;34;51;39;44;0
l;50;37;15;27;43;11
le;42;41;24;15;7;8
et;75;35;26;9;1;0
sur;98;32;26;11;2;0
d;29;29;25;27;0;0
un;18;19;26;21;1;11
être;41;18;35;6;0;0
en;23;33;16;17;29;0
des;25;20;29;11;2;1
à;17;18;18;8;9;0
1;8;16;7;12;9;32
avoir;13;20;20;12;0;0
2;6;7;8;16;11;28
3;6;7;6;23;3;26
du;19;15;8;23;2;0
une;17;11;23;7;0;0
avec;18;2;14;8;1;0
pour;21;16;12;3;0;0
dans;12;12;14;8;2;0
12;2;18;0;20;0;17
4;2;5;8;5;1;25
on;31;7;12;5;1;0
vous;27;12;4;3;0;0
que;9;7;14;2;0;0
nous;8;5;10;2;0;0
5;3;9;9;1;5;8
10;2;17;3;2;0;8
il;6;9;9;3;1;8
v;1;34;0;0;0;0
s;5;11;6;5;0;0
qui;14;6;6;4;0;0
11;2;13;1;7;2;2
7;2;6;9;5;1;9
par;3;9;12;13;0;0
9;1;2;3;2;1;13
e;3;12;3;2;0;2
6;0;4;3;2;0;18
au;8;10;8;2;0;0
cette;10;1;6;2;0;0
ce;7;2;8;4;0;0
8;0;4;1;1;2;16
t;4;9;3;2;0;0
faire;3;9;6;3;1;0
si;20;3;2;0;0;0
16;0;9;2;2;1;8
pas;5;8;7;4;0;0
se;9;1;8;4;0;0
04;0;14;0;4;0;0
17;1;7;5;5;0;0
x;0;6;1;0;0;0
son;6;3;7;1;0;0
plus;4;9;3;3;0;0
ou;4;5;1;2;0;1
2011;0;14;0;0;0;2
06;0;11;0;7;0;0
03;0;9;0;8;0;0
pouvoir;5;6;5;1;0;0
2012;1;10;0;0;0;0
13;2;5;1;3;2;5
01;3;9;0;2;0;0
y;3;4;2;3;0;0
ses;7;1;3;0;0;0
c;6;5;3;1;0;0
2015;2;8;0;3;0;0
mais;7;3;3;2;0;0
dire;9;2;1;2;1;0
19;1;3;0;0;0;0
qu;4;4;4;1;0;0
point;0;2;1;0;0;0
02;0;11;1;2;0;2
tout;6;3;2;1;1;0
notre;9;3;2;0;0;0
nos;4;3;2;0;0;0
j;0;4;4;5;0;0
2019;1;6;0;0;0;0
2018;0;10;2;0;0;0
14;2;3;1;5;0;1
où;3;1;2;1;0;0
là;13;0;1;0;0;0
comment;1;4;6;1;0;0
aux;4;2;3;1;0;0
08;0;9;0;4;0;0
05;1;6;0;1;0;0
très;3;1;6;2;0;0
mieux;15;0;0;0;0;0
ils;0;2;8;1;0;0
07;0;9;0;2;0;0
tu;0;1;3;0;1;0
savoir;4;3;0;1;0;4
croire;1;3;3;4;0;0
2010;0;10;1;0;0;0
toute;11;2;0;0;0;0
tous;1;8;1;1;0;0
comme;2;2;3;0;0;0
alerte;0;1;0;13;0;0
2014;0;12;0;0;0;0
2013;3;7;0;0;0;0
20;1;7;1;1;0;0
vouloir;0;3;2;0;0;0
m;1;3;3;1;1;0
in;0;3;1;0;0;1
51;1;3;5;0;1;0
2020;0;7;0;1;0;0
15;0;7;0;2;0;0
to;0;7;0;0;0;0
o;0;5;0;0;0;1
an;6;0;2;2;0;0
29;0;4;0;2;0;0
00;0;11;0;0;0;0
sans;5;0;1;0;0;0
quelle;1;2;1;0;0;1
elle;3;1;2;2;0;0
depuis;8;1;1;0;0;0
30;2;7;0;2;0;0
09;0;7;0;3;0;0
ça;5;0;0;0;0;0
je;2;5;1;0;0;0
elles;1;2;4;1;0;0
ces;0;2;2;0;0;0
aussi;5;1;0;0;0;0
alors;1;2;4;0;0;0
2016;1;2;2;0;0;0
1990;0;0;0;4;0;0
18;0;0;0;3;0;0
or;0;1;0;0;0;5
f;1;2;1;1;0;1
autres;2;3;1;0;0;0
après;4;3;1;0;0;0
24;0;3;0;2;1;0
21;3;1;1;1;1;0
2021;0;3;0;0;0;0
2017;0;5;0;1;0;0
trois;5;0;0;0;0;0
sa;2;2;1;1;0;0
mon;0;2;1;0;0;0
mes;0;6;1;0;0;0
falloir;1;1;1;1;1;0
contre;2;0;0;2;0;0
autre;4;1;0;0;0;0
36;0;5;1;0;1;0
2023;2;1;0;0;0;0
u;0;5;0;0;0;0
toujours;5;0;0;0;0;0
pourquoi;0;3;2;0;0;0
plein;1;1;0;3;0;0
chaque;4;1;1;0;0;0
47;1;4;0;0;1;0
46;0;4;0;0;1;0
28;0;4;0;1;0;0
25;0;3;0;2;0;0
1995;1;0;0;5;0;0
votre;2;1;0;0;0;0
vos;1;2;1;0;0;0
moins;2;0;1;0;0;0
lui;1;1;2;0;0;0
ici;2;3;0;0;0;0
grâce;1;1;2;1;0;0
certains;1;1;1;0;0;0
ailleurs;0;2;2;0;0;0
afin;4;0;0;0;0;0
70;2;1;0;2;0;0
57;1;4;0;0;0;0
35;0;5;0;0;0;0
33;1;2;0;0;1;0
26;0;4;0;0;0;0
22;1;3;0;0;0;0
2009;0;4;0;0;0;0
000;3;0;1;0;0;0
voici;0;3;0;0;0;0
non;0;1;1;2;0;0
moi;0;3;0;0;0;0
loin;0;2;2;0;0;0
ha;0;0;0;0;0;4
divers;0;3;1;0;0;0
bon;1;1;1;1;0;0
bien;2;1;0;1;0;0
b;3;1;0;0;0;0
52;0;1;0;0;2;0
50;0;0;3;0;1;0
49;0;2;0;0;1;0
41;1;3;0;0;0;0
32;0;1;3;0;0;0
27;0;2;0;1;0;0
23;0;2;0;1;0;0
100;1;2;0;1;0;0
sous;0;0;3;0;0;0
quand;1;0;2;0;0;0
même;0;1;1;1;0;0
me;1;2;0;0;0;0
deux;2;1;0;0;0;0
40;1;2;0;0;0;0
38;1;1;1;0;0;0
2007;0;3;0;0;0;0
