"";"x"
"1";1
"2";0
"3";3
"4";0
"5";0
"6";0
"7";1
"8";0
"9";0
"10";4
"11";1
"12";0
"13";4
"14";1
"15";0
"16";0
"17";0
"18";4
"19";4
"20";0
"21";3
"22";5
"23";0
"24";3
"25";5
"26";5
"27";1
"28";3
"29";4
"30";0
"31";3
"32";3
"33";1
"34";0
"35";0
"36";1
"37";1
"38";3
"39";1
"40";4
"41";0
"42";1
"43";0
"44";0
"45";1
"46";4
"47";4
"48";1
"49";0
"50";1
"51";3
"52";4
"53";2
"54";1
"55";3
"56";0
"57";1
"58";4
"59";3
"60";1
"61";3
"62";1
"63";0
"64";3
"65";0
"66";1
"67";0
"68";2
"69";0
"70";4
"71";0
"72";4
"73";0
"74";2
"75";1
"76";1
"77";0
"78";0
"79";1
"80";3
"81";0
"82";1
"83";0
"84";3
"85";0
"86";3
"87";1
"88";0
"89";3
"90";3
"91";4
"92";1
"93";5
"94";4
"95";1
"96";0
"97";1
"98";0
"99";0
"100";3
"101";4
"102";3
"103";0
"104";0
"105";6
"106";2
"107";6
"108";4
"109";0
"110";6
"111";4
"112";6
"113";4
"114";2
"115";0
"116";0
"117";0
"118";6
"119";6
"120";6
"121";4
"122";6
"123";4
"124";0
"125";4
"126";2
"127";6
"128";6
"129";2
"130";2
"131";4
"132";6
"133";6
"134";2
"135";2
"136";6
"137";0
"138";6
"139";5
"140";0
"141";6
"142";2
"143";6
"144";6
"145";4
"146";0
"147";4
"148";6
"149";4
"150";6
"151";6
"152";6
"153";4
"154";0
"155";4
"156";2
"157";6
"158";6
"159";6
"160";6
"161";4
"162";5
"163";2
"164";2
"165";6
"166";6
"167";3
"168";4
"169";4
"170";2
"171";0
"172";6
"173";0
"174";6
"175";6
"176";0
"177";4
"178";4
"179";6
"180";0
"181";6
"182";4
"183";6
"184";4
"185";6
"186";3
"187";4
"188";4
"189";5
"190";0
"191";6
"192";6
"193";0
"194";0
"195";6
"196";6
"197";6
"198";6
"199";6
"200";4
"201";0
"202";6
"203";6
"204";0
"205";0
"206";6
"207";4
"208";6
"209";6
"210";6
"211";4
"212";0
"213";0
"214";6
"215";4
"216";5
"217";4
"218";0
"219";1
"220";6
"221";0
"222";0
"223";0
"224";6
"225";6
"226";6
"227";4
"228";0
"229";0
"230";4
"231";6
"232";6
"233";0
"234";2
"235";0
"236";6
"237";2
"238";6
"239";6
"240";0
"241";6
"242";2
"243";6
"244";4
"245";4
"246";4
"247";2
"248";2
"249";0
"250";6
"251";0
"252";6
"253";6
"254";6
"255";0
"256";6
"257";4
"258";6
"259";6
"260";4
"261";6
"262";6
"263";6
"264";6
"265";6
"266";2
"267";0
"268";6
"269";4
"270";1
"271";0
"272";6
"273";6
"274";4
"275";2
"276";6
"277";4
"278";0
"279";0
"280";6
"281";6
"282";3
"283";6
"284";4
"285";2
"286";0
"287";2
"288";4
"289";6
"290";6
"291";0
"292";0
"293";0
"294";4
"295";2
"296";6
"297";6
"298";6
"299";6
"300";6
"301";4
"302";4
"303";6
"304";0
"305";6
"306";4
"307";6
"308";2
"309";4
"310";4
"311";6
"312";0
"313";6
"314";6
"315";6
"316";6
"317";6
"318";4
"319";0
"320";6
"321";6
"322";2
"323";0
"324";6
"325";0
"326";4
"327";3
"328";5
"329";6
"330";6
"331";6
"332";1
"333";0
"334";2
"335";0
"336";4
"337";1
"338";1
"339";3
"340";4
"341";4
"342";5
"343";0
"344";0
"345";0
"346";0
"347";2
"348";2
"349";2
"350";6
"351";6
"352";2
"353";2
"354";2
"355";2
"356";2
"357";6
"358";0
"359";2
"360";2
"361";2
"362";3
"363";2
"364";2
"365";2
"366";2
"367";0
"368";1
"369";0
"370";0
"371";3
"372";1
"373";3
"374";4
"375";2
"376";2
"377";1
"378";2
"379";2
"380";2
"381";2
"382";2
"383";2
"384";2
"385";2
"386";2
"387";2
"388";2
"389";2
"390";0
"391";2
"392";2
"393";2
"394";2
"395";2
"396";0
"397";0
"398";1
"399";6
"400";3
"401";1
"402";4
"403";1
"404";1
"405";0
"406";0
"407";1
"408";3
"409";3
"410";2
"411";5
"412";1
"413";0
"414";4
"415";3
"416";3
"417";4
"418";2
"419";2
"420";2
"421";2
"422";3
"423";3
"424";2
"425";2
"426";2
"427";2
"428";2
"429";2
"430";2
"431";2
"432";2
"433";2
"434";2
"435";2
"436";2
"437";2
"438";3
"439";1
"440";3
"441";2
"442";2
"443";2
"444";2
"445";2
"446";2
"447";2
"448";2
"449";2
"450";0
"451";4
"452";3
"453";4
"454";3
"455";2
"456";4
"457";2
"458";2
"459";2
"460";2
"461";2
"462";1
"463";1
"464";0
"465";4
"466";5
"467";3
"468";1
"469";0
"470";5
"471";1
"472";0
"473";5
"474";1
"475";0
"476";4
"477";0
"478";1
"479";5
"480";0
"481";1
"482";1
"483";2
"484";3
"485";3
"486";0
"487";2
"488";1
"489";5
"490";2
"491";1
"492";0
"493";1
"494";4
"495";3
"496";4
"497";1
"498";5
"499";3
"500";4
"501";4
"502";0
"503";3
"504";5
"505";1
"506";3
"507";0
"508";0
"509";3
"510";4
"511";1
"512";1
"513";3
"514";2
"515";3
"516";0
"517";1
"518";0
"519";0
"520";5
"521";2
"522";1
"523";2
"524";0
"525";1
"526";0
"527";4
"528";0
"529";1
"530";0
"531";0
"532";4
"533";0
"534";0
"535";0
"536";3
"537";0
"538";0
"539";1
"540";4
"541";0
"542";0
"543";4
"544";3
"545";4
"546";3
"547";2
"548";5
"549";0
"550";1
"551";5
"552";3
"553";0
"554";0
"555";0
"556";0
"557";1
"558";3
"559";0
"560";1
"561";4
"562";1
"563";5
"564";0
"565";4
"566";0
"567";0
"568";1
"569";3
"570";5
"571";1
"572";1
"573";5
"574";4
"575";0
"576";0
"577";0
"578";0
"579";0
"580";0
"581";0
"582";1
"583";0
"584";2
"585";4
"586";4
"587";4
"588";5
"589";1
"590";1
"591";0
"592";5
"593";5
"594";0
"595";1
"596";4
"597";1
"598";1
"599";0
"600";0
"601";0
"602";0
"603";1
"604";0
"605";3
"606";0
"607";0
"608";5
"609";3
"610";3
"611";0
"612";0
"613";0
"614";2
"615";1
"616";0
"617";0
"618";4
"619";5
"620";4
"621";4
"622";3
"623";0
"624";2
"625";3
"626";1
"627";3
"628";1
"629";0
"630";2
"631";1
"632";1
"633";3
"634";0
"635";4
"636";3
"637";1
"638";3
"639";3
"640";3
"641";3
"642";2
"643";0
"644";3
"645";0
"646";3
"647";0
"648";0
"649";1
"650";0
"651";3
"652";0
"653";2
"654";1
"655";0
"656";0
"657";4
"658";0
"659";0
"660";5
"661";2
"662";4
"663";1
"664";4
"665";0
"666";0
"667";3
"668";2
"669";3
"670";5
"671";0
"672";0
"673";1
"674";1
"675";1
