"";"";"";"";"degorges";""
"1";"degorges";"-0.588915842353558";"1.11528574233543";"0.833874577672602";"300"
"2";"expérience";"-0.439700793700494";"0.800454337731526";"0.829252854719375";"317"
"3";"preuve";"-0.451145835586297";"0.807876697564708";"0.826165053387885";"324"
"4";"américain";"-0.542579199430744";"0.995938144770032";"0.822946098906582";"333"
"5";"monde";"-0.47323367521325";"0.979461952477673";"0.822729411093846";"336"
"6";"révélation";"-0.508648739768867";"1.00468818997868";"0.814264330619984";"355"
"7";"évoquer";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"360"
"8";"étudier";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"367"
"9";"youcurious";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"368"
"10";"walton";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"369"
"11";"travis";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"371"
"12";"scène";"-0.54105265404935";"1.04302557726735";"0.811022566895234";"372"
"13";"french";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"377"
"14";"atterrissage";"-0.544105744812139";"0.948850712272713";"0.811022566895234";"380"
"15";"complot";"-0.448059489350314";"1.22897093577803";"0.809967639385861";"386"
"16";"parler";"-0.486828259279292";"0.935362706682861";"0.809742398106833";"388"
"17";"image";"-0.506425812321331";"0.872207607219322";"0.80586767787646";"410"
"18";"vérifier";"-0.519410877969338";"0.936264345987332";"0.805742227037507";"414"
"19";"saoudien";"-0.496242556507931";"0.876590547204633";"0.805619627353985";"424"
"20";"forme";"-0.496242556507931";"0.876590547204633";"0.805619627353985";"428"
"21";"assurer";"-0.496242556507931";"0.876590547204633";"0.805619627353985";"432"
"22";"témoignage";"-0.50185470501824";"1.13036930832364";"0.803703650904529";"434"
"23";"survivant";"-0.497609162462622";"1.04182339152806";"0.80131153149814";"443"
