"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"mass";"chi.distance";"inertie"
"ovni";-0,559741624526889;0,919554109218435;-1,84706400284743;1,94326964880727;-0,866775553394126;-0,185571582500225;0,3048604994965;-0,61235858647695;0,644253720202826;-0,287362783233801;0,0527571200782717;0,106126517737805;0,389616866547762;0,391760350242675;0,0597391453934866;0,0120553966980571;0,0325357540999534;0,131271421202802;0,145302281465339;0,0289081038379965;0,0384774513860157;2,30584429450738;0,204581450425171
"btlv";-0,452190683061776;1,06551369297146;1,35258171977912;0,137451154290641;-0,256732094411525;-0,250673066918497;0,590670253204487;0,749807151397249;0,0761964005189717;-0,14232009613023;0,0875987932909501;0,362523727898951;0,531557094652081;0,004986549771581;0,0133338343864458;0,00668334161935548;0,0371080823181069;0,0597967345410718;0,000617514590587728;0,00215432275373328;0,0326851468762929;1,44562437323163;0,068306394890371
"www";-0,369191012619876;-1,5229868276593;0,234530115278525;0,111446707506226;-0,205730131867536;-0,230495091766053;-0,950838391511056;0,146422958834823;0,0695789393446604;-0,128442415993138;0,0706195346140147;0,895732573989494;0,0193280407558546;0,00396465651560945;0,0103551941250262;0,0025376872862921;0,0431845260550551;0,00102407814388296;0,000231243933648748;0,000788009897443325;0,0186181216383947;1,31453334897271;0,0321720755689959
"youtube";-0,400799587282458;-1,5745434317482;0,218158070591924;0,110250964125871;-0,206919101736959;-0,242026306568673;-0,950801705914479;0,13173664282319;0,0665760007986607;-0,124949894014264;0,0776602430875943;0,893340382975769;0,0156046765198063;0,00362040768397188;0,00977428973286419;0,00232619396806066;0,0359005153687003;0,000689182056993661;0,000176017636811726;0,000620001246680616;0,014480761274307;1,36085172011127;0,0268171738289379
"com";-0,40214580399918;-1,50665828311997;0,225645649681659;0,101216457402079;-0,153784577433579;-0,253501588999074;-0,949755698185299;0,14224077480402;0,0638040544725822;-0,096941542980871;0,0848616797252106;0,887845771478991;0,0181203448491837;0,00331203774824656;0,00586016619838254;0,00254257650459974;0,0356891720809155;0,000800499151994125;0,000161067979918502;0,000371819800473368;0,0157219693835333;1,3062028994616;0,0268242898441672
"mikecriss";2,40993011958123;0,0490509485126429;-0,0750357282442754;0,0811825522122445;-0,0318752049476959;0,998655983254204;0,0203263251570783;-0,0310942123840518;0,0336414076258331;-0,0132088328536273;0,998255018690214;0,000308241341323227;0,000656351972556979;0,000697921336943095;8,24666589673005e-05;0,126151248248408;5,22609707796739e-05;0,000122297859718787;0,000143155505231247;2,20693033715452e-05;0,0217211419114605;2,28226784856698;0,113139922615488
"blog";2,35739311571462;0,0187033900030948;-0,069555470322103;0,0817258870143685;-0,0351470534858128;0,998823251549489;0,00792459292994342;-0,029470528511795;0,0346271123213629;-0,0148917437702966;0,99851941899739;4,68485998958127e-05;0,000589553286393319;0,000739367320220273;0,000104811796104942;0,123010208174596;7,74315211916461e-06;0,000107087730520272;0,000147841519463494;2,73435549140672e-05;0,0221348779478693;2,23221831426359;0,110293638905899
"https";-0,400799587282452;-1,57454343174819;0,218158070591926;0,110250964125871;-0,206919101736959;-0,24202630656867;-0,950801705914479;0,131736642823192;0,0665760007986612;-0,124949894014264;0,077660243087592;0,893340382975767;0,0156046765198065;0,00362040768397192;0,00977428973286422;0,00169479846244414;0,0261560897686244;0,000502118355809676;0,000128241421105687;0,000451715194010165;0,0105502689284237;1,36085172011127;0,0195382266467976
"tv";-0,362293991457305;-0,158185196920917;0,944800862546865;0,224331225724451;-0,258801143852041;-0,335481748473152;-0,146478406203027;0,874879111439852;0,207729174697155;-0,239648082202783;0,160470817023299;0,0228017900672755;0,740154443989211;0,0379054564920152;0,0386674924282019;0,00122187880245613;0,000232936500542185;0,00830972075798893;0,000468473820350962;0,000623502573988544;0,00930906081919735;0,855748237395929;0,00681707220961538
"extraterrestre";-0,457015396227303;0,537507180164269;-1,02106060444312;-1,0143331974932;1,92642286058939;-0,182364369973118;0,214483273596174;-0,407437200958171;-0,404752741440825;0,768706906098341;0,0593763424919088;0,0612186548913492;0,201012381129403;0,180202798228162;0,498189823259176;0,00263563248153014;0,00364579066868365;0,0131560716248844;0,0129832813338319;0,0468302456156158;0,0126189491104675;1,7746267507731;0,0397408577530264
