"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6"
"ovni";0;0;0;0;0;0
"btlv";0;0;0,032;0;0;0
"www";0;0;0,002;0;0;0
"youtube";0;0;0,007;0;0;0,001
"com";0;0;0,005;0;0;0,001
"mikecriss";0;0;0,001;0;0;0
"blog";0;0;0,001;0;0;0
"https";0;0;0,022;0,002;0;0,005
"tv";0,002;0;0,032;0,003;0;0,03
"extraterrestre";0,007;0,006;0,002;0;0;0,002
"espace";0,348;0,573;0,623;0,14;0,476;0,102
"http";0;0;0,022;0,002;0;0,005
"urn";0;0;0,028;0,03;0;0,007
"ufo";0,314;0,003;0,278;0,352;0,072;0,649
"wat";0,004;0;0,073;0,145;0,003;0,098
"vidéo";0,016;0;0,385;0,157;0,339;0,135
"watch";0,002;0;0,053;0,008;0,001;0,018
"the";0,007;0,727;0,095;0,022;0,006;0
"fr";0,066;0;0,083;0,063;0,218;0,034
"radio";0,001;0,001;0,039;0,005;0;0,011
"partie";0,001;0,609;0,409;0,936;0,171;0,311
"mystère";0,203;0,115;0,205;0,036;0;0,021
"saison";0,458;0,342;0;0,307;0,037;0,124
"hd";0,319;0;0,533;0,393;0,301;0,445
"secret";0,01;0,016;0,075;0,106;0,319;0
"aller";0,003;0,019;0,54;0,117;0;0,052
"français";0,782;0,003;0,046;0,137;0,072;0,184
"scicos";0,289;0,355;0,073;0;0,003;0,028
"petit";0,134;0,424;0,009;0,133;0,12;0,251
"paranormal";0,197;0,829;0,225;0,096;0;0,137
"alien";0,006;0,109;0,766;0;0,018;0,037
"vie";0,009;0,342;0,795;0,935;0;0,044
"grand";0,319;0,779;0,39;0,299;0;0,053
"david";0,006;0,013;0,089;0,07;0,332;0
"crop";0,028;0,212;0,789;0,96;0,088;0
"nhttps";0,083;0;0,278;0,137;0,072;0,184
"france";0;0,992;0,101;0,088;0,006;0,044
"di";0,013;0,008;0,123;0,034;0,01;0
"part";0,009;0,059;0,101;0,243;0,006;0
"html";0,013;0;0,123;0,123;0,04;0,517
"officiel";0,557;0,646;0,133;0,46;0,371;0,509
"aliens";0,013;0,095;0,517;0;0,04;0,058
"episode";0,319;0,011;0,533;0,393;0,844;0,445
"bob";0,174;0,566;0,445;0,038;0;0,064
"inexpliqué";0,033;0,994;0,183;0,068;0;0,102
"énigme";0,024;0,181;0;0,193;0,12;0,085
"monde";0,912;0,119;0,716;0,706;0,004;0,124
"channel";0,013;0;0,123;0,034;0,299;0,058
"semaine";0,024;0,015;0;0,193;0,02;0,085
"icke";0,016;0,009;0,131;0,038;0,012;0
"film";0,348;0,087;0;0,243;0,027;0,102
"code";0,134;0;0,349;0,199;0,12;0,251
"cinéma";0;0,112;0,445;0,038;0,012;0,064
"space";0,024;0,06;0,16;0,054;0,02;0
"i";0,6;0;0,241;0,909;0,052;0,151
"video";0,028;0;0,171;0,06;0,023;0,326
"trouver";0,021;0,051;0;0,278;0,017;0,077
"pompier";0,221;0;0,445;0,295;0,205;0,349
"novni";0,052;0;0,225;0,096;0,044;0,137
"new";0,388;0,353;0;0,388;0,371;0,509
"circles";0,071;0,202;0,259;0,439;0,235;0
"sub";0,033;0,022;0,183;0,068;0,027;0
"histoire";0,733;0,022;0,183;0,416;0;0,102
"by";0,114;0;0,323;0,175;0,101;0,226
"spatial";0,509;0,424;0,349;0,001;0,12;0,251
"révélation";0,026;0,026;0,196;0,021;0,797;0,113
"ita";0,033;0,022;0,183;0,068;0,027;0
"fortnite";0,145;0,026;0;0,273;0,032;0,113
"edge";0,033;0,022;0,183;0,068;0,027;0
"cutting";0,033;0,022;0,183;0,068;0,027;0
"beyond";0,033;0,022;0,183;0,068;0,027;0
