"";"";"";"";"2009";""
"1";"2009";"-0.410967646878745";"-0.358611733493348";"0.965891376963999";"79"
"2";"deux";"-0.410967646878745";"-0.358611733493348";"0.965891376963999";"83"
"3";"2010";"-0.437171992727672";"-0.358757463524341";"0.899085735494247";"118"
"4";"après";"-0.451142273616864";"-0.476123603926231";"0.878481999257701";"128"
"5";"05";"-0.50863359979395";"-0.469855370407258";"0.860164542867747";"135"
"6";"plein";"-0.478548782480803";"-0.469072424818982";"0.860164542867747";"137"
"7";"cette";"-0.463105952515754";"-0.48329852820616";"0.856204379562044";"142"
"8";"23";"-0.492355940974749";"-0.45131476425494";"0.843725102066065";"150"
"9";"votre";"-0.383052090703278";"-0.451093444164751";"0.843725102066065";"154"
"10";"bien";"-0.442214578786171";"-0.450009854941145";"0.843725102066065";"158"
"11";"notre";"-0.457838044739884";"-0.495708915665044";"0.835165161449957";"169"
"12";"mais";"-0.507512126310257";"-0.516412721101396";"0.818126933069405";"175"
"13";"croire";"-0.540451423050962";"-0.497322668674056";"0.80819250278362";"177"
"14";"autre";"-0.431714631462376";"-0.523778505633547";"0.8";"186"
