ovni;125;26;18;7;6;0;0
btlv;0;102;13;2;10;0;0
www;0;0;4;0;0;0;0
youtube;0;0;3;0;0;0;0
com;0;0;3;0;0;0;0
mikecriss;0;0;1;0;0;0;100
blog;0;0;3;0;0;0;100
https;0;0;3;0;0;0;0
tv;1;4;3;0;43;0;0
extraterrestre;0;1;41;6;3;1;0
espace;0;3;5;0;0;43;0
http;0;0;4;0;0;0;0
urn;0;0;4;0;0;0;0
ufo;0;0;4;2;0;0;1
vidéo;0;0;5;0;0;0;0
zinzin;0;0;0;0;0;43;0
watch;0;0;3;0;0;0;0
the;0;0;3;2;0;0;21
fr;0;2;6;1;0;0;0
radio;0;36;2;0;0;0;0
partie;4;3;3;0;1;0;0
mystère;0;15;2;0;6;0;0
saison;1;0;4;2;0;18;0
hd;0;0;2;1;0;35;0
secret;0;1;7;1;2;0;19
aller;0;16;4;0;0;0;7
français;0;0;4;0;0;0;0
scicos;4;0;1;24;0;0;0
petit;0;0;21;0;0;0;0
paranormal;0;22;3;0;0;0;0
alien;0;1;4;19;0;0;0
vie;0;12;5;0;0;0;0
grand;0;4;10;0;0;0;0
david;0;1;2;0;3;0;23
crop;0;1;4;0;4;0;9
nuréa;0;0;0;0;29;0;0
france;18;1;4;1;0;0;0
di;0;0;1;0;0;0;20
part;0;0;2;1;0;0;23
html;0;0;3;0;0;0;0
aliens;0;0;4;16;0;1;0
episode;0;0;2;0;0;20;0
bob;0;3;10;1;0;0;0
inexpliqué;0;12;1;0;1;0;0
compilation;1;0;1;0;0;23;0
énigme;0;2;3;1;0;0;0
monde;2;0;5;0;1;0;0
channel;0;0;3;1;0;0;0
semaine;0;5;0;1;0;0;0
icke;0;0;0;0;0;0;23
film;0;0;6;0;0;0;0
code;0;0;5;0;0;0;0
cinéma;18;0;2;0;0;0;0
space;0;0;0;0;0;0;19
i;0;1;5;3;0;0;0
video;0;0;3;1;0;0;0
trouver;0;0;5;4;0;0;0
novni;0;0;4;0;0;0;0
new;1;1;0;1;0;0;0
ufologie;0;0;3;0;0;0;0
circles;0;1;2;0;4;0;9
sub;0;0;1;0;0;0;18
histoire;2;0;8;0;1;0;0
by;0;0;3;0;0;0;0
spatial;0;0;7;0;1;0;0
révélation;2;4;9;0;1;0;0
ita;0;0;0;0;0;0;18
edge;0;0;0;0;0;0;18
cutting;0;0;0;0;0;0;18
beyond;0;0;0;0;0;0;18
spécial;2;0;1;0;1;1;0
nouveau;0;0;8;0;1;1;0
facebook;0;0;3;0;0;0;0
annonce;0;1;6;0;4;0;0
émission;0;0;3;0;0;0;0
us;0;0;3;0;1;0;0
univers;0;1;4;1;0;0;0
nasa;0;0;5;1;0;0;2
vérité;0;4;7;0;1;0;0
phénomène;0;10;5;0;0;0;0
nufo;0;0;4;0;0;0;0
enfant;0;3;2;0;0;0;0
zone;0;2;2;6;0;0;0
temps;0;1;6;1;0;2;0
nteaser;0;0;3;0;0;0;0
mars;0;0;1;4;0;0;0
homme;0;0;4;4;0;0;0
extraire;0;1;1;0;11;0;0
terre;0;0;8;0;1;0;0
r;2;0;2;0;0;0;0
premier;0;2;3;0;0;0;0
planète;1;3;3;0;0;0;0
partir;0;0;2;0;0;0;9
média;1;0;2;0;1;0;0
venir;0;0;4;0;0;0;0
témoignage;1;1;2;0;0;0;0
rencontre;2;8;1;1;0;0;0
question;0;0;6;0;0;0;0
nparanormal;0;0;4;0;0;0;0
mystérieux;0;1;4;3;0;0;0
mort;0;5;1;0;0;0;0
jean;0;6;1;0;0;0;0
dimensione;0;0;1;0;0;0;10
ciel;7;0;2;0;0;0;0
étrange;2;1;4;1;0;0;0
portali;0;0;1;0;0;0;9
p;1;0;2;0;0;0;0
over;0;0;1;4;0;0;0
mission;0;0;5;0;0;0;2
incident;4;0;0;0;0;0;0
filmer;7;0;2;0;1;0;0
dei;0;0;1;0;1;0;7
ancien;0;1;7;0;2;0;0
altra;0;0;1;0;0;0;9
série;0;0;4;0;0;0;0
science;0;3;4;0;0;0;0
réseau;0;0;3;0;0;0;0
nextraterrestre;0;0;4;0;0;0;0
nalien;0;0;3;0;0;0;0
meilleur;0;0;5;0;0;1;0
matin;10;0;0;0;0;0;0
live;1;7;0;0;0;0;0
libre;0;7;2;0;0;0;0
jour;0;0;3;1;0;0;0
cospirazione;0;0;0;0;0;0;10
contact;0;1;4;1;0;0;0
cacher;1;0;6;2;0;0;0
épisode;0;0;2;0;0;1;0
spécialiste;0;2;2;0;0;0;0
répondre;0;0;5;0;0;0;0
retrouver;0;0;4;0;0;0;0
recherche;0;0;4;0;0;0;0
propos;0;1;2;0;0;0;0
passer;0;0;6;0;0;1;0
noir;0;0;7;0;0;0;0
janvier;0;3;2;1;0;0;0
jacques;0;5;1;0;2;0;0
gli;0;0;0;0;0;0;9
exister;0;0;7;2;0;0;0
découvrir;0;0;8;0;0;0;0
découverte;0;0;9;0;0;0;0
dr;1;7;1;0;0;0;0
del;0;0;2;0;0;0;5
conscience;0;2;3;0;0;0;0
complet;0;0;3;0;0;1;0
bellanca;0;1;2;0;0;0;0
équipe;2;1;2;0;0;0;0
voir;0;0;4;0;0;0;0
vf;0;0;2;3;0;0;0
seul;0;0;5;0;0;0;0
reportage;1;1;1;0;0;0;0
quantique;0;0;3;0;0;0;0
pyramide;0;6;1;1;0;0;0
preuve;0;0;6;1;1;0;0
prendre;0;1;6;0;0;0;0
photo;0;0;3;2;0;0;0
of;0;0;3;0;0;0;0
musique;0;0;3;0;0;0;0
jones;0;0;1;0;0;0;7
intelligence;0;0;4;0;0;0;0
incroyable;0;0;6;0;0;0;0
fantôme;6;0;2;0;0;0;0
face;0;2;2;2;0;0;0
extra_terrestre;0;1;2;0;0;0;0
expérience;0;3;3;0;1;0;0
enlever;0;1;2;3;0;0;0
black;1;0;1;4;0;0;0
bande_annonce;0;1;2;4;0;1;0
