"";"classe 1";"classe 2";"classe 3";"classe 4";"classe 5";"classe 6";"classe 7"
"ovni";0;0,008;0,001;0,002;0,002;0;0
"btlv";0;0;0,013;0,001;0,623;0;0
"www";0,324;0,299;0;0,517;0,528;0,568;0,389
"youtube";0,393;0,369;0;0,575;0,585;0,621;0,456
"com";0,393;0,369;0;0,575;0,585;0,621;0,456
"mikecriss";0;0;0;0;0,001;0,002;0
"blog";0;0;0;0;0,001;0,002;0
"https";0,393;0,369;0;0,575;0,585;0,621;0,456
"tv";0,001;0,016;0,02;0,016;0;0,034;0,001
"extraterrestre";0;0;0;0,591;0,397;0,112;0,001
"espace";0;0,005;0,119;0,016;0,019;0;0,001
"http";0,324;0,299;0;0,517;0,528;0,568;0,389
"urn";0,324;0,299;0;0,517;0,528;0,568;0,389
"ufo";0,191;0,168;0,006;0,082;0,403;0,449;0,924
"vidéo";0,269;0,245;0;0,469;0,48;0,523;0,335
"zinzin";0,001;0;0,002;0,029;0,033;0;0,004
"watch";0,393;0,369;0;0,575;0,585;0,621;0,456
"the";0,01;0,007;0,392;0,755;0,102;0,139;0
"fr";0,137;0,936;0;0,863;0,342;0,39;0,194
"radio";0,002;0;0,037;0,04;0,046;0,071;0,006
"partie";0,154;0,615;0,41;0,28;0,991;0,341;0,151
"mystère";0,016;0;0,244;0,115;0,004;0,165;0,036
"saison";0,046;0,008;0,806;0,801;0,109;0;0,028
"hd";0,002;0,001;0,037;0,139;0,046;0;0,006
"secret";0,006;0,015;0,421;0,241;0,648;0,111;0
"aller";0,009;0;0,675;0,087;0,095;0,131;0,131
"français";0,324;0,299;0;0,517;0,528;0,568;0,389
"scicos";0,428;0,004;0,038;0;0,083;0,117;0,018
"petit";0,022;0,016;0;0,133;0,143;0,185;0,045
"paranormal";0,012;0;0,437;0,1;0,109;0,147;0,028
"alien";0,014;0,038;0,878;0;0,117;0,155;0,032
"vie";0,04;0;0,207;0,177;0,189;0,234;0,073
"grand";0,063;0,491;0;0,222;0,234;0,282;0,104
"david";0,007;0,017;0,115;0,075;0,795;0,117;0
"crop";0,034;0,101;0,623;0,165;0,047;0,221;0
"nuréa";0,007;0,004;0,01;0,075;0;0,117;0,018
"france";0;0,038;0,878;0,368;0,117;0,155;0,032
"di";0,022;0,016;0,112;0,133;0,143;0,185;0
"part";0,01;0,007;0,168;0,319;0,102;0,139;0
"html";0,393;0,369;0;0,575;0,585;0,621;0,456
"aliens";0,022;0,016;0,883;0;0,143;0,629;0,045
"episode";0,019;0,014;0,276;0,123;0,134;0;0,04
"bob";0,063;0,979;0;0,766;0,234;0,282;0,104
"inexpliqué";0,063;0;0,291;0,222;0,807;0,282;0,104
"compilation";0,046;0,008;0,065;0,1;0,109;0;0,028
"énigme";0,226;0,462;0,039;0,543;0,439;0,484;0,29
"monde";0,692;0,141;0,001;0,358;0,727;0,418;0,221
"channel";0,324;0,299;0,003;0,286;0,528;0,568;0,389
"semaine";0,226;0;0,252;0,543;0,439;0,484;0,29
"icke";0,016;0,012;0,023;0,115;0,125;0,165;0
"film";0,226;0,203;0;0,427;0,439;0,484;0,29
"code";0,269;0,245;0;0,469;0,48;0,523;0,335
"cinéma";0;0,019;0,352;0,143;0,153;0,196;0,051
"space";0,03;0,022;0,039;0,153;0,164;0,208;0
"i";0,137;0,458;0,003;0,014;0,342;0,39;0,194
"video";0,324;0,299;0,003;0,286;0,528;0,568;0,389
"trouver";0,137;0,118;0,003;0;0,342;0,39;0,194
"novni";0,324;0,299;0;0,517;0,528;0,568;0,389
"new";0,544;0,604;0,419;0,156;0,585;0,621;0,456
"ufologie";0,393;0,369;0;0,575;0,585;0,621;0,456
"circles";0,046;0,14;0,572;0,191;0,024;0,249;0
"sub";0,03;0,022;0,146;0,153;0,164;0,208;0
"histoire";0,912;0,083;0;0,28;0,991;0,341;0,151
"by";0,393;0,369;0;0,575;0,585;0,621;0,456
"spatial";0,161;0,141;0;0,358;0,727;0,418;0,221
"révélation";0,475;0,702;0;0,191;0,698;0,249;0,082
"ita";0,034;0,026;0,045;0,165;0,176;0,221;0
"edge";0,034;0,026;0,045;0,165;0,176;0,221;0
"cutting";0,034;0,026;0,045;0,165;0,176;0,221;0
"beyond";0,034;0,026;0,045;0,165;0,176;0,221;0
"spécial";0,245;0,245;0,899;0,469;0,388;0,287;0,335
