"";"";"";"";"recherche";""
"1";"recherche";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"126"
"2";"intelligence";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"128"
"3";"octobre";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"130"
"4";"utiliser";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"133"
"5";"exemple";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"135"
"6";"vérifier";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"138"
"7";"naliens";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"142"
"8";"existence";"-0.410967646878746";"-0.358611733493349";"0.863109448701189";"143"
"9";"esprit";"-0.451661793926749";"-0.404963248874145";"0.860261511499572";"148"
"10";"révélation";"-0.459689289312417";"-0.479264281865682";"0.856000101780199";"159"
"11";"prédiction";"-0.409552622220508";"-0.580700631158829";"0.854285741548268";"167"
"12";"homme";"-0.463376338576602";"-0.358903193555333";"0.852749814728231";"170"
"13";"sophie";"-0.504708442601021";"-0.632806097836744";"0.85079754328044";"174"
"14";"pyramide";"-0.494375416594916";"-0.564330371766391";"0.847571747088927";"177"
"15";"semaine";"-0.506554540546594";"-0.587204190466839";"0.84742480192619";"178"
"16";"youtube";"-0.41096764687873";"-0.358611733493357";"0.846830023886541";"180"
"17";"https";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"182"
"18";"watch";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"183"
"19";"html";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"184"
"20";"ufologie";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"185"
"21";"facebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"187"
"22";"émission";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"188"
"23";"nteaser";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"189"
"24";"quantique";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"192"
"25";"musique";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"194"
"26";"nufologie";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"195"
"27";"00z";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"197"
"28";"invasion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"198"
"29";"réflexion";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"199"
"30";"réaliser";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"200"
"31";"one";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"201"
"32";"nla";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"202"
"33";"nfacebook";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"203"
"34";"souhaiter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"206"
"35";"recevoir";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"207"
"36";"rater";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"208"
"37";"présenter";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"209"
"38";"nfilm";"-0.410967646878747";"-0.358611733493349";"0.846830023886541";"210"
"39";"civilisation";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"214"
"40";"vaisseau";"-0.394218313173466";"-0.41410075989619";"0.844734305970363";"215"
"41";"trouver";"-0.457553150610173";"-0.358870809104002";"0.843989084073625";"216"
"42";"thierry";"-0.355136534527812";"-0.543575154836154";"0.841113157317201";"225"
"43";"enlever";"-0.478999804530314";"-0.404602254279232";"0.839006943317971";"229"
"44";"couple";"-0.480845902475887";"-0.359000346909328";"0.838636081716778";"230"
"45";"spiritualité";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"231"
"46";"dominique";"-0.504708442601022";"-0.632806097836744";"0.837607465577619";"233"
"47";"monde";"-0.46154053388495";"-0.462819648066319";"0.83682025934867";"234"
"48";"antenne";"-0.485960283456566";"-0.577967224968065";"0.834906473538739";"238"
"49";"annonce";"-0.389036203389353";"-0.48442763280246";"0.834241721612071";"240"
"50";"voyage";"-0.469131357826034";"-0.40506040222814";"0.83272678695814";"241"
"51";"humain";"-0.445906774677317";"-0.358806040201338";"0.83272678695814";"242"
"52";"univers";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"243"
"53";"contact";"-0.444060676731744";"-0.404407947571243";"0.83272678695814";"244"
"54";"channel";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"246"
"55";"video";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"247"
"56";"personnage";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"249"
"57";"short";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"250"
"58";"apollo";"-0.437171992727674";"-0.358757463524341";"0.829654933318066";"251"
"59";"année";"-0.390030979747146";"-0.427973016496901";"0.829654933318066";"253"
"60";"jacques";"-0.448618977073568";"-0.599344494211523";"0.827345795046485";"256"
"61";"entretien";"-0.395298658464473";"-0.497480029531444";"0.827191852495046";"258"
"62";"science";"-0.451142273616864";"-0.476123603926232";"0.824357910070833";"260"
"63";"mystérieux";"-0.461991765117422";"-0.393104624082761";"0.824343915293429";"262"
"64";"premier";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"265"
"65";"conscience";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"266"
"66";"tomber";"-0.448463965167657";"-0.468289479230707";"0.819648667474547";"267"
"67";"photo";"-0.452894600237031";"-0.358844901542936";"0.819648667474547";"268"
"68";"étrange";"-0.496828639840498";"-0.462486167122963";"0.818263184511598";"276"
"69";"chose";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"278"
"70";"armée";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"279"
"71";"étudier";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"281"
"72";"jeune";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"282"
"73";"groupe";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"283"
"74";"forme";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"284"
"75";"donner";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"285"
"76";"atterrissage";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"286"
"77";"agir";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"287"
"78";"action";"-0.492355940974751";"-0.451314764254941";"0.815422244698683";"288"
"79";"propos";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"289"
"80";"bellanca";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"290"
"81";"extra_terrestre";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"291"
"82";"devenir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"292"
"83";"bande";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"293"
"84";"inconnu";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"294"
"85";"minute";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"295"
"86";"mentir";"-0.442214578786172";"-0.450009854941147";"0.815422244698683";"296"
"87";"base";"-0.445906774677317";"-0.358806040201338";"0.815422244698683";"297"
"88";"tueur";"-0.445906774677317";"-0.358806040201338";"0.815422244698683";"298"
"89";"interview";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"299"
"90";"faux";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"300"
"91";"vraiment";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"301"
"92";"visiteur";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"302"
"93";"thomas";"-0.383052090703279";"-0.451093444164751";"0.815422244698683";"303"
"94";"enfant";"-0.467212124312112";"-0.523128352099386";"0.814243184702436";"306"
"95";"gde";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"307"
"96";"edition";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"308"
"97";"cultur";"-0.573744235070755";"-0.544017795016533";"0.813228563340681";"309"
