"";"";"";"";"v";""
"1";"v";"-0.390030979747144";"-0.4279730164969";"0.899085735494247";"117"
"2";"ses";"-0.432909393394348";"-0.480837091831613";"0.89750711369541";"121"
"3";"après";"-0.451142273616864";"-0.476123603926231";"0.878481999257701";"128"
"4";"an";"-0.425786921581338";"-0.476587999307776";"0.878481999257701";"129"
"5";"plein";"-0.478548782480803";"-0.469072424818982";"0.860164542867747";"137"
"6";"votre";"-0.383052090703278";"-0.451093444164751";"0.843725102066065";"154"
"7";"certains";"-0.442214578786171";"-0.450009854941145";"0.843725102066065";"156"
"8";"vers";"-0.442214578786171";"-0.450009854941145";"0.843725102066065";"160"
"9";"08";"-0.510180186948262";"-0.513043011399272";"0.836975132995175";"167"
"10";"notre";"-0.457838044739884";"-0.495708915665044";"0.835165161449957";"169"
"11";"ça";"-0.44388026665215";"-0.541949771000746";"0.818194977112458";"174"
"12";"autre";"-0.431714631462376";"-0.523778505633547";"0.8";"186"
