de;25;42;29;14;7;45;0
ne;0;2;9;3;2;0;0
la;10;44;28;12;4;4;18
les;34;25;39;11;15;44;0
l;11;28;22;5;6;43;10
le;11;21;33;7;9;7;8
et;11;38;20;5;10;1;0
sur;4;70;17;10;5;2;0
d;5;11;35;3;1;0;0
un;13;8;20;4;2;1;9
être;0;21;25;5;2;0;0
en;16;8;16;1;4;29;0
des;4;14;16;12;9;2;1
à;2;5;12;4;1;9;0
1;8;1;8;4;4;9;32
avoir;7;6;15;5;1;0;0
2;11;4;7;4;4;11;27
3;6;5;8;3;3;3;26
du;20;14;11;3;4;2;0
une;5;3;23;2;0;0;0
avec;3;12;10;3;33;1;0
pour;1;11;9;1;3;0;0
dans;8;4;7;4;1;2;0
12;22;1;5;0;1;0;17
4;12;0;5;4;1;1;25
on;1;29;9;5;3;1;0
vous;0;15;11;2;1;0;0
que;0;0;13;2;2;0;0
nous;1;1;12;0;1;0;0
5;3;2;5;5;0;5;7
10;3;1;8;0;0;0;8
il;1;2;10;1;0;1;6
v;0;0;3;0;1;0;0
s;1;0;7;1;3;0;0
qui;1;5;10;1;0;0;0
11;11;1;5;0;1;2;2
7;0;0;6;1;1;1;9
par;8;5;11;4;0;0;0
9;1;1;3;1;0;1;13
e;3;4;6;2;0;0;0
6;1;0;6;1;0;0;18
au;2;2;12;2;1;0;0
cette;0;5;5;1;0;0;0
ce;2;1;9;0;1;0;0
8;1;0;3;1;0;2;17
t;3;3;6;1;0;0;0
faire;1;1;4;1;2;1;0
si;0;18;4;1;1;0;0
16;0;0;2;3;0;1;9
pas;3;1;5;3;1;0;0
se;1;2;8;1;0;0;0
04;5;1;3;0;0;0;0
17;2;2;4;4;1;0;1
son;0;2;4;0;0;0;0
plus;1;1;8;0;1;0;0
ou;0;1;5;1;0;0;1
2011;0;0;3;0;1;0;2
06;8;0;4;0;0;0;0
03;7;0;5;0;0;0;0
pouvoir;0;2;7;0;1;0;0
2012;0;0;2;1;7;0;0
13;4;1;5;0;1;2;5
01;3;1;4;0;0;0;0
y;3;0;5;0;0;0;0
ses;0;3;5;0;1;0;0
c;1;3;4;1;1;0;0
2015;1;1;4;1;1;0;0
mais;2;2;3;0;0;0;0
dire;0;3;9;0;0;1;0
19;0;0;6;0;0;0;0
qu;0;1;5;0;0;0;0
point;0;0;16;0;1;0;0
02;3;0;4;0;0;0;2
tout;0;1;4;0;0;1;0
notre;0;3;3;0;0;0;0
nos;0;1;4;1;1;0;0
j;4;1;2;1;0;0;0
2019;0;0;7;0;0;0;0
2018;0;0;7;0;0;0;0
14;5;2;2;0;0;0;1
où;0;0;5;0;1;0;0
là;0;10;4;0;2;0;0
comment;0;1;8;0;0;0;0
aux;0;1;7;0;1;0;0
08;4;0;4;0;1;0;0
05;2;0;3;0;0;0;0
très;1;1;8;0;0;0;0
mieux;0;15;0;0;0;0;0
ils;1;0;10;1;0;0;0
07;2;0;3;0;0;0;0
tu;0;0;2;0;0;1;0
savoir;0;2;5;0;1;0;1
croire;3;1;2;2;0;0;0
2010;0;0;3;1;0;0;0
toute;0;5;5;0;0;0;0
tous;0;0;4;1;0;0;0
comme;0;0;4;0;0;0;0
alerte;13;0;1;0;0;0;0
2013;0;0;4;0;1;0;0
20;1;0;4;1;0;0;1
vouloir;0;0;3;0;0;0;0
m;0;1;1;2;0;1;0
in;0;0;3;2;0;0;0
51;0;2;3;3;0;1;0
2020;0;0;5;0;1;0;0
15;1;0;4;0;0;0;0
to;0;0;3;0;0;0;0
o;0;0;4;0;0;0;0
an;0;2;4;0;1;0;0
29;2;0;4;1;0;0;0
00;1;0;3;0;0;0;0
sans;0;0;3;0;0;0;0
quelle;0;0;3;0;0;0;0
elle;0;0;4;0;0;0;0
depuis;0;1;3;0;0;0;0
30;2;2;4;0;0;0;0
09;4;0;3;0;1;0;0
ça;0;3;2;0;1;0;0
je;0;1;4;0;0;0;0
elles;0;0;5;0;0;0;0
ces;0;0;4;1;0;0;0
alors;0;0;3;0;0;0;0
2016;0;1;4;0;0;0;0
1990;4;0;2;0;0;0;0
18;1;0;3;0;0;0;0
or;0;0;1;0;0;0;5
f;0;0;3;1;0;0;1
autres;0;0;4;0;1;0;0
après;0;3;4;0;0;0;0
24;2;0;2;0;0;1;0
21;2;1;3;1;0;1;0
2021;0;0;2;0;1;0;0
2017;0;0;3;0;0;0;0
sa;0;2;4;0;0;0;0
personne;0;0;3;0;0;0;0
mon;4;0;2;1;0;0;0
falloir;0;0;4;0;0;1;0
contre;0;0;3;0;0;0;0
autre;0;2;2;0;1;0;0
36;0;0;4;0;0;1;0
2022;0;0;3;0;0;0;0
quoi;0;1;1;0;1;0;0
pourquoi;0;0;3;0;0;0;0
plein;1;1;3;0;0;0;0
chaque;0;1;3;0;0;0;0
47;0;0;3;0;0;1;0
46;0;0;2;0;0;1;0
28;1;0;2;1;1;0;0
25;2;0;2;0;0;0;0
1995;5;0;1;0;0;0;0
votre;0;0;2;0;1;0;0
vos;0;1;3;0;0;0;0
moins;0;0;3;0;0;0;0
lui;0;0;3;0;0;0;0
ici;0;0;3;0;0;0;0
grâce;0;1;2;0;0;0;0
certains;0;1;2;0;0;0;0
attention;0;0;2;0;0;1;0
ailleurs;0;0;3;0;0;0;0
70;1;2;1;0;0;0;0
57;0;0;4;0;0;0;0
35;0;0;3;0;0;0;0
33;0;0;3;0;0;1;0
22;0;0;3;0;0;0;0
2009;0;0;3;0;0;0;0
000;0;1;3;0;0;0;0
voici;0;0;3;0;0;0;0
non;1;0;2;0;0;0;0
loin;0;0;2;1;0;0;0
hors;0;0;4;0;0;0;0
ha;0;0;1;0;0;0;3
déjà;0;0;2;1;0;0;0
car;0;0;3;0;0;0;0
bien;0;1;2;0;0;0;0
52;0;0;2;0;0;2;0
50;0;0;2;0;0;1;0
49;0;0;2;0;0;1;0
32;0;0;4;0;0;0;0
27;1;0;1;0;1;0;0
23;1;0;2;0;0;0;0
100;0;1;2;0;0;0;0
vers;0;1;2;0;0;0;0
leur;0;0;3;0;0;0;0
deux;0;0;3;0;0;0;0
80;0;0;3;0;0;0;0
42;0;0;3;0;0;0;0
