"";"";"";"";"son";""
"1";"son";"-0.442214578786171";"-0.450009854941145";"0.91103426945441";"105"
"2";"chaque";"-0.434402845809314";"-0.427160324579196";"0.899085735494247";"114"
"3";"ses";"-0.432909393394348";"-0.480837091831613";"0.89750711369541";"121"
"4";"1990";"-0.573744235070754";"-0.544017795016532";"0.893887170604973";"123"
"5";"après";"-0.451142273616864";"-0.476123603926231";"0.878481999257701";"128"
"6";"toute";"-0.457838044739884";"-0.495708915665044";"0.874508227143387";"132"
"7";"17";"-0.31447713170258";"-0.401679019727444";"0.860259804528022";"134"
"8";"cette";"-0.463105952515754";"-0.48329852820616";"0.856204379562044";"142"
"9";"01";"-0.514247077202035";"-0.497176938643063";"0.854775454657924";"143"
"10";"23";"-0.492355940974749";"-0.45131476425494";"0.843725102066065";"150"
"11";"2021";"-0.383052090703278";"-0.451093444164751";"0.843725102066065";"152"
"12";"bien";"-0.442214578786171";"-0.450009854941145";"0.843725102066065";"158"
"13";"100";"-0.442214578786171";"-0.450009854941145";"0.843725102066065";"159"
"14";"déjà";"-0.445906774677315";"-0.358806040201339";"0.843725102066065";"162"
"15";"08";"-0.510180186948262";"-0.513043011399272";"0.836975132995175";"167"
"16";"pas";"-0.492270794897748";"-0.465359082230567";"0.829367808981814";"171"
"17";"mais";"-0.507512126310257";"-0.516412721101396";"0.818126933069405";"175"
