"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"2";2;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"3";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"4";4;0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"5";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"8";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"10";10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"12";12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"14";14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"15";15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";16;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"17";17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"18";18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"19";19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";22;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"23";23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"25";25;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"26";26;0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"27";27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"28";28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"29";29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
