"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"ovni";-0,593325408677605;-0,597960311743232;-2,11109353271421;1,05140078907958;0,0600673067184832;0,157441080322538;-0,236383745615636;-0,238230313672885;-0,841069991794479;0,418883218266003;0,0239311088712764;0,062725296668756;0,08170498583066;0,0766433156452263;0,675929295530509;0,162339805713235;0,000467245990579918;0,00291535128978732;0,0201415835856665;0,0204574942673535;0,254989718485989;0,063247638701177;0,000206435335814853;0,00141822076916355;0,0572147123546055;1,96784034605027;0,221558001953119
"btlv";-0,481311971644095;-0,600686082496635;1,05945472078292;0,77400130431678;1,73003804253356;0,652874632784839;-0,20101336228553;-0,250868327060971;0,442466774483906;0,323251059105482;0,722526727568492;0,272664161331216;0,065010358237226;0,0935171517134361;0,205834271319643;0,106374706788939;0,468648397919369;0,0606151140213888;0,00924897019304831;0,0144057273664114;0,0448130860686673;0,0239179215415523;0,119495446977018;0,0170176521028011;0,0399245520276643;1,78960249838425;0,127865448595516
"www";-0,410967646878777;-0,358611733493369;0,236581582141123;-1,13631819699114;-0,270255960762172;-1,51630682773191;-0,205050819796068;-0,178928026329515;0,118041524035096;-0,566961851162342;-0,134843233354093;-0,756555802993699;0,0719584577562389;0,0506037230256865;0,015583036830772;0,348090573197005;0,0173629590780661;0,496401250112255;0,000212379008841344;0,000161713141023727;7,03814460966954e-05;0,00162366431287418;9,18431742565039e-05;0,00289114919311714;0,00125746620559572;1,45240556179517;0,00265260222060173
"youtube";-0,41096764687873;-0,358611733493357;0,236581582141129;-1,13631819699112;-0,270255960762186;-1,51630682773191;-0,205050819796047;-0,178928026329511;0,118041524035101;-0,566961851162341;-0,134843233354101;-0,756555802993704;0,0719584577562223;0,0506037230256831;0,0155830368307728;0,348090573196996;0,0173629590780678;0,496401250112252;0,000159284256630972;0,000121284855767787;5,27860845725241e-05;0,00121774823465561;6,88823806923848e-05;0,00216836189483784;0,000943099654196794;1,45240556179517;0,0019894516654513
"com";-0,410967646878718;-0,358611733493349;0,236581582141122;-1,13631819699113;-0,270255960762175;-1,51630682773191;-0,205050819796041;-0,178928026329507;0,118041524035097;-0,566961851162345;-0,134843233354096;-0,756555802993705;0,0719584577562183;0,0506037230256807;0,0155830368307719;0,348090573197;0,0173629590780664;0,496401250112253;0,000159284256630963;0,000121284855767782;5,27860845725211e-05;0,00121774823465562;6,88823806923794e-05;0,00216836189483785;0,000943099654196794;1,45240556179517;0,0019894516654513
"mikecriss";1,9278456536592;0,415092938278041;-0,149033538931637;0,0736479057736125;0,0942613180779654;0,0760353399382815;0,972321973255795;0,209354926347438;-0,0751660717133945;0,0371448185865064;0,0475413322748615;0,0383489371286745;0,952591844413187;0,0407868276704075;0,00372009491231806;0,000879647962684735;0,00127067929543098;0,000750905745969144;0,118005493649041;0,00547076921981705;0,000705221807096903;0,000172217986956532;0,000282114053651472;0,000183564496973446;0,031751021691292;1,87257846308818;0,111336548300091
"blog";1,88243180316332;0,40006954659316;-0,141545866677797;0,0501534183412876;0,0871833126635939;0,0451160745466277;0,973930351695038;0,206987511346325;-0,0732328339772132;0,0259483165773951;0,0451067997372894;0,0233421015712007;0,954792982706904;0,039829843837793;0,00352767651172164;0,000428842237113833;0,00114273110260335;0,000277923603866679;0,114739263702217;0,00518256244497311;0,000648735911498764;8,14469139407637e-05;0,000246116249833635;6,59077016023822e-05;0,0323797547940899;1,82635768026385;0,108005339438746
"https";-0,410967646878747;-0,358611733493349;0,236581582141125;-1,13631819699113;-0,270255960762177;-1,51630682773191;-0,205050819796055;-0,178928026329506;0,118041524035098;-0,566961851162343;-0,134843233354097;-0,756555802993703;0,0719584577562283;0,0506037230256807;0,0155830368307722;0,348090573197;0,0173629590780667;0,496401250112254;0,000159284256630985;0,000121284855767782;5,27860845725223e-05;0,00121774823465562;6,88823806923804e-05;0,00216836189483785;0,000943099654196794;1,45240556179517;0,0019894516654513
"tv";-0,352497476654077;-0,619494620282942;1,77746749635767;2,29925164579292;-2,70120733477561;0,374996503337055;-0,0870666216198378;-0,153014722861779;0,439033185190161;0,56791349246876;-0,66719625673927;0,0926238649272669;0,0123873782910818;0,035335346496011;0,205823218565968;0,333477200748061;0,405872676532938;0,00710417936594262;0,00199213392751401;0,00615292449309489;0,0506535447126715;0,0847577694639281;0,116982890392242;0,00225455556531466;0,0160326941213455;3,00253103589588;0,144537825745809
"extraterrestre";-0,438135390342442;-0,299200300883689;0,286176899462482;-1,02216940871532;-0,507382520657541;-0,625202418890346;-0,305521113128229;-0,208638724442778;0,199557230031169;-0,712780438284709;-0,353808607818555;-0,435966925202154;0,14422630703088;0,0621181861768521;0,0402087540941414;0,496705915653904;0,107920864759996;0,148819972284227;0,00313802460046125;0,00146340227681304;0,00133877878807604;0,0170799043086759;0,00420833862243873;0,0063897074374378;0,0163470606727444;1,09372285133908;0,0195548390846109
"espace";-1,21014172295215;3,16594813534492;0,143331078961371;0,30380210612313;0,18796592860986;-0,00311983948946254;-0,354762052201018;0,928121257497839;0,0420185724961842;0,0890618483662467;0,0551036108521488;-0,00091460416480762;0,135432604956188;0,856101493360873;0,00124152410750726;0,00540079984906265;0,00182312157669417;4,56149675590169e-07;0,0234789665108801;0,160699342150391;0,000329372432570817;0,00147974904241664;0,000566454167314217;1,5605259994986e-07;0,0160326941213455;3,11742354896216;0,155811005584664
"http";-0,410967646878746;-0,358611733493349;0,236581582141125;-1,13631819699113;-0,270255960762177;-1,51630682773191;-0,205050819796055;-0,178928026329506;0,118041524035098;-0,566961851162343;-0,134843233354097;-0,756555802993703;0,0719584577562282;0,0506037230256807;0,0155830368307722;0,348090573197;0,0173629590780667;0,496401250112254;0,000212379008841313;0,000161713141023709;7,03814460966964e-05;0,00162366431287416;9,18431742565072e-05;0,00289114919311713;0,00125746620559572;1,45240556179517;0,00265260222060173
