"";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9";"V10";"V11";"V12";"V13";"V14";"V15";"V16";"V17";"V18";"V19"
"1";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"2";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"4";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"5";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"6";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"7";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"9";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"10";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"11";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"12";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"14";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"15";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"16";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7
"17";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"18";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"19";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"21";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"22";0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"23";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"24";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"25";0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"26";0;0;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6;6
"27";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"28";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"29";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"30";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"31";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"33";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"34";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"35";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"36";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"37";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"38";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"39";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"40";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"41";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"42";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"43";0;0;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5
"44";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"45";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"46";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"47";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"48";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"49";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"50";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"51";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"52";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
"53";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"54";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"55";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"56";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"57";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"58";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"59";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3
"60";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"61";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;4;4
"62";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"63";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"64";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"65";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"66";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2
"67";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
