"V1";"V2";"V3";"V4";"V5";"V6"
"***";"nb classes";"7";"***";"";""
"**";"classe";"1";"**";"";""
"****";"130";"667";"19.49";"****";""
"125";"182";" 68.68";"385.98";"ovni";"6.217286e-86"
" 18";" 20";" 90.00";" 65.33";"cinéma";"6.348895e-16"
" 18";" 24";" 75.00";" 48.89";"france";"2.710608e-12"
" 10";" 10";"100.00";" 41.94";"matin";"9.428975e-11"
"  5";"  5";"100.00";" 20.81";"metz";"5.072164e-06"
"  7";"  9";" 77.78";" 19.75";"ciel";"8.813455e-06"
"  4";"  4";"100.00";" 16.62";"incident";"4.560042e-05"
"  4";"  4";"100.00";" 16.62";"mardi";"4.560042e-05"
"  4";"  4";"100.00";" 16.62";"jt";"4.560042e-05"
"  7";" 10";" 70.00";" 16.51";"filmer";"4.849344e-05"
"  6";"  8";" 75.00";" 15.90";"fantôme";"6.677125e-05"
"  3";"  3";"100.00";" 12.45";"shag";"4.183731e-04"
"  3";"  3";"100.00";" 12.45";"harbour";"4.183731e-04"
"  3";"  3";"100.00";" 12.45";"gérard";"4.183731e-04"
"  3";"  3";"100.00";" 12.45";"georges";"4.183731e-04"
"  3";"  3";"100.00";" 12.45";"degorges";"4.183731e-04"
"  3";"  4";" 75.00";"  7.90";"h";"4.937631e-03"
"  2";"  3";" 66.67";"  4.27";"gde";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"edition";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"cultur";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"ufologiques";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"repas";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"maison";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"hypnose";"3.869338e-02"
"  2";"  3";" 66.67";"  4.27";"bonheur";"3.869338e-02"
"  2";"  4";" 50.00";"  2.39";"r";"1.223349e-01"
"  2";"  4";" 50.00";"  2.39";"el";"1.223349e-01"
"  2";"  4";" 50.00";"  2.39";"projet";"1.223349e-01"
"  2";"  4";" 50.00";"  2.39";"ombre";"1.223349e-01"
"  2";"  4";" 50.00";"  2.39";"hanter";"1.223349e-01"
"  4";" 11";" 36.36";"  2.03";"partie";"1.542885e-01"
"*****";"*";"*";"*";"*";"*"
"13";"14";"92.86";"49.05";"alerte";"2.490049e-12"
"22";"46";"47.83";"25.28";"12";"4.955097e-07"
" 8";"12";"66.67";"17.33";"06";"3.138507e-05"
" 5";" 6";"83.33";"15.73";"1995";"7.318425e-05"
"11";"22";"50.00";"13.50";"11";"2.390926e-04"
" 7";"12";"58.33";"11.75";"03";"6.085277e-04"
"20";"54";"37.04";"11.53";"du";"6.852231e-04"
" 4";" 6";"66.67";" 8.59";"1990";"3.385051e-03"
" 5";" 9";"55.56";" 7.56";"04";"5.960090e-03"
" 4";" 7";"57.14";" 6.39";"mon";"1.146670e-02"
" 5";"10";"50.00";" 6.02";"14";"1.412520e-02"
" 4";" 8";"50.00";" 4.80";"j";"2.840494e-02"
" 4";" 8";"50.00";" 4.80";"09";"2.840494e-02"
" 4";" 9";"44.44";" 3.62";"08";"5.707319e-02"
" 2";" 4";"50.00";" 2.39";"25";"1.223349e-01"
" 8";"26";"30.77";" 2.19";"dans";"1.386046e-01"
"*";"*";"*";"*";"*";"*"
"40";" 61";" 65.57";"90.87";"*user_ODHTv";"1.536272e-21"
"18";" 22";" 81.82";"56.32";"*user_GillusZG";"6.148210e-14"
"11";" 11";"100.00";"46.20";"*user_Shamballahtreize";"1.067559e-11"
"12";" 19";" 63.16";"23.77";"*user_noriko";"1.087817e-06"
" 6";"  8";" 75.00";"15.90";"*user_INTROCRATE";"6.677125e-05"
"52";"180";" 28.89";"13.88";"*provider_wat";"1.950486e-04"
" 3";"  3";"100.00";"12.45";"*user_Gentside";"4.183731e-04"
"18";" 49";" 36.73";"10.02";"*user_BTLVNuméro1surleMystèreetlInexpliqué";"1.546597e-03"
"10";" 24";" 41.67";" 7.80";"*provider_dailymotion";"5.216938e-03"
" 3";"  5";" 60.00";" 5.27";"*user_shamballah13";"2.171412e-02"
"**";"classe";"2";"**";"";""
"****";"141";"667";"21.14";"****";""
"102";"127";" 80.31";"329.51";"btlv";"1.229666e-73"
" 36";" 38";" 94.74";"130.93";"radio";"2.568243e-30"
" 22";" 25";" 88.00";" 69.65";"paranormal";"7.083803e-17"
" 12";" 14";" 85.71";" 35.77";"inexpliqué";"2.220836e-09"
" 15";" 23";" 65.22";" 27.76";"mystère";"1.371635e-07"
" 12";" 17";" 70.59";" 25.59";"vie";"4.228731e-07"
" 16";" 27";" 59.26";" 24.53";"aller";"7.324597e-07"
"  7";"  8";" 87.50";" 21.39";"live";"3.748491e-06"
" 10";" 15";" 66.67";" 19.08";"phénomène";"1.254079e-05"
"  6";"  7";" 85.71";" 17.70";"jean";"2.592903e-05"
"  7";"  9";" 77.78";" 17.56";"libre";"2.790591e-05"
"  7";"  9";" 77.78";" 17.56";"dr";"2.790591e-05"
"  8";" 12";" 66.67";" 15.19";"rencontre";"9.704165e-05"
"  4";"  4";"100.00";" 15.01";"sophie";"1.068290e-04"
"  6";"  8";" 75.00";" 14.09";"pyramide";"1.742434e-04"
"  5";"  6";" 83.33";" 14.05";"semaine";"1.781923e-04"
"  5";"  6";" 83.33";" 14.05";"mort";"1.781923e-04"
"  3";"  3";"100.00";" 11.24";"spiritualité";"7.996464e-04"
"  3";"  3";"100.00";" 11.24";"pooyard";"7.996464e-04"
"  3";"  3";"100.00";" 11.24";"dominique";"7.996464e-04"
"  4";"  5";" 80.00";" 10.47";"michel";"1.213495e-03"
