"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"pre";0,0177411522716736;-0,17892601931672;0,587558924324364;-0,313185566030077;0,00163221794869462;-0,573196352278883;0,0197833887736245;-0,199522722518507;0,65519456962673;-0,34923728268503;0,00182010738354749;-0,639178679440239;0,00155460809893401;0,0594885804110994;0,455005399616419;0,0561302707675929;1,27006116030661e-06;0,128579424940841;4,33367338224626e-05;0,00440797913058247;0,0475330173567419;0,0135050440846298;3,66816470868944e-07;0,0452375801520017;0,137686870741381;0,0810372123698605;0,000904193781668489
"ver_sup";1,50212235895397;0,891498722599648;-0,932585483195524;0,601100880276974;-1,38903000581299;2,03148260244529;0,467171596803649;0,277262953515528;-0,290041251795058;0,18694699296975;-0,431999005910357;0,631806700436899;0,485591269004877;0,0643474031773625;0,0499452242435087;0,00900930641435972;0,0400769405867304;0,0703710169566575;0,0242090106604217;0,00852722791496622;0,00933133373393386;0,00387669066434037;0,0207009213534682;0,0442784729996947;0,0107291772602461;0,388224561880156;0,00161708346915108
"adj_dem";0,914309097208285;0,756962264923034;-2,80745453142972;0,0577511312873035;-2,49946821047307;-2,37308249181809;0,198702048702285;0,164506678638312;-0,610129516086964;0,0125507534997738;-0,54319644811988;-0,515729696120872;0,101744612171991;0,0262363324586664;0,255980697908367;4,70308375112105e-05;0,0733891117670826;0,0543073202423174;0,0027842699940546;0,00190841897279011;0,0262512947201243;1,11082656516374e-05;0,0208075286002917;0,0187564626055002;0,00333062137699583;0,516238586826232;0,000887618185884604
"ono";-0,00414599062470869;2,19178371543578;6,54791507006957;6,8883259504777;-6,71812638343425;1,35935840868486;-0,000347790057567008;0,183859698095531;0,549277594983319;0,577833260060805;-0,563555920197288;0,1140309716074;4,38534882135015e-07;0,0461075696159244;0,29188380924636;0,140252713721673;0,111136037815013;0,00373527716346695;2,31625553693973e-08;0,00647329249283594;0,0577744626140735;0,063937730682429;0,0608171659590448;0,0024899911017212;0,00134750330519679;1,12755926117615;0,00171320207555164
"pro_per";1,55396746863075;0,565709156752956;0,0760564834665231;1,2184772852865;0,136831631726835;-1,67210927363504;0,585674127375459;0,21320987949737;0,0286648951697499;0,459231377228117;0,0515704145207022;-0,630200541183478;0,764851398000145;0,0381337014656646;0,000488902344197006;0,0544834344052264;0,000572370561282123;0,070166512991237;0,0906507218129071;0,0120136185313589;0,000217150035137391;0,055734267266142;0,000702846413065136;0,104958286459487;0,0375394081155293;0,320012190877762;0,00384432828514399
"num";-3,5535040731878;4,20956924449897;-0,961691800949018;-0,259184421842209;0,726614444867117;-0,646706912970655;-0,625387343437184;0,740849390520159;-0,169249807574103;-0,0456143158127273;0,127878136064969;-0,11381507097088;0,642030359584693;0,338958533223311;0,012547874720646;0,00039572738146187;0,00259096199003013;0,00168486186522677;0,355077155119687;0,498292570578669;0,0260064410336087;0,00188897794074551;0,0148462630414787;0,0117604544238824;0,0281195972744839;0,798715601611282;0,0179388018192958
"adv";0,705261545695939;1,76250041236355;4,23514905662016;-0,0203612051177522;3,42927561543935;1,59104882562535;0,117818705838376;0,294437601045393;0,70751026187203;-0,00340147687184058;0,572883659175651;0,265795455182332;0,0442104663611279;0,103875342269846;0,425420588697556;4,26941160831215e-06;0,100888235656736;0,0178278538746301;0,00192219731697571;0,0120048299334999;0,069316233723995;1,60215494825513e-06;0,0454466986039443;0,00978283147461659;0,00386453778094173;0,604088807455894;0,00141025983089112
"ver";0,866156520328825;0,582015668512123;1,02435251001061;-0,119120543956535;-0,047754903151788;-1,12856575490731;0,467789793959247;0,314332321311833;0,553227549932412;-0,0643340705818228;-0,025791246479837;-0,609510555617744;0,534177073929802;0,090738410247471;0,199364476183374;0,00117058297728147;0,000156725434142954;0,0718544363145233;0,0637174231339377;0,0287696645823723;0,0891177714163425;0,00120514355199198;0,000193687406030966;0,108173076508974;0,0849308451133937;0,213435614739972;0,00386900440497596
"adj_ind";0,514116791298842;0,43985786404847;1,21962971871185;-1,59091205167577;0,789923555670951;-0,199208317837499;0,226768254244768;0,194013892629553;0,537958119279864;-0,701724500582924;0,348421970917884;-0,0878674325203822;0,0367172552516169;0,0101111529559738;0,0551390203602089;0,0407357162803946;0,00836619184187131;0,00043678622399205;0,000678732929539235;0,000496821137930782;0,00381971833945083;0,00649931650495493;0,00160230605115905;0,000101903776656673;0,00256788365707312;0,483214342938697;0,000599590822317436
"adj_pos";1,9285611120228;1,04575869654726;1,05487604433041;2,8661922968388;-0,356570680370638;-0,0566290211065807;0,510509957157041;0,276823080193184;0,279236535902285;0,758710573152799;-0,0943879256014572;-0,0149902841858319;0,534470659956961;0,0591220323710323;0,0426693803334862;0,13677417045082;0,0017634346731057;3,65125808671314e-05;0,0536171640117805;0,0157652186399418;0,0160413120834824;0,118426168162151;0,00183285575629738;4,6229067930809e-05;0,0144157429065392;0,475099532698161;0,00325391523199929
