"";"banalfreq";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"lors";22;-0,0228;-0,0092;-0,048;-0,0356;-0,0652;1,1735;-0,1014;-0,0081;-0,0362;-0,1735;0,7239;-0,4313;0,3728;0,6897;1,9606;0,2769;0,3466;-0,1721;-0,3266;1,0829;1,0071;-0,2742;0,2732;-0,3445;-0,2761;-0,36;-1,3503;-0,5585
"réalisateur";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;1,8789;-0,0413;0,4398;0,6543;1,0059;-0,2852;-0,1484;0,2942;-0,0782;-0,1484;-0,0959;1,6352;0,603;-0,361;-0,3709;-0,1255;-0,2101;-0,6137;-0,5161
"espèce";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;-0,0451;0,3175;-0,1484;-0,308;-0,0782;0,5384;-0,0959;0,6628;-0,1246;0,7282;-0,3709;-0,1255;-0,609;0,8702;-0,1616
"toute";24;-0,0248;-0,01;-0,0523;-0,0388;-0,0712;-0,0329;-0,1106;-0,0089;-0,0395;-0,1892;-0,0992;0,543;1,6825;0,6563;-0,2647;0,7162;-0,7392;-0,1877;0,7162;-0,2303;0,3519;-0,2992;0,2358;-0,3933;-0,3012;0,4133;-0,2157;-0,3132
"possible";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;0,7185;-0,0074;-0,0329;-0,1577;-0,0826;-0,3921;1,9001;-0,0902;-0,1979;-0,2969;-0,616;-0,1564;0,3052;0,4472;0,4117;-0,2493;-0,7221;-0,7419;-0,251;1,9706;0,576;-0,4853
"expérience";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;-0,0541;0,7573;-0,1781;1,3544;-0,0938;0,4731;0,6329;-0,1277;-0,1496;0,1998;-0,4451;0,5331;-0,2827;-0,7364;0,4024
"sommaire";16;-0,0165;-0,0067;-0,0349;-0,0259;-0,0474;-0,0219;-0,0737;-0,0059;-0,0263;-0,1261;0,8502;-0,3137;-0,1741;-0,0722;0,5678;0,3755;-0,1551;-0,1251;-0,2375;-0,1535;-0,1703;0,4339;0,4333;0,4188;1,1266;-0,1871;-0,982;0,2603
"million";22;-0,0228;-0,0092;-0,048;-0,0356;-0,0652;-0,0302;-0,1014;-0,0081;-0,0362;-0,1735;-0,0909;-0,4313;0,9911;-0,0993;0,793;0,2769;-0,2598;-0,1721;0,2769;-0,2111;-0,2342;-0,2742;-0,7943;-0,8161;-0,2761;-0,7053;1,7144;1,5193
"tendance";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;-0,3137;-0,1633;1,4572;-0,086;0,504;1,638;0,6265;-0,1371;0,2224;-0,408;-0,138;-0,67;-0,6751;0,9323
"différent";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;0,3081;-0,1632;0,8408;-0,4278;-0,2226;-0,1392;0,6258;1,052;1,3822;-0,1597;-0,187;0,9501;-0,1876;0,4538;-0,9136;-0,4051;-0,3129
"origine";43;-0,0445;-0,018;1,7049;-0,0696;-0,1275;-0,0589;1,1213;-0,0159;-0,0707;-0,3391;-0,1777;-0,368;-0,1476;-0,194;-1,2266;-0,6384;-0,7053;1,3844;1,2545;-0,4126;1,6994;-0,1834;0,3449;-0,5154;0,4592;1,6988;-1,7628;-0,3334
"chaîne";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;0,6228;-0,062;-0,2941;-0,1632;-0,0677;1,899;0,3968;-0,462;-0,1173;-0,2226;-0,1439;0,512;-0,187;-0,5415;-0,5564;-0,1882;1,4315;-0,9206;0,6342
"spatial";20;-0,0207;-0,0084;-0,0436;-0,0324;-0,0593;-0,0274;1,7298;-0,0074;-0,0329;-0,1577;-0,0826;-0,3921;-0,2177;-0,0902;0,884;0,8414;1,3571;-0,1564;-0,2969;1,1555;-0,2129;0,3598;-0,7221;-0,2973;-0,251;-0,2981;-0,6215;-0,216
"tv";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;0,5289;0,8686;0,6531;-0,2078;0,201;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;1,6751;-0,5193;0,478;0,249;-0,8592;0,3224
"sans";42;-0,0434;-0,0175;-0,0916;-0,0679;0,6031;-0,0576;0,4441;-0,0155;-0,0691;0,7583;-0,1735;0,2529;1,0692;0,4515;0,2973;0,3826;0,8026;-0,3286;-0,2324;0,6316;-0,137;1,5159;-0,4706;-0,4938;-0,1785;-0,7385;-0,2868;-1,3688
"recette";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;0,6531;-0,2078;1,9002;-0,1095;1,1046;-0,1343;1,357;1,2358;-0,1603;-0,5193;-0,1757;-0,8527;-0,8592;-0,2806
"jusqu_à";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;1,8539;-0,1306;-0,0541;0,2634;-0,1781;0,7069;0,7114;-0,1781;0,6329;-0,1277;-0,1496;0,1998;-0,4451;-0,1506;-0,2827;-0,286;-0,2189
"plan";26;-0,0269;-0,0109;-0,0567;-0,0421;-0,0771;-0,0356;-0,1198;-0,0096;-0,0428;0,4245;-0,1074;0,4956;1,5895;-0,1173;1,6543;-0,3859;-0,8008;0,4272;0,23;-0,2495;-0,2768;0,2791;-0,4263;-0,9645;0,7732;-0,4943;0,5979;-0,3662
"europe";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;-0,2941;-0,1632;-0,0677;-0,4278;0,3968;-0,462;-0,1173;-0,2226;-0,1439;-0,1597;0,4562;0,9501;0,9246;-0,1882;1,4315;-0,9206;0,2895
"victime";15;-0,0155;-0,0063;-0,0327;-0,0243;1,0117;-0,0206;-0,0691;-0,0055;-0,0247;-0,1183;-0,062;0,854;-0,1632;0,8408;1,899;1,8952;-0,1392;-0,1173;0,3968;-0,1439;0,512;0,4562;-0,5415;-0,5564;-0,1882;-0,9136;-0,9206;-0,7743
"personnalité";11;-0,0114;-0,0046;-0,024;-0,0178;-0,0326;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;-0,0496;1,5409;0,504;-0,3388;0,7454;-0,1633;0,6661;-0,1171;-0,1371;0,6633;0,6462;0,565;-0,67;-0,6751;-0,5678
"ailleurs";18;-0,0186;-0,0075;-0,0393;-0,0291;-0,0534;-0,0247;-0,0829;-0,0067;-0,0296;1,3885;-0,0744;-0,3529;-0,1959;-0,0812;-0,1666;0,3377;0,4536;-0,1408;-0,2672;-0,1727;-0,1916;0,3942;-0,6499;0,3565;1,0371;-0,2403;-0,2439;0,4843
"devant";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;1,0422;1,1597;-0,1088;-0,0451;0,3175;-0,1484;1,5733;0,7831;-0,1484;-0,0959;0,6628;-0,1246;-0,361;-0,3709;-0,1255;-0,2101;-0,6137;-0,5161
"temps";27;-0,0279;-0,0113;-0,0589;-0,0437;0,7737;-0,037;0,6036;-0,01;-0,0444;0,4118;-0,1116;-0,1777;-0,2939;-0,1218;0,2848;0,22;-0,3567;0,4144;0,6393;0,3475;0,859;0,7521;-0,451;-1,0016;-0,3388;-0,2827;0,315;-0,1928
"oeil";13;-0,0134;-0,0054;-0,0284;-0,021;-0,0386;-0,0178;0,89;-0,0048;-0,0214;1,6555;0,9344;1,7543;0,5559;0,8986;-0,3708;-0,193;0,2202;-0,1017;-0,193;0,6027;-0,1384;-0,162;-0,1416;-0,4822;-0,1631;-0,7918;-0,7978;-0,2493
"façon";10;-0,0103;-0,0042;-0,0218;-0,0162;1,1805;-0,0137;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;-0,196;-0,1088;1,0059;-0,2852;-0,1484;0,2942;-0,0782;-0,1484;-0,0959;-0,1064;-0,1246;-0,361;-0,3709;-0,1255;0,8772;-0,6137;1,7224
"montrer";15;-0,0155;-0,0063;-0,0327;-0,0243;-0,0445;-0,0206;0,8323;-0,0055;-0,0247;-0,1183;0,8762;0,3081;-0,1632;-0,0677;0,6084;-0,2226;-0,462;1,543;1,052;0,5497;-0,1597;0,4562;0,4699;-0,5564;-0,1882;0,2201;-0,9206;-0,7743
"télévision";14;-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;0,6489;-0,0578;0,3293;-0,1524;0,8686;0,6531;1,1046;0,201;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,1603;-0,5193;-0,1757;-0,8527;0,2458;0,6959
"nommer";10;-0,0103;-0,0042;-0,0218;-0,0162;-0,0297;1,5078;-0,0461;-0,0037;-0,0164;-0,0788;-0,0413;0,4398;-0,1088;1,0059;0,8879;-0,1484;-0,308;-0,0782;0,5384;-0,0959;-0,1064;-0,1246;0,2483;0,7105;-0,1255;-0,2101;-0,6137;-0,5161
"participer";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;1,9931;-0,0197;0,7083;-0,0496;-0,2353;-0,1306;-0,0541;-0,3422;-0,1781;0,7069;1,7293;-0,1781;0,6329;1,4827;-0,1496;-0,4332;-0,4451;-0,1506;0,3202;-0,7364;-0,2189
"seul";28;-0,029;-0,0117;-0,0611;1,0042;0,7593;-0,0384;-0,129;-0,0103;-0,0461;0,3996;-0,1157;0,4533;0,2973;-0,1263;0,2686;-0,4156;1,4052;-0,219;-0,4156;0,9056;-0,2981;0,2578;-0,476;0,3925;0,2559;-0,9882;-0,3133;-0,2112
"nombre";12;-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;0,3786;-0,1306;-0,0541;-0,3422;-0,1781;0,2418;-0,0938;-0,1781;-0,1151;1,4827;-0,1496;0,1998;0,193;-0,1506;1,8648;-0,7364;-0,2189
"poser";18;-0,0186;-0,0075;1,0633;-0,0291;-0,0534;-0,0247;0,7598;-0,0067;-0,0296;-0,1419;-0,0744;-0,3529;-0,1959;-0,0812;0,9892;-0,2672;0,9162;1,3947;0,3377;0,484;-0,1916;0,3942;-0,2415;0,3565;-0,2259;-1,0964;-0,2439;-0,9291
