"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"devenir";0;1;0;1;0;0;0;0;0;1;0;0;7;0;6;2;5;2;7;0;0;2;2;3;2;2;0;3
"lors";0;0;0;0;0;1;0;0;0;0;1;0;1;1;5;1;2;0;0;2;2;0;2;1;0;2;0;1
"accidentellement";0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;23;0;0;0;0;0;0;0;0;0;0;0
"maloney";0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2;6;0;0;0;1;1;0
"substance";0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;7;0
"karim";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;12;0;0;0;0
"vigi";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0
"rythmé";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;0;2;24;41;0
"unir";0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;1;3;1;1;1;0;0;0;1;0;15;6
"leurs";0;0;0;1;0;0;2;0;2;2;0;2;2;0;7;3;5;3;10;3;2;5;6;5;3;8;7;10
"sortir";0;0;0;0;0;0;1;0;0;1;1;4;6;0;2;0;1;0;0;2;0;2;1;1;1;2;0;2
"commentaire";0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;2;6;0;7
"machine";0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;1;0;0;0;0;0;3;0;0;0;1
"zorbb";0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"réalisateur";0;0;0;0;0;0;0;0;0;2;0;1;1;1;0;0;1;0;0;0;2;1;0;0;0;1;0;0
"sentir";0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;2;0;4;6;0;0;1;0;0;1;0;2
"peur";0;0;0;0;4;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;1;0;1;2;0;0;1;0
"député";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;2;25;0;1;0;3
"espèce";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;2;0;0;0;3;1
"toute";0;0;0;0;0;0;0;0;0;0;0;2;3;1;1;2;0;0;2;0;1;0;2;1;0;4;3;2
"affaire";0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;2;2;3;7;0;3;0;2
"chronique";0;0;0;0;0;0;0;0;0;3;0;0;0;1;1;3;1;4;2;7;5;5;0;0;2;0;0;0
