"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"devenir";-0,0476;1,3638;-0,1003;0,8028;-0,1364;-0,0631;-0,212;-0,017;-0,0757;0,247;-0,1901;-0,902;3,8894;-0,2076;1,1563;0,3369;0,6887;0,7031;3,0905;-0,4414;-0,4898;0,4258;-0,5548;-0,3244;0,4222;-1,3053;-2,8238;-0,6436
"lors";-0,0228;-0,0092;-0,048;-0,0356;-0,0652;1,1735;-0,1014;-0,0081;-0,0362;-0,1735;0,7239;-0,4313;0,3728;0,6897;1,9606;0,2769;0,3466;-0,1721;-0,3266;1,0829;1,0071;-0,2742;0,2732;-0,3445;-0,2761;-0,36;-1,3503;-0,5585
"accidentellement";-0,0269;-0,0109;-0,0567;-0,0421;-0,0771;1,1036;0,6178;-0,0096;-0,0428;-0,205;-0,1074;-0,5098;-0,283;-0,1173;-0,7416;0,23;23,4827;-0,2034;-0,3859;-0,2495;-0,2768;-0,3241;-0,9388;-0,9645;-0,3263;-1,5837;-1,5958;-1,3422
"maloney";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;16,7652;-0,2078;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;-0,5193;-0,1757;-0,8527;-0,8592;-0,7226
"évolution";-0,0124;-0,005;-0,0262;-0,0194;-0,0356;-0,0164;-0,0553;-0,0044;-0,0197;-0,0946;-0,0496;-0,2353;-0,1306;2,1825;-0,3422;-0,1781;-0,3696;-0,0938;-0,1781;-0,1151;1,4827;6,3919;-0,4332;-0,4451;-0,1506;-0,2827;-0,286;-0,6194
"substance";-0,0114;-0,0046;-0,024;-0,0178;1,1405;-0,0151;-0,0507;-0,0041;-0,0181;-0,0867;-0,0454;-0,2156;-0,1197;0,9667;-0,3137;-0,1633;-0,3388;-0,086;-0,1633;-0,1055;-0,1171;-0,1371;-0,3971;-0,408;-0,138;0,3645;3,8557;-0,5678
"karim";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;0,4803;-0,1603;11,1575;-0,1757;-0,8527;-0,8592;-0,7226
"vigi";-0,0145;-0,0058;-0,0305;-0,0226;-0,0415;-0,0192;-0,0645;-0,0052;-0,023;-0,1104;-0,0578;-0,2745;-0,1524;-0,0632;-0,3993;-0,2078;-0,4312;-0,1095;-0,2078;-0,1343;-0,149;-0,1745;-0,5054;15,2243;-0,1757;-0,8527;-0,8592;-0,7226
"rythmé";-0,0849;-0,0343;-0,1789;-0,1327;-0,2433;-0,1124;-0,378;-0,0303;-0,135;-0,6468;-0,3389;-1,6085;-0,4038;-0,3701;-2,3399;-1,2178;-2,5268;-0,6417;-1,2178;-0,7871;-0,8733;-1,0226;2,2847;-3,0433;-0,2325;4,042;14,9331;-4,235
"unir";-0,0341;-0,0138;-0,072;-0,0534;-0,0979;-0,0452;-0,1521;-0,0122;-0,0543;-0,2602;-0,1363;-0,647;0,2498;-0,1489;-0,4307;0,516;-0,4817;1,6824;-0,1579;0,286;0,256;-0,4114;-1,1916;-1,2243;0,2114;-2,0102;5,2153;0,8013
