"";"X.anneedediff_1995";"X.anneedediff_1996";"X.anneedediff_1997";"X.anneedediff_1998";"X.anneedediff_1999";"X.anneedediff_2000";"X.anneedediff_2001";"X.anneedediff_2002";"X.anneedediff_2004";"X.anneedediff_2005";"X.anneedediff_2006";"X.anneedediff_2007";"X.anneedediff_2008";"X.anneedediff_2009";"X.anneedediff_2010";"X.anneedediff_2011";"X.anneedediff_2012";"X.anneedediff_2013";"X.anneedediff_2014";"X.anneedediff_2015";"X.anneedediff_2016";"X.anneedediff_2017";"X.anneedediff_2018";"X.anneedediff_2019";"X.anneedediff_2020";"X.anneedediff_2021";"X.anneedediff_2022";"X.anneedediff_2023"
"pre";-3,621;-0,5564;1,588;0,3861;1,2272;1,0014;0,3296;-0,9952;-0,3722;0,9504;1,5557;0,6396;-1,377;1,1966;-1,7658;0,6369;6,0739;0,8446;-0,4636;0,5277;0,9812;1,3944;0,6188;-1,306;-0,3017;-0,7513;-2,3162;-2,2233
"ver_sup";2,8946;0,6501;-1,976;0,2725;-0,7825;1,5594;0,7474;-0,3468;0,3517;-1,7483;-0,9921;0,7503;1,6705;-0,4495;-0,5001;-1,892;-3,7648;2,1244;2,5135;1,3726;1,8979;-1,6172;0,6933;-7,6485;-1,461;-0,3108;3,5905;0,4383
"adj_dem";-0,2814;0,6162;-0,174;-0,1763;-0,9574;-0,3919;0,3803;-0,1073;-0,4617;-1,0541;-1,2485;0,9984;-0,5803;-1,3291;-0,5214;-1,66;-0,815;-0,9191;-0,235;2,0348;-0,5252;0,3325;-0,6662;-2,6373;-1,4418;0,5449;3,4503;3,5775
"ono";-0,1137;-0,0486;2,025;-0,2095;-0,3869;0,5149;3,4023;-0,0434;1,1616;-0,2077;2,953;0,6619;1,5437;0,9006;5,1195;0,3165;0,3089;-0,1748;-0,5413;1,4172;-0,6533;0,3532;-1,0583;-3,5397;-1,4545;-1,759;-2,3023;-1,6951
"pro_per";1,492;0,6958;-0,6139;0,8921;-0,584;0,4994;1,5185;0,2766;-0,8135;-3,1873;-4,0853;14,0678;0,5244;-1,412;-0,7416;-0,77;1,0832;0,4126;11,6524;3,4255;0,3837;-1,4098;0,4135;-17,851;-1,5531;0,5629;6,1961;-14,0224
"num";-2,4061;-1,0287;-6,2884;-4,4324;-0,6123;-1,7544;-12,292;-0,9171;-3,9472;0,6045;1,9102;-17,1852;-5,7122;-7,8146;56,0089;26,87;-8,2697;-13,5901;-14,3398;-12,8921;-17,4392;-1,5882;-2,3895;0,508;8,3702;7,601;-95,8265;60,386
"adv";0,2769;-0,1396;-0,4978;1,295;-0,2741;0,5524;1,8123;-0,1245;0,4583;-0,9183;0,3739;0,3648;2,6282;-0,5028;0,395;1,794;7,9008;-0,3247;1,1937;0,5501;-0,3609;0,4138;0,4301;-2,3432;0,4595;-3,2164;-6,0245;-1,3206
"ver";2,6846;0,3884;-3,313;1,5178;-0,4913;0,3577;5,2983;0,5357;0,742;2,1765;-2,5081;18,1779;-0,8613;-0,6183;-0,6613;0,7456;4,5941;2,2214;5,7926;4,1417;2,1293;1,0771;-1,8208;-20,4034;-2,4971;-5,5324;0,3376;-4,0141
"adj_ind";-0,2169;-0,0927;-0,6816;-0,3996;1,043;0,3;-1,108;-0,0827;-0,3558;1,2057;-0,4529;0,4815;0,4814;0,6814;-0,3026;-0,4952;-1,6813;2,2286;1,6233;0,7098;1,0305;0,6925;0,5589;-1,1922;-0,9075;-0,5294;-1,1647;0,538
"adj_pos";0,513;-0,5237;-0,893;-0,3837;-1,8469;-0,3437;1,285;-0,1481;1,7421;-1,4236;0,925;13,5932;6,6023;-0,8156;-0,5661;1,5976;-2,3444;0,9743;5,8143;0,3141;1,0354;0,4541;0,5081;-11,201;-1,5699;-1,2595;2,661;-13,9939
"aux";1,2202;-0,3994;-2,3317;-0,3682;-1,166;-1,2124;-0,441;0,8487;-1,3303;-7,9651;-8,5927;-0,3485;0,691;-4,1696;0,4694;-1,1026;-0,5162;-0,6492;3,9423;-1,9827;-0,365;-5,8166;0,5784;-5,1883;-2,5556;4,1807;24,9224;-1,4374
"nr";-1,9237;-0,6791;49,9604;-2,8997;0,292;-1,5254;-7,5272;-0,4973;-1,7961;3,6332;1,5611;-8,4085;-1,9031;0,6965;0,8354;-0,5951;-5,9595;-4,1626;-25,9979;-6,6058;-1,9445;0,2951;-1,5456;65,6973;1,97;6,1016;-22,9237;5,3424
