"";"*anneedediff_1995";"*anneedediff_1996";"*anneedediff_1997";"*anneedediff_1998";"*anneedediff_1999";"*anneedediff_2000";"*anneedediff_2001";"*anneedediff_2002";"*anneedediff_2004";"*anneedediff_2005";"*anneedediff_2006";"*anneedediff_2007";"*anneedediff_2008";"*anneedediff_2009";"*anneedediff_2010";"*anneedediff_2011";"*anneedediff_2012";"*anneedediff_2013";"*anneedediff_2014";"*anneedediff_2015";"*anneedediff_2016";"*anneedediff_2017";"*anneedediff_2018";"*anneedediff_2019";"*anneedediff_2020";"*anneedediff_2021";"*anneedediff_2022";"*anneedediff_2023"
"pre";11;9;101;51;105;45;137;6;42;243;138;515;273;142;681;379;897;222;366;261;309;378;842;759;336;1316;1156;1111
"ver_sup";8;2;1;4;4;7;14;0;4;9;5;45;34;8;53;17;35;27;45;28;34;17;71;25;17;104;130;96
"adj_dem";0;1;2;1;0;0;4;0;0;2;0;17;5;0;15;3;14;2;9;13;5;9;16;8;3;36;49;48
"ono";0;0;4;0;0;1;7;0;2;2;6;7;7;3;21;4;8;2;2;6;1;4;4;0;0;6;4;5
"pro_per";13;5;19;18;21;12;49;3;8;38;13;230;87;24;187;90;231;59;176;98;81;78;229;107;74;378;422;203
"num";0;0;1;0;15;2;0;0;0;51;36;30;29;3;364;181;94;4;20;9;7;55;136;170;120;362;13;510
"adv";1;0;1;4;2;2;9;0;2;3;4;15;18;2;22;18;51;5;16;9;7;11;25;11;11;20;11;24
"ver";29;8;30;41;52;24;125;8;32;168;51;462;171;71;436;239;562;156;300;203;210;234;463;313;171;715;765;642
"adj_ind";0;0;0;0;4;1;0;0;0;8;1;11;7;4;13;5;7;10;13;7;9;9;18;9;3;22;16;25
"adj_pos";4;0;5;4;3;3;21;1;10;15;17;113;63;9;71;51;59;28;71;27;38;39;91;31;24;123;161;52
"aux";12;2;11;12;17;5;34;5;6;23;5;133;89;14;204;85;202;50;139;50;76;53;232;158;66;433;522;291
"nr";11;6;201;21;70;19;56;6;22;219;109;284;200;105;588;271;494;116;135;132;191;268;591;1036;295;1177;689;1037
"pro_ind";1;3;2;2;8;3;9;0;0;11;2;32;20;5;34;26;41;7;34;17;17;10;55;15;14;83;112;60
"adj";6;8;35;26;39;12;52;4;32;103;54;169;146;75;318;163;415;137;178;131;141;180;401;632;153;644;560;580
"pro_dem";2;1;1;2;3;1;8;1;2;6;1;16;36;2;33;29;32;5;23;11;11;11;26;21;12;30;19;36
"nom";32;10;112;80;171;63;211;15;70;412;227;750;471;238;1156;561;1270;335;551;399;461;577;1445;1427;652;2286;2066;2021
"art_ind";8;2;15;20;31;12;29;8;8;85;27;166;91;32;210;85;341;106;138;104;99;121;259;223;74;401;526;336
"adj_int";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;2;2;2;1;1;1;2;1;0;0
"pro_pos";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1
"nom_sup";0;0;2;4;4;0;0;0;0;7;2;17;14;0;15;15;20;9;18;3;12;20;12;19;11;11;11;22
"adv_sup";11;2;4;6;4;5;25;5;12;24;7;76;76;13;127;74;106;26;91;32;49;49;196;73;40;259;350;210
"adj_sup";2;2;3;1;2;1;0;0;0;4;1;0;6;2;5;4;8;1;9;3;1;2;3;1;1;1;2;5
"art_def";25;12;37;36;73;35;134;4;42;139;130;335;197;121;489;240;466;122;209;182;220;263;525;481;256;867;683;874
"adj_num";0;0;0;0;1;3;2;1;4;5;1;6;8;1;25;7;20;10;8;2;1;5;9;5;7;16;6;6
"pro_rel";3;2;4;9;8;3;21;2;6;21;5;57;41;10;83;21;66;23;51;33;43;42;99;112;29;163;233;134
"con";15;8;17;14;21;11;39;5;14;41;15;142;95;28;169;86;190;44;110;74;73;88;232;181;74;321;465;291
