"";"banalfreq";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"évolution";12;-0,0053;1,7995;-1,1439;0,3445;0,5579;-0,285;-0,3047;-0,0655;-0,0036
"unir";33;-0,0147;-0,2368;-0,463;1,9988;-0,3478;-0,7838;-0,838;-0,1802;-0,0099
"sortir";27;-0,012;-0,1937;-1,1148;1,9077;-0,8685;1,277;-0,6856;-0,1474;-0,0081
"machine";10;-0,0044;1,9564;-0,9532;0,9583;-1,5501;1,0183;-0,2539;-0,0546;-0,003
"réalisateur";10;-0,0044;-0,0717;0,2109;1,5003;-1,5501;0,3755;-0,2539;-0,0546;-0,003
"peur";12;-0,0053;-0,0861;-1,1439;0,3445;0,5579;0,8821;-0,3047;-0,0655;-0,0036
"espèce";10;-0,0044;-0,0717;-0,4148;0,9583;-1,5501;1,866;-0,2539;-0,0546;-0,003
"affaire";25;-0,0111;-0,1794;0,6806;1,4641;-1,4802;-0,2125;-0,6348;-0,1365;-0,0075
"guerre";16;-0,0071;-0,1148;0,4088;0,2587;-0,3474;0,6817;-0,4062;-0,0873;-0,0048
"penser";30;-0,0133;0,4081;-0,5718;1,384;-0,7986;0,6723;-0,7618;-0,1638;-0,009
"suivre";20;-0,0089;1,3777;1,5289;-0,429;-1,4516;0,54;-0,5078;-0,1092;-0,006
"empêcher";11;-0,0049;0,7795;-0,2026;-1,2885;-0,5054;1,745;0,899;-0,06;-0,0033
"fou";19;-0,0085;1,4188;-1,8113;1,8127;-0,3249;-0,4512;-0,4824;-0,1037;-0,0057
"expérience";12;-0,0053;-0,0861;-0,245;1,5012;-0,5979;-0,285;-0,3047;-0,0655;-0,0036
"sol";10;-0,0044;-0,0717;0,2109;0,5593;-1,5501;1,866;-0,2539;-0,0546;-0,003
"corps";25;-0,0111;-0,1794;-1,5298;0,8111;-0,4685;1,3832;0,3777;-0,1365;-0,0075
"tendance";11;-0,0049;-0,0789;0,4285;1,8135;-1,7052;-0,2612;-0,2793;-0,06;-0,0033
"différent";15;-0,0067;0,6586;-0,7594;1,7911;-0,8978;0,2521;-0,3809;-0,0819;-0,0045
"seulement";10;-0,0044;1,9564;0,2109;-1,1286;0,8224;-0,2375;-0,2539;-0,0546;-0,003
"ceux";10;-0,0044;1,9564;-0,4148;0,2847;-0,1876;-0,2375;-0,2539;-0,0546;-0,003
"tomber";29;-0,0129;0,4195;-0,8269;0,4623;0,6388;0,3359;-0,7364;-0,1583;-0,0087
"spatial";20;-0,0089;-0,1435;1,5289;-1,4558;-0,6253;0,54;0,9938;-0,1092;-0,006
"écrivain";27;-0,012;-0,1937;-0,4411;1,5025;-0,2391;-0,6412;-0,6856;-0,1474;-0,0081
"tv";14;-0,0062;-0,1004;0,9081;0,4015;-1,3248;-0,3325;-0,3555;1,8916;-0,0042
"retourner";10;-0,0044;-0,0717;0,2109;-0,6271;-0,4175;1,0183;0,9701;-0,0546;-0,003
"signe";11;-0,0049;-0,0789;-0,2026;0,7692;-1,7052;1,745;-0,2793;-0,06;-0,0033
"personne";37;1,4295;0,3398;1,0167;0,8391;-1,3592;-0,3902;-0,9396;-0,202;-0,0111
"jusqu_à";12;-0,0053;-0,0861;-0,5478;0,3445;-0,308;1,6373;-0,3047;-0,0655;-0,0036
"diffusion";11;-0,0049;-0,0789;1,966;-0,4066;-0,9478;0,3449;-0,2793;-0,06;-0,0033
