"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"devenir";0;3,85;0,8;0,7;0,68;0,3;0,28;1,26;0
"lors";0;0;0,56;0,3;0,16;1,48;0;0;0
"accidentellement";0;0;0;1,04;0,1;0;0;0;0
"maloney";0;0;0;0;0;0;0;17,65;0
"évolution";0;1,92;0;0,22;0,26;0;0;0;0
"substance";0;0;0;0,39;0,05;0,3;0;0;0
"karim";0;0;0,08;0,57;0;0;0;0;0
"vigi";0;0;0;0,61;0;0;0;0;0
"rythmé";0;0;0;0,04;3,25;0;5,27;0;0
"unir";0;0;0,4;0,83;0,47;0;0;0;0
"leurs";0;1,92;1,52;2,04;0,73;1,48;0,28;0;0
"sortir";0;0;0,16;0,7;0,26;1,18;0;0;0
"commentaire";0;0;1,2;0,17;0,1;0;0;0;0
"machine";0;1,92;0;0,26;0;0,59;0;0;0
"zorbb";0;0;0;0;0,58;0;0;0;0
"réalisateur";0;0;0,16;0,3;0;0,3;0;0;0
"sentir";0;0;0;0,74;0;0,59;0;0;0
"peur";0;0;0;0,22;0,26;0,59;0;0;0
"député";0;0;0,4;1,17;0;0;0;0;0
"espèce";0;0;0,08;0,26;0;0,89;0;0;0
"toute";0;0;0,24;0,7;0,05;0,89;0;0;22,73
"affaire";0;0;0,56;0,61;0,16;0,3;0;0;0
"chronique";0;0;0,8;1,04;0;0;0;0;0
"vigier";0;0;0;0,61;0;0;0;0;0
"ambre";0;0;3,84;0,13;0,05;0;0;0;0
"rick";0;0;0;0;0,68;0;0;0;0
"guerre";0;0;0,32;0,26;0,21;0,59;0;0;0
"souvenir";0;0;0,08;0,17;0,1;2,66;0;0;0
"demander";0;0;0,24;0,17;0,31;2,07;0;1,26;0
"parler";0;0;0,64;0,7;0,1;0,59;0;0;0
"fry";0;0;0;1,96;0,05;2,07;0;0;0
"penser";0;0,96;0,32;0,7;0,31;0,89;0;0;0
"suivre";0;1,92;0,64;0,26;0,1;0,59;0;0;0
"superhéros";0;0,96;0;0,04;2,36;0;2,77;0;0
"évoquer";0;0;2,72;0,57;0;0;0;0;0
"emploi";0;0;0,8;0,04;0;0;0;0;0
"tête";0;1,92;0,32;0,39;4,15;0,59;7,49;0;0
"empêcher";0;0,96;0,16;0,04;0,1;0,89;0,55;0;0
"marcher";0;0;0,56;0,17;0,05;0;0;0;0
"possible";0;0,96;0,08;0,61;0,16;0,3;0;0;0
"hassaine";0;0;0,88;0;0;0;0;0;0
"théorie";0;0,96;0;0,65;0;0;0;0;0
"fou";0;1,92;0;0,52;0,26;0;0;0;0
"expérience";0;0;0,16;0,35;0,1;0;0;0;0
"technologie";0;0;0,24;0,61;0,16;0,59;0;0;0
"observation";0;0;0,08;0,43;0;0;0;0;0
"sol";0;0;0,16;0,22;0;0,89;0;0;0
"son";0;10,58;4,56;5,17;3,1;15,99;1,11;5,04;0
"ligue";0;2,88;0,08;0,04;0,1;0;0,55;17,65;0
"corps";0;0;0,08;0,52;0,31;1,18;0,55;0;0
"minute";0;1,92;0,4;0;1,42;0;0;0;0
"cette";0;0,96;2,56;1,74;0,31;3,26;1,39;1,26;0
"solère";0;0;0;0,61;0;0;0;0;0
"égyptien";0;0;0;0,48;0;0;0;0;0
"sommaire";0;0;1,04;0,09;0;0;0;1,26;0
"nadia";0;0;1,44;0;0;0;0;0;0
"daam";0;0;1,44;0;0;0;0;0;0
"reportage";0;0;1,52;0,61;0,05;0;0;0;0
"explorer";0;0;0,24;0,43;0,05;0;0;0;0
"convaincre";0;0;0;0,17;0,21;1,48;0,28;0;0
"si";0;3,85;0,48;1,17;0,47;0,3;0,28;2,52;0
"sa";0;5,77;2,8;2,96;2,47;13,62;0,83;0;0
"se";0;2,88;2,88;6,91;5,14;11,84;2,5;3,78;0
"extraterrestre";0;6,73;1,2;11,31;13,64;5,92;9,99;2,52;0
"internet";0;0;0,96;0,52;0;0,59;0;1,26;0
"million";0;0;0,48;0,65;0,05;0;0;0;0
"city";0;0;0;0,13;6,51;0;10,82;0;0
"2";0;0;2,24;0,74;0,05;0;0;0;0
"plein";0;0,96;0,4;0,48;3,41;0;5,27;0;0
"tendance";0;0;0,24;0,35;0;0;0;0;0
"sophie";0;0;0,24;0,48;0;0;0;0;0
"aller";0;4,81;1,76;0,96;1,26;1,18;0,55;0;0
"perdre";0;2,88;0,24;0,13;0,42;0,3;0,28;0;0
"affirmer";0;0;0,4;0,7;0;0,59;0;0;0
"semaine";0;0;1,04;0,48;0,21;0;0;0;0
"comédien";0;0;0,64;0,52;0;0;0;0;0
"différent";0;0,96;0,08;0,43;0,1;0,3;0;0;0
"extra_terrestre";0;4,81;0,4;0,22;0,84;1,78;1,39;0;0
"inattendu";0;0;0;0;0,73;0;0;1,26;0
"monde";0;6,73;1,2;3;5,14;1,48;8,6;0;0
"roger";0;0,96;0;0,13;4,15;5,03;0;0;0
"visiteur";0;0;0;0,83;0;2,07;0;0;0
"naulleau";0;0;0;0,52;0;0;0;0;0
"lilia";0;0;0,88;0;0;0;0;0;0
"désert";0;1,92;0;0,83;0,37;0;0;0;0
"humoriste";0;0;0,88;0,26;0;0;0;0;0
"s";0;10,58;2,88;3,39;2,52;10,36;2,5;3,78;0
"seulement";0;1,92;0,16;0,04;0,26;0;0;0;0
"ceux";0;1,92;0,08;0,17;0,16;0;0;0;0
"former";0;0;0,16;0,09;1,42;0,3;0;0;0
"situation";0;3,85;0,16;0,13;0,31;0;0;0;0
"perquisition";0;0;0;0,87;0;0;0;0;0
"twiste";0;0;0;0;0;0;0;35,31;0
"esprit";0;0;0;0,35;0;0,3;0;1,26;0
"succès";0;0;0,64;0,26;0;0;0;0;0
"tomber";0;0,96;0,24;0,52;0,58;0,59;0;0;0
"vouloir";0;0,96;1,04;0,48;0,63;2,07;0,28;0;0
"laisser";0;0,96;0,16;0,91;1,15;0,89;0;0;0
"époque";0;0;0,16;0,3;0,84;0,3;0;0;0
"intervenir";0;1,92;0,24;0,04;3,36;0;5,27;0;0
"télé";0;0;1,04;0,17;0,1;0;0;0;0
"origine";0;0,96;0,16;1,17;0,37;0,3;1,39;0;0
"italie";0;0,96;0,72;0,13;0;0;0;0;0
"plusieurs";0;0;0,32;0,7;0,21;0,3;0;0;0
"édition";0;0;2,96;0,09;0,05;0;0;0;0
"répondre";0;0,96;0,24;0,3;1,42;0;0;0;0
"présenter";0;0,96;1,44;1;0,16;0,3;0;18,92;0
"chaîne";0;0;0,88;0,17;0;0;0;0;0
"an";0;1,92;1,44;1,74;0,73;2,07;0;1,26;0
"au";15,38;8,65;6,07;5,22;2,05;6,51;0,83;7,57;45,45
"spatial";0;0;0,64;0,13;0,21;0,59;0,83;0;0
"écrivain";0;0;0,32;0,65;0,42;0;0;0;0
"terre";0;7,69;0,72;2,96;1,99;2,37;1,11;1,26;0
"tv";0;0;0,4;0,26;0,05;0;0;2,52;0
"criminalité";0;0;0;0;2,36;0;2,77;0;0
"projet";0;0;0,56;0,13;0,05;0;0;0;0
"retourner";0;0;0,16;0,09;0,1;0,59;0,55;0;0
"sans";0;3,85;0,64;0,91;0,21;0,59;0,83;0;0
"animer";0;0;0,08;0,39;0;0;0;0;0
"christophe";0;0;0,48;2,09;0;0;0;0;0
"espace";0;0,96;1,68;0,17;1,1;0;1,39;0;0
"vie";0;0,96;2,96;3,09;0,37;0,89;0,55;0;0
"mort";15,38;0;0,32;0,39;0;0,59;0;0;0
"teen";0;0;0,08;0;4,09;0;7,21;0;0
"tester";0;0;0,16;0,35;0;0;0;0;0
"science";0;0,96;0,72;0,09;0,05;0;0;0;0
"information";0;0;0,88;0,26;0;0,89;0;0;0
"notre";0;1,92;0,16;1,35;0,89;0;0;0;0
"débat";0;0;1,2;0,83;0;0;0;0;0
"signe";0;0;0,16;0,26;0;0,89;0;0;0
"visuel";0;0;0,4;1,13;0;0;0;0;0
"boucherie";0;0;0;0,43;0;0;0;0;0
"personne";15,38;0,96;0,88;0,74;0,31;0,3;0;0;0
"recette";0;0;0,16;0,52;0;0;0;0;0
"comprendre";0;0,96;0,24;1,39;0,21;2,07;0,55;0;0
"jusqu_à";0;0;0,08;0,22;0,16;0,89;0;0;0
"jeu";0;0,96;0,8;0,26;0,26;0;0;1,26;0
"avec";61,54;0,96;7,27;8,17;7,66;6,51;14,15;6,31;0
"contre";0;0,96;0,48;0,7;2,83;3,26;2,77;0;0
"diffusion";0;0;0,48;0,13;0,05;0,3;0;0;0
"dernier";0;0;1,28;1,22;0,21;0,89;0;0;0
"leçon";0;0;0,72;0,17;0,05;0;0;0;0
"grandir";0;0;0,08;0,17;3,25;0;5,27;0;0
"plan";0;0,96;0,32;0,43;0,16;2,07;0,28;0;0
"toujours";0;1,92;0,56;0,78;0,21;2,37;0;0;0
"ahmed";0;0;0,8;0;0;0;0;0;0
"secte";0;0;0,48;0;0,47;0;0;0;0
"croire";0;0;0,16;0,78;0,16;1,18;0;1,26;0
"ses";0;1,92;1,36;3,52;11,49;6,22;17,75;2,52;22,73
"notamment";0;0;0,56;0,13;0,05;0;0;0;0
"europe";0;0;0,64;0,3;0;0;0;0;0
"incident";0;0,96;0;0,26;4,15;0;0,28;0;0
"recherche";0;0;2,32;0,61;0,37;1,78;0,83;0;0
"garçon";0;1,92;0,24;0,39;0,37;0,59;0;0;0
"environnement";0;0,96;0;1,13;0,1;0;0,55;0;0
"robin";0;0;0;0,04;6,51;0;9,99;0;0
"vol";0;0;0,08;0,04;0,05;2,07;0;0;0
"belhousse";0;0;1,2;0;0;0;0;0;0
"35";0;0;1,12;0,17;0;0;0;0;0
"consacrer";0;0;0,8;0,52;0;0;0;0;0
"témoin";0;0;0,16;0,96;0;0,59;0;0;0
