"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"pre";139,24;123,42;131,4;141,28;139,08;147,37;137,81;83,33;116,67
"ver_sup";0;11,22;6,23;11,17;12,86;11,99;15,17;5,08;0
"adj_dem";0;4,21;2,28;3,25;3,93;4,15;4,45;2,03;0
"ono";0;2,1;1,02;1,44;1,12;1,15;0;14,23;0
"pro_per";37,97;41,37;21,99;37,6;42,38;66,19;49,16;14,23;83,33
"num";0;7,71;88,74;20,24;3,84;5,77;0;8,13;0
"adv";25,32;7,71;3,06;4,72;2,99;4,84;2,62;4,07;0
"ver";88,61;91,87;64,53;85,75;89,96;131,46;92,31;54,88;50
"adj_ind";12,66;1,4;2,16;3,88;1,26;3,46;0,78;1,02;16,67
"adj_pos";0;17,53;9,05;13,05;16,93;29,06;18,83;7,11;16,67
"aux";50,63;34,36;28,88;35,97;44,82;31,83;51,26;27,44;0
"nr";50,63;84,85;151,48;103,91;81,49;78,87;84,21;181,91;83,33
"pro_ind";25,32;11,22;3,83;7,03;10,81;9,92;12,55;7,11;33,33
"adj";63,29;79,94;53,99;75,61;74,1;50,51;58,32;84,35;83,33
"pro_dem";12,66;8,42;5,03;5,96;3,42;5,3;1,31;5,08;0
"nom";202,53;215,29;246,99;228,14;227,26;194,65;226,99;222,56;266,67
"art_ind";88,61;39,97;27,8;50,42;49,12;46,36;56,75;53,86;16,67
"adj_int";0;1,4;0,12;0,37;0;0;0;0;0
"pro_pos";0;0;0,06;0,07;0,05;0;0,26;0;0
"nom_sup";0;9,12;3,24;4,25;1,78;3,23;0;2,03;0
"adv_sup";37,97;34,36;16,36;21,61;32,79;24,68;41,58;11,18;50
"adj_sup";0;2,81;0,9;1,07;0,75;0,46;0,26;0;0
"art_def";88,61;101,68;99,65;94,25;84,07;90,41;72,18;93,5;133,33
"adj_num";0;4,21;1,62;1,81;2,25;2,08;0;15,24;0
"pro_rel";12,66;16,13;9,71;14,65;23,86;17,07;25,1;20,33;0
"con";63,29;47,69;19,89;32,52;49,07;39,21;48,12;81,3;50
