"";"*typedemission_Collectiondémissionscomposites";"*typedemission_Collectiondémissionssimples";"*typedemission_Emissioncomposite";"*typedemission_Emissionsimple";"*typedemission_Emissionsimpleincluse";"*typedemission_Episodeoupartiedunprogramme";"*typedemission_Episodeoupartiedunprogrammeinclus";"*typedemission_Tranchehoraire";"*typedemission_Tranchehoraireincluse"
"devenir";0;4;10;16;13;1;1;1;0
"lors";0;0;7;7;3;5;0;0;0
"accidentellement";0;0;0;24;2;0;0;0;0
"maloney";0;0;0;0;0;0;0;14;0
"évolution";0;2;0;5;5;0;0;0;0
"substance";0;0;0;9;1;1;0;0;0
"karim";0;0;1;13;0;0;0;0;0
"vigi";0;0;0;14;0;0;0;0;0
"rythmé";0;0;0;1;62;0;19;0;0
"unir";0;0;5;19;9;0;0;0;0
"leurs";0;2;19;47;14;5;1;0;0
"sortir";0;0;2;16;5;4;0;0;0
"commentaire";0;0;15;4;2;0;0;0;0
"machine";0;2;0;6;0;2;0;0;0
"zorbb";0;0;0;0;11;0;0;0;0
"réalisateur";0;0;2;7;0;1;0;0;0
"sentir";0;0;0;17;0;2;0;0;0
"peur";0;0;0;5;5;2;0;0;0
"député";0;0;5;27;0;0;0;0;0
"espèce";0;0;1;6;0;3;0;0;0
"toute";0;0;3;16;1;3;0;0;1
"affaire";0;0;7;14;3;1;0;0;0
"chronique";0;0;10;24;0;0;0;0;0
"vigier";0;0;0;14;0;0;0;0;0
"ambre";0;0;48;3;1;0;0;0;0
"rick";0;0;0;0;13;0;0;0;0
"guerre";0;0;4;6;4;2;0;0;0
"souvenir";0;0;1;4;2;9;0;0;0
"demander";0;0;3;4;6;7;0;1;0
"parler";0;0;8;16;2;2;0;0;0
"fry";0;0;0;45;1;7;0;0;0
"penser";0;1;4;16;6;3;0;0;0
"suivre";0;2;8;6;2;2;0;0;0
"superhéros";0;1;0;1;45;0;10;0;0
"évoquer";0;0;34;13;0;0;0;0;0
"emploi";0;0;10;1;0;0;0;0;0
"tête";0;2;4;9;79;2;27;0;0
"empêcher";0;1;2;1;2;3;2;0;0
"marcher";0;0;7;4;1;0;0;0;0
"possible";0;1;1;14;3;1;0;0;0
"hassaine";0;0;11;0;0;0;0;0;0
"théorie";0;1;0;15;0;0;0;0;0
"fou";0;2;0;12;5;0;0;0;0
"expérience";0;0;2;8;2;0;0;0;0
"technologie";0;0;3;14;3;2;0;0;0
"observation";0;0;1;10;0;0;0;0;0
"sol";0;0;2;5;0;3;0;0;0
"son";0;11;57;119;59;54;4;4;0
"ligue";0;3;1;1;2;0;2;14;0
"corps";0;0;1;12;6;4;2;0;0
"minute";0;2;5;0;27;0;0;0;0
"cette";0;1;32;40;6;11;5;1;0
"solère";0;0;0;14;0;0;0;0;0
"égyptien";0;0;0;11;0;0;0;0;0
"sommaire";0;0;13;2;0;0;0;1;0
"nadia";0;0;18;0;0;0;0;0;0
"daam";0;0;18;0;0;0;0;0;0
"reportage";0;0;19;14;1;0;0;0;0
"explorer";0;0;3;10;1;0;0;0;0
"convaincre";0;0;0;4;4;5;1;0;0
"si";0;4;6;27;9;1;1;2;0
"sa";0;6;35;68;47;46;3;0;0
"se";0;3;36;159;98;40;9;3;0
"extraterrestre";0;7;15;260;260;20;36;2;0
"internet";0;0;12;12;0;2;0;1;0
"million";0;0;6;15;1;0;0;0;0
"city";0;0;0;3;124;0;39;0;0
"2";0;0;28;17;1;0;0;0;0
"plein";0;1;5;11;65;0;19;0;0
"tendance";0;0;3;8;0;0;0;0;0
"sophie";0;0;3;11;0;0;0;0;0
"aller";0;5;22;22;24;4;2;0;0
"perdre";0;3;3;3;8;1;1;0;0
"affirmer";0;0;5;16;0;2;0;0;0
"semaine";0;0;13;11;4;0;0;0;0
"comédien";0;0;8;12;0;0;0;0;0
"différent";0;1;1;10;2;1;0;0;0
"extra_terrestre";0;5;5;5;16;6;5;0;0
"inattendu";0;0;0;0;14;0;0;1;0
"monde";0;7;15;69;98;5;31;0;0
"roger";0;1;0;3;79;17;0;0;0
"visiteur";0;0;0;19;0;7;0;0;0
"naulleau";0;0;0;12;0;0;0;0;0
"lilia";0;0;11;0;0;0;0;0;0
"désert";0;2;0;19;7;0;0;0;0
"humoriste";0;0;11;6;0;0;0;0;0
"s";0;11;36;78;48;35;9;3;0
"seulement";0;2;2;1;5;0;0;0;0
"ceux";0;2;1;4;3;0;0;0;0
"former";0;0;2;2;27;1;0;0;0
"situation";0;4;2;3;6;0;0;0;0
"perquisition";0;0;0;20;0;0;0;0;0
"twiste";0;0;0;0;0;0;0;28;0
"esprit";0;0;0;8;0;1;0;1;0
"succès";0;0;8;6;0;0;0;0;0
"tomber";0;1;3;12;11;2;0;0;0
"vouloir";0;1;13;11;12;7;1;0;0
"laisser";0;1;2;21;22;3;0;0;0
"époque";0;0;2;7;16;1;0;0;0
"intervenir";0;2;3;1;64;0;19;0;0
"télé";0;0;13;4;2;0;0;0;0
"origine";0;1;2;27;7;1;5;0;0
"italie";0;1;9;3;0;0;0;0;0
"plusieurs";0;0;4;16;4;1;0;0;0
"édition";0;0;37;2;1;0;0;0;0
"répondre";0;1;3;7;27;0;0;0;0
"présenter";0;1;18;23;3;1;0;15;0
"chaîne";0;0;11;4;0;0;0;0;0
"an";0;2;18;40;14;7;0;1;0
"au";1;9;76;120;39;22;3;6;2
"spatial";0;0;8;3;4;2;3;0;0
"écrivain";0;0;4;15;8;0;0;0;0
"terre";0;8;9;68;38;8;4;1;0
"tv";0;0;5;6;1;0;0;2;0
"criminalité";0;0;0;0;45;0;10;0;0
"projet";0;0;7;3;1;0;0;0;0
"retourner";0;0;2;2;2;2;2;0;0
"sans";0;4;8;21;4;2;3;0;0
"animer";0;0;1;9;0;0;0;0;0
"christophe";0;0;6;48;0;0;0;0;0
"espace";0;1;21;4;21;0;5;0;0
"vie";0;1;37;71;7;3;2;0;0
"mort";1;0;4;9;0;2;0;0;0
"teen";0;0;1;0;78;0;26;0;0
"tester";0;0;2;8;0;0;0;0;0
"science";0;1;9;2;1;0;0;0;0
"information";0;0;11;6;0;3;0;0;0
