"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"devenir";-0,0205;2,1694;0,3752;-0,3135;-0,3286;-0,5379;-0,5918;0,3573;-0,0139
"lors";-0,0098;-0,1578;0,9027;-0,3708;-1,1686;2,2815;-0,5586;-0,1201;-0,0066
"accidentellement";-0,0116;-0,1865;-2,4787;8,4469;-2,1736;-0,6175;-0,6602;-0,142;-0,0078
"maloney";-0,0062;-0,1004;-1,3345;-2,7349;-2,1703;-0,3325;-0,3555;26,6975;-0,0042
"évolution";-0,0053;1,7995;-1,1439;0,3445;0,5579;-0,285;-0,3047;-0,0655;-0,0036
"substance";-0,0049;-0,0789;-1,0485;2,5709;-0,9478;0,3449;-0,2793;-0,06;-0,0033
"karim";-0,0062;-0,1004;-0,6875;4,7662;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"vigi";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"rythmé";-0,0365;-0,5886;-7,8213;-14,3514;16,6709;-1,9483;6,8975;-0,4479;-0,0247
"unir";-0,0147;-0,2368;-0,463;1,9988;-0,3478;-0,7838;-0,838;-0,1802;-0,0099
"leurs";-0,0392;0,3729;0,4332;3,1352;-2,7507;0,2962;-1,436;-0,4807;-0,0265
"sortir";-0,012;-0,1937;-1,1148;1,9077;-0,8685;1,277;-0,6856;-0,1474;-0,0081
"commentaire";-0,0093;-0,1507;6,3799;-1,1257;-1,5683;-0,4987;-0,5332;-0,1146;-0,0063
"machine";-0,0044;1,9564;-0,9532;0,9583;-1,5501;1,0183;-0,2539;-0,0546;-0,003
"zorbb";-0,0049;-0,0789;-1,0485;-2,1488;5,75;-0,2612;-0,2793;-0,06;-0,0033
"réalisateur";-0,0044;-0,0717;0,2109;1,5003;-1,5501;0,3755;-0,2539;-0,0546;-0,003
"sentir";-0,0085;-0,1363;-1,8113;5,6293;-2,9455;0,5714;-0,4824;-0,1037;-0,0057
"peur";-0,0053;-0,0861;-1,1439;0,3445;0,5579;0,8821;-0,3047;-0,0655;-0,0036
"député";-0,0142;-0,2296;-0,425;7,5387;-4,9614;-0,76;-0,8126;-0,1747;-0,0096
"espèce";-0,0044;-0,0717;-0,4148;0,9583;-1,5501;1,866;-0,2539;-0,0546;-0,003
"toute";-0,0107;-0,1722;-0,5598;2,6267;-2,6678;0,8763;-0,6094;-0,131;1,7824
"affaire";-0,0111;-0,1794;0,6806;1,4641;-1,4802;-0,2125;-0,6348;-0,1365;-0,0075
"chronique";-0,0151;-0,2439;0,9346;4,3149;-5,2716;-0,8075;-0,8634;-0,1856;-0,0102
"vigier";-0,0062;-0,1004;-1,3345;6,1756;-2,1703;-0,3325;-0,3555;-0,0764;-0,0042
"ambre";-0,0231;-0,3731;28,83;-6,5067;-6,696;-1,2352;-1,3207;-0,284;-0,0157
"rick";-0,0058;-0,0933;-1,2392;-2,5395;6,7957;-0,3087;-0,3301;-0,071;-0,0039
