"";"X.typedemission_Collectiondémissionscomposites";"X.typedemission_Collectiondémissionssimples";"X.typedemission_Emissioncomposite";"X.typedemission_Emissionsimple";"X.typedemission_Emissionsimpleincluse";"X.typedemission_Episodeoupartiedunprogramme";"X.typedemission_Episodeoupartiedunprogrammeinclus";"X.typedemission_Tranchehoraire";"X.typedemission_Tranchehoraireincluse"
"pre";0,273;-1,2195;-2,3978;1,946;0,6064;1,5115;0,3026;-7,113;-0,3932
"ver_sup";-0,3703;0,3344;-10,9918;0,7435;3,5584;0,6531;2,2435;-1,3289;-0,2812
"adj_dem";-0,1145;0,4689;-2,4392;-0,3994;1,345;0,6997;0,8531;-0,4414;-0,087
"ono";-0,0463;0,5202;-0,937;0,4869;-0,7596;-0,3305;-2,2956;10,1164;-0,0351
"pro_per";0,2416;0,6215;-36,0087;0,3214;5,0608;20,0868;3,9442;-5,0051;1,1283
"num";-0,9791;-7,4681;Inf;-26,1904;-192,5908;-27,365;-48,576;-5,0749;-0,7435
"adv";1,4232;1,6171;-1,5043;2,7697;-2,0736;0,7657;-0,91;0,277;-0,1009
"ver";0,2915;0,7367;-27,4848;0,5782;2,9587;25,6786;1,2937;-3,6902;-0,6212
"adj_ind";0,7354;-0,5391;-0,8669;7,7746;-5,7492;0,8255;-1,9857;-0,5536;0,8446
"adj_pos";-0,4984;0,7305;-11,4814;-2,21;3,6883;12,9928;1,86;-1,5682;0,2353
"aux";0,4693;-0,5067;-10,6345;-1,1368;11,0344;-1,567;5,3341;-1,2525;-0,9891
"nr";-1,1645;-2,4069;93,9101;-1,2369;-44,2832;-9,5571;-5,7209;12,2381;-0,4238
"pro_ind";0,8865;0,9738;-12,5376;-1,842;7,4014;1,1045;2,8855;-0,3178;1,0857
"adj";-0,2671;1,2954;-17,4087;9,192;3,9818;-6,5647;-2,3183;1,5077;0,4043
"pro_dem";0,4966;1,3258;0,438;3,5145;-3,768;0,4473;-3,7795;0,2851;-0,1266
"nom";-0,4722;-0,9969;8,8371;-0,6778;-0,7876;-8,2863;-0,4563;-0,5069;0,5344
"art_ind";1,1782;-0,7316;-37,3559;7,5851;3,1259;0,4366;3,4231;0,958;-0,6214
"adj_int";-0,0065;1,5303;-0,4512;2,2263;-2,0659;-0,3694;-0,3247;-0,082;-0,005
"pro_pos";-0,0022;-0,0397;-0,1474;0,2023;-0,2313;-0,1231;0,6565;-0,0273;-0,0017
"nom_sup";-0,1084;3,1688;0,3571;4,81;-5,186;0,299;-5,3759;-0,3992;-0,0823
"adv_sup";0,5052;1,815;-16,1423;-5,5396;17,1133;-0,2994;9,6591;-2,7661;0,7289
"adj_sup";-0,0306;1,4149;0,276;0,942;-0,5975;-0,6;-0,8548;-0,3828;-0,0232
"art_def";-0,2493;1,0089;4,6221;1,7297;-5,3291;-0,3847;-5,167;0,3673;0,7448
"adj_num";-0,0695;1,1517;-0,954;-0,7779;0,6573;0,2874;-3,4447;8,7038;-0,0527
"pro_rel";-0,2109;-0,3267;-17,1509;-4,0003;18,9909;0,3298;4,1017;0,6455;-0,4425
"con";0,7939;1,8048;-42,1729;-5,5841;28,9018;0,7837;4,0839;10,4413;0,4273
