"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"devenir";0,167796452769261;0,105007769828351;0,372811854828777;0,370570494225305;0,298736027008276;0,186950340402355;0,663734724394231;0,659744323222313;0,443196496518361;0,139470189199418;0,269835496961476;0,147497817320662;2,03994310891409e-05;7,98905432853834e-06;0,000100700570777133;9,94933784022332e-05;0,000724523547015278;0,153319517780473;1,70312841154841e-05
"lors";0,167957995432683;0,112302201962028;0,374059090716202;0,371566043026537;0,297467378671893;0,198896405917843;0,662489314051963;0,658073922219986;0,433852301394887;0,155856470212237;0,265405460196485;0,144885768196259;9,77504396054232e-06;4,37012538102764e-06;4,84839261874863e-05;4,78398036741025e-05;0,000346511261616002;0,155110985925492;8,33685926925685e-06
"accidentellement";0,123372220319665;-1,90096106692141;0,0298219857887137;0,0967945738838546;0,0646723233256445;-0,996493120014053;0,0156328312981902;0,0507401906374449;0,00521313051722326;0,994530333636804;3,75686716956192e-05;0,000218967174278661;6,23308116887227e-06;0,00147983898923808;3,6420100403116e-07;3,83680781016352e-06;0,000409513309182548;1,03939568627191;0,000442414997773774
"maloney";-16,7229193533672;0,424664533817287;1,00914972118224;0,840722766386711;-0,996610380981368;0,0253080860999131;0,0601407605240987;0,0501032755587415;0,998861527252597;0,000517583987306045;0,000448622643292791;0,000172266116805178;0,0616661591398511;3,97662549685235e-05;0,000224560784953075;0,000155857722143533;0,000220507166482911;10,178230475765;0,0228437432453787
"évolution";0,157430798531019;-0,363051625413228;0,292780885386071;0,306689446145624;0,27144451426559;-0,625978989074426;0,504817138459809;0,528798484897345;0,167817589251175;0,717137784184018;0,071586710520986;0,0434579160438204;4,68441448910648e-06;2,4912234880804e-05;1,62017288103547e-05;1,77776184678739e-05;0,000189006142699638;0,233767314475138;1,0328648413971e-05
"substance";0,190250882989234;1,11893383640375;0,546177643179974;0,508951777597906;0,140043753651077;0,823647659738052;0,402041589029315;0,374639613978728;0,0330037383352188;0,917331569502707;0,0335479893807116;0,0161167027813611;6,27105659568459e-06;0,0002169182900101;5,16838903292793e-05;4,4878737299114e-05;0,000173255630808001;0,63702714936704;7,03077568016643e-05
"karim";0,205112808026916;1,79002159269823;0,660923344822496;0,600542267312146;0,102000495745944;0,890159379160775;0,328670400792892;0,298643510229716;0,0156094557143262;0,955270775826679;0,019989101318903;0,00913066714009031;9,27701521867398e-06;0,000706544057844739;9,63218671954479e-05;7,95261333689997e-05;0,000220507166482911;0,998646372130683;0,000219910601228175
"vigi";0,205112808026916;1,79002159269823;0,660923344822496;0,600542267312146;0,102000495745944;0,890159379160775;0,328670400792892;0,298643510229716;0,0156094557143262;0,955270775826679;0,019989101318903;0,00913066714009031;9,27701521867398e-06;0,000706544057844739;9,63218671954479e-05;7,95261333689997e-05;0,000220507166482911;0,998646372130683;0,000219910601228175
"rythmé";0,124369056755118;-1,85594908326751;0,0375183438256231;0,102937838437827;0,0667453978483538;-0,996036017165339;0,0201350468564159;0,0552438617727123;0,005555519626367;0,994122429870662;6,23557071640873e-05;0,00025969479580492;1,99771350891311e-05;0,00444877703534233;1,81800822366119e-06;1,36854352456242e-05;0,00129154197511419;1,01499248287232;0,00133055912275255
"unir";0,182819920470393;0,783389958256507;0,488804792358713;0,463156532740785;0,174267043283585;0,746740570787644;0,465937003407651;0,441488648121828;0,0585690413317383;0,864141450191933;0,0516393634476027;0,0256501450287253;1,73722329435568e-05;0,000318980851803518;0,0001241879685948;0,000111497261554188;0,000519766892424004;0,459517744279476;0,000109752187606773
"leurs";0,175388957951552;0,447846080109268;0,431431941537452;0,417361287883665;0,228018095099477;0,58223169392734;0,560892148647197;0,542599300109792;0,135651372881927;0,71069785567444;0,101235579766836;0,0524151916767956;4,26365288750533e-05;0,000277993665290484;0,000257989443624701;0,000241435802912336;0,00138604504646401;0,289669639904481;0,000116300961172633
