"";"banalfreq";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"devenir";46;0,478;-0,3673;-0,192;-0,0691;-0,1127
"lors";22;0,3784;-0,3113;-0,0918;-0,033;-0,0539
"évolution";12;-0,4141;0,4736;-0,0501;-0,018;-0,0294
"substance";11;1,4811;-1,3647;-0,0459;-0,0165;-0,0269
"sortir";27;0,2986;-0,3685;-0,1127;-0,0405;0,85
"réalisateur";10;1,2584;-1,1573;-0,0417;-0,015;-0,0245
"sentir";19;1,4923;-1,3397;-0,0793;-0,0285;-0,0465
"peur";12;0,7097;-0,6321;-0,0501;-0,018;-0,0294
"espèce";10;-0,4256;0,4809;-0,0417;-0,015;-0,0245
"toute";24;0,5641;-0,6921;0,6863;-0,036;-0,0588
"affaire";25;1,6581;-1,4725;-0,1043;-0,0375;-0,0612
"guerre";16;-1,4209;1,5662;-0,0668;-0,024;-0,0392
"demander";21;-1,4131;1,5797;-0,0876;-0,0315;-0,0514
"penser";30;0,5304;-0,4325;-0,1252;-0,045;-0,0735
"suivre";20;0,8766;-0,7637;-0,0835;-0,03;-0,049
"empêcher";11;-0,9493;1,0445;-0,0459;-0,0165;-0,0269
"possible";20;1,6782;-1,5105;-0,0835;-0,03;-0,049
"fou";19;0,7419;-0,6429;-0,0793;-0,0285;-0,0465
"expérience";12;1,1329;-1,0291;-0,0501;-0,018;-0,0294
"sol";10;0,762;-0,6875;-0,0417;-0,015;-0,0245
"corps";25;-0,9454;1,0898;-0,1043;-0,0375;-0,0612
"cette";96;1,5739;-1,4196;-0,4008;0,549;-0,2353
"tendance";11;0,9426;-0,8535;-0,0459;-0,0165;-0,0269
"aller";79;-0,6091;0,8127;-0,3298;-0,1186;-0,1936
"perdre";19;-1,5038;1,6677;-0,0793;-0,0285;-0,0465
"différent";15;1,7497;-1,6007;-0,0626;-0,0225;-0,0367
"extra_terrestre";42;-1,6718;1,9344;-0,1753;-0,063;-0,1029
"visiteur";26;1,8322;-1,6316;-0,1085;-0,039;-0,0637
"désert";28;1,0287;-0,8822;-0,1168;-0,042;-0,0686
"seulement";10;-1,266;1,3731;-0,0417;-0,015;-0,0245
"ceux";10;-0,2066;0,2405;-0,0417;-0,015;-0,0245
"situation";15;-1,2321;1,3618;-0,0626;-0,0225;-0,0367
"esprit";10;1,9643;-1,8349;-0,0417;-0,015;-0,0245
"vouloir";45;-0,7372;0,9063;-0,1878;-0,0676;-0,1102
"laisser";49;-1,1263;1,1052;-0,2045;-0,0736;0,6171
"époque";26;-0,7913;0,9237;-0,1085;-0,039;-0,0637
"origine";43;0,5621;-0,442;-0,1795;-0,0645;-0,1053
"plusieurs";25;0,9354;-0,8047;-0,1043;-0,0375;-0,0612
