"";"X.genre_Cultureconnaissance";"X.genre_Fiction";"X.genre_Jeunesse";"X.genre_Sport";"X.genre_Variétésdivertissement"
"pre";-1,7984;3,4039;-10,193;-0,3265;-0,5663
"ver_sup";-4,6311;5,2756;-1,5674;-0,4797;0,5654
"adj_dem";-0,303;0,5053;-0,9588;-0,1478;-0,7093
"ono";-0,8539;-1,3169;13,715;-0,1878;0,8515
"pro_per";-35,6926;41,517;-2,8649;-4,1971;-0,4648
"num";Inf;-Inf;-8,198;-1,2814;-2,2207
"adv";-1,1954;1,3688;-1,1128;0,4548;0,2491
"ver";-39,8854;44,8137;-4,5546;-1,4557;0,6012
"adj_ind";5,5428;-5,6805;0,2963;0,7015;-0,5466
"adj_pos";-22,2002;21,9521;-1,0652;-2,0221;3,0572
"aux";-12,6673;16,2698;-1,3767;-2,6747;-2,2539
"nr";46,0659;-54,7082;12,1821;-0,6762;-0,4964
"pro_ind";-5,4751;5,9226;-0,977;0,6035;-0,3381
"adj";-1,669;1,4373;1,2318;0,358;-0,5175
"pro_dem";3,3363;-2,5848;-1,3954;-0,6761;-0,2375
"nom";15,7804;-18,9154;0,342;3,5942;1,4994
"art_ind";-18,5779;19,0695;0,3599;0,3184;-0,7991
"adj_int";0,6785;-0,5948;-0,0548;-0,0266;-0,0405
"pro_pos";-0,3505;0,3855;-0,0183;-0,0089;-0,0135
"nom_sup";4,0962;-3,7698;-0,9075;-0,1352;0,3412
"adv_sup";-20,9204;24,1954;-3,0281;-0,4987;-0,6405
"adj_sup";-0,2633;-0,521;-0,2559;-0,124;3,0129
"art_def";21,2432;-25,1335;0,7027;3,5833;0,8514
"adj_num";-2,3761;0,5441;9,9961;-0,2818;0,5864
"pro_rel";-20,1946;19,6639;1,023;-1,0299;0,359
"con";-33,4952;25,975;11,6853;0,5546;-0,5216
