"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"classe 1";0,0235733122747508;-0,557762715303178;0,250154790869724;-0,66936936969565;0,266989376629657;-0,553983178570572;0,0215151927561745;-0,509066023140439;0,228314480447763;-0,610928614792345;0,243679285926681;-0,505616467117795;5,23109248577851e-05;0,0230744918656579;0,00404767180770634;0,0214062410163563;0,00192121314260623;0,00664505916375982;2,1531337012808e-06;0,00120539320616261;0,000242464091529194;0,00173604688705845;0,000276196227742021;0,00118911247576362;0,00387462592534257;2,22316738722441;0,0191502349185397
"classe 2";0,793125383397803;-0,262030994586459;0,543933151935567;0,686593555350895;0,862686905144003;1,41540457276306;0,386427230301069;-0,127666966170333;0,265015577323879;0,334522701568531;0,420319054653927;0,689614631251774;0,0976482754229716;0,00839785199460762;0,0315579221099173;0,0371396566850749;0,0330768159676767;0,0715313767917145;0,0225502120136374;0,00246134369308794;0,0106061554750496;0,0168992089546006;0,0266792331515923;0,071817142196667;0,0358481650653646;1,73124014181005;0,107443848913633
"classe 3";2,89489303556612;2,76620848251836;-1,60655791372839;-0,959228607472304;-0,0671183839881791;-0,165668942716046;0,654467373047407;0,625374815792187;-0,363205038848949;-0,216859075334213;-0,015173891370857;-0,037453859746396;0,502834113402875;0,361752478218403;0,106411588115689;0,0280195719412282;7,73889723798404e-05;0,000378788171302603;0,406546692661793;0,37120618767948;0,125209753613215;0,0446364486673686;0,000218538708538175;0,00133145836554433;0,0485115766262404;2,78463262788203;0,376167442535466
"classe 4";0,121585474297357;-0,583203271335124;0,284815208639875;-0,617518544432784;0,337460855908875;-1,99263416958255;0,0549164718714754;-0,263415233034329;0,128642393215388;-0,278914401341399;0,152420835698846;-0,900012431225098;0,00735974430154866;0,133420096076309;0,0277499467679397;0,0963511513514769;0,0162323931644076;0,454683299270821;0,00169810395331401;0,03906976412334;0,00931809725166628;0,043802701382504;0,0130812032583333;0,456095758073956;0,114868483225705;0,966714166953799;0,10734876507067
"classe 5";0,0976902237567288;-0,47192210450365;0,327177205508513;-0,828916675986569;-0,963120404330674;-0,416563293519395;0,0669751216046907;-0,323543535080668;0,224308352284905;-0,568294277967937;-0,660302573987734;-0,285590268571682;0,000324229187329924;0,00596173332539709;0,00249892049568756;0,0118475680908303;0,00902292760831091;0,00135602099128653;1,21753625016352e-05;0,000284132119865357;0,000136566999970911;0,000876599957694414;0,00118342532638659;0,000221381684960242;0,00127579146322255;3,70060561359665;0,017471303110695
"classe 6";0,326271022548152;-0,465442798931844;0,445768224007109;-0,410447700807185;0,722208645189487;1,64156892977252;0,165074129403507;-0,235486940337972;0,225532751633992;-0,207662624609631;0,365395499794182;0,830538243395651;0,000667277647983998;0,00106995178407413;0,000855862989194114;0,000535948160323716;0,000936076497546932;0,00388528009416559;9,38944036644912e-05;0,000191080043287769;0,000175267307196871;0,00014859300118889;0,00046005321030777;0,0023768454696313;0,000882028665931643;8,61535084800605;0,0654679340544552
"classe 7";0,674793490862961;-0,374153168005259;0,559363956386454;0,703303817708529;1,21586851052093;2,54594266134136;0,220527562061761;-0,122276054963667;0,182804326475309;0,229844950207869;0,397354927164374;0,832033112140175;0,0930922401717494;0,0225503129021312;0,0439538712146915;0,0513233767495055;0,0865329162556685;0,304805967531557;0,0223477544739194;0,00687054163156413;0,0153561052016793;0,0242760527038993;0,0725546654256547;0,318118817019294;0,0490785950543393;1,50855759904579;0,111690417835162
"classe 8";0,218976714854778;-0,42602472926585;0,371403225330117;-0,388779064882731;0,799610599334718;0,350361350077207;0,193499447444008;-0,376458062059681;0,328191602143455;-0,343545816195557;0,706578364938257;0,309597884371572;0,0290631278763191;0,0866758492863259;0,0574479168424719;0,0464953780248175;0,110953235623031;0,0171132848651107;0,00418483843022275;0,0158399002137504;0,012038549557538;0,0131913293859495;0,0558007334959781;0,010713101150643;0,0872735863915577;0,876142025657828;0,0669933735863126
"classe 9";-0,0135420058607476;-0,526137908496729;0,285230559080365;-0,678764011724505;0,431553387044117;-0,0147227964660907;-0,0135046723000922;-0,524687414255188;0,284444215278148;-0,676892747034255;0,43036365010877;-0,0146822076182837;4,87911800657437e-05;0,058030528023899;0,0148731821349977;0,0622114757643346;0,0141866806522176;1,32650979275604e-05;6,19277710408765e-06;0,0093479986727938;0,00274733462924224;0,0155581183062666;0,00628910018370879;7,31981441985293e-06;0,0337690974956686;1,32239162225125;0,0590526827527964
"classe 10";-1,31915264044826;1,01606180831208;-0,224618031367337;0,356611613789404;0,0216717382168577;0,0230143753174126;-0,76788813699;0,591456807292842;-0,130751754082389;0,20758615746597;0,0126152729975379;0,0133968316058339;0,655688471627436;0,306499455601235;0,0130627056760584;0,0243195744914759;5,06677179315913e-05;4,59050373325392e-05;0,439604432267905;0,260802779261312;0,0127456266716964;0,0321264638732434;0,000118647735118861;0,000133804383956378;0,252622460229957;1,1112045984427;0,31193206496027
"classe 11";0,254762908439849;-0,400950612571044;0,342681781363932;-0,291336624915048;0,521997092739065;0,384544775045331;0,2766011859229;-0,435320100609736;0,37205646496933;-0,316310001513834;0,566742685519394;0,417507954628751;0,0274295700066038;0,0535316182902569;0,0341008415928218;0,0182051529985157;0,0329700175129349;0,0143745728854203;0,00260781949767177;0,00645932139521996;0,00471831751715405;0,00341032132654103;0,0109481641404366;0,00594153912303366;0,0401795558355647;1,04923906392071;0,0442337780188872
"classe 12";-0,195920680151607;-0,592221962952573;-0,203793423947137;-0,507924379182808;0,176675987506181;-0,688934777441098;-0,179263356313646;-0,541870805467713;-0,18646675350016;-0,464740265781932;0,16165486193636;-0,630361023602605;0,000545577572758595;0,00392777838206267;0,000405613820506489;0,00186102251514711;0,000127024475686488;0,00155169615278928;3,14382654177912e-05;0,000287254628712816;3,40156166560573e-05;0,000211298363495803;2,55654282121088e-05;0,000388735527382681;0,000819026618365097;5,7213666213917;0,0268100468239329
"classe 13";0,0045781954668545;-0,565474413506204;0,299898449874913;-0,730800428949004;0,138650864929767;-0,379217332123923;0,00435166785839004;-0,537494925197591;0,285059573045777;-0,694640663680537;0,1317904656586;-0,360453783045202;3,87645835170759e-06;0,0465966167363516;0,0114296087673814;0,0501304505905222;0,00101795371802536;0,00611754727288446;3,06359471160351e-07;0,00467378323897326;0,00131459232099991;0,00780621010759963;0,000280988027356699;0,00210193366615839;0,0146164750354387;1,58607793235408;0,0367698361405031
"classe 14";0,10868694567327;-0,60349748060782;0,351823726562053;-0,595803706258654;0,662427930545459;-0,366351848186755;0,090958314491313;-0,505057100425459;0,294435481353371;-0,498618307408123;0,554375023248095;-0,30659382702701;0,000442921302640402;0,0107598131463512;0,00318902931306197;0,00675516188938621;0,00471070033040939;0,00115750557144359;8,37263107875722e-06;0,000258141666553779;8,77318799140095e-05;0,00025160170952307;0,000311017236454612;9,51270349683933e-05;0,000708773035123642;3,5225880131436;0,00879489973169687
"classe 15";0,0255569328341194;-0,555454957854624;0,278961498036116;-0,613952415566633;0,555286053715159;-0,120130072031741;0,0245160807360299;-0,53283305474795;0,267600288833052;-0,588948098185616;0,532671029533632;-0,115237558586193;0,000221742844467063;0,0825300014969751;0,0181533652899002;0,0649470062041234;0,029971059070139;0,00112691236102758;1,6861301326822e-05;0,00796473483267376;0,00200891776652326;0,00973067687671742;0,00795989169597511;0,000372543595278148;0,0258150889903922;1,17066242057237;0,0353783016903331
"classe 16";1,19024667802802;-0,232034869317349;0,80410305367229;2,98830097268518;-1,05036934427098;-0,918690491737504;0,330187177331761;-0,0643689580964627;0,223066799913936;0,82898669780236;-0,291383706707966;-0,25485458259031;0,200475146170836;0,00600309335850826;0,0628704354240236;0,641346628220709;0,0446999528790946;0,0274713209252472;0,0969523655150265;0,00368460520737554;0,0442494499514816;0,611129328178627;0,0755037513706814;0,0577594297401269;0,0684359741691605;1,81323653649594;0,225005625665428
"classe 17";-0,220604526927604;-2,75750385889349;-5,13386776115994;0,969475854034741;-0,103873000125594;0,253122462382884;-0,0372762799152033;-0,465944589365111;-0,867486693849391;0,163815556323055;-0,0175517659689018;0,04277094351607;0,00197443235374238;0,243067941594112;0,734749394687235;0,0193528519023729;0,000125330039265108;0,000597901039626075;0,00134984178936803;0,210904713868668;0,731043777145461;0,0260692191364121;0,000299267378691392;0,00177711446645843;0,0277366514411718;3,3864217398912;0,318079819261585
