"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"devenir";0;0;0,32;0,82;0;0;1,93;1,8;0;0,12;0,78;0;3,23;0;0,61;0,23;0;3,65;0;0;0,4;1,88;0;0
"lors";0;0,44;0,32;0,14;0;0;0,96;0,54;0,47;0,06;0,78;0;0;0;0;0,46;1,14;0;0;0;0;0,75;10,2;0
"accidentellement";0;0;0;0,14;0;0;0;0;0,47;0;0;0;0;0;0;0;13,63;0;0;0;0;0;0;0
"maloney";0;0;0;1,92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"évolution";0;0;0;0;12,35;0;0;0,18;2,8;0;0;0;0;0;0;0;0;0;6,41;0;0,4;0;0;0
"substance";0;0;0;0;0;0;0;0,18;0;0;0;0;0;0;0;0;0,57;0;0;0;1,81;0;0;0
"karim";0;0;4,22;0;0;0;0;0;0;0;0,39;0;0;0;0;0;0;0;0;0;0;0;0;0
"vigi";0;0;4,55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"rythmé";0;0,44;0;0;0;0;0;0;0;5,05;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"unir";0;0,88;0;0,41;0;0;0;0,36;0;0,06;0;0;5,39;0;0,61;0,46;0;0;0;0,99;3,22;0;0;0
"leurs";0;0,88;0,32;2,88;0;0;2,25;2,89;1,87;0,19;1,96;0;3,23;0;1,22;0,69;0;3,65;3,21;1,98;1,81;1,32;0;0
"sortir";0;2,2;0;0,55;0;0;0;0,36;1,4;0,12;0,78;0;0;0;0,61;0;0;0;0;0;0,2;1,32;0;0
"commentaire";0;1,32;1,3;0,69;0;0;0;0;0;0;0;0;0;0;0;2,07;0;0;0;0;0;0;0;0
"machine";0;0;0;0,14;0;0;0;0;0;0;0;0;2,16;0;1,83;0;0;0;0;0,99;0,2;0,38;0;0
