"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"pre";193,64;134,78;102,87;137,84;173,55;55,56;141,12;152,8;139,52;136,95;151,74;129,03;117,51;205,88;130,71;123,75;196,97;144,22;126,37;112,45;137,86;133,33;169,12;118,28
"ver_sup";11,56;3,02;5,97;10,26;8,26;0;9,77;10,35;12,71;12,69;13,82;0;11,52;14,71;13,88;3,76;3,13;16,33;21,98;14,46;15,54;12,26;7,35;0
"adj_dem";0;2,12;0,85;3,83;0;0;1,43;3,62;2,75;5,13;3,46;0;3,84;0;0,9;1,07;0;5,44;5,49;5,62;4,58;3,1;0;10,75
"ono";0;0;0;2,9;0;0;1,19;1,55;4,81;0,06;2,88;0;2,3;14,71;2,69;0,54;0;1,36;0;0;1,14;2,11;0;0
"pro_per";43,35;14,2;15,91;35,86;41,32;0;31,7;43,86;49,14;43,39;30,81;32,26;41,47;44,12;40,73;18,06;55,38;63,95;54,95;34,54;36,96;49,33;29,41;43,01
"num";0;59,53;80,14;13,06;0;0;126,82;13,07;8,25;1,83;20,44;0;4,61;14,71;4,03;117,85;22,99;4,08;0;2,41;5,4;11,98;0;64,52
"adv";0;3,93;1,14;4,87;16,53;0;2,62;4,53;9,28;0,43;5,18;0;11,52;0;4,48;3,4;13,06;10,88;5,49;8,84;2,94;4,51;0;0
"ver";130,06;48,35;25,86;96,49;82,64;111,11;78,19;92,64;106,53;79,82;76,88;161,29;121,35;132,35;112,8;56,51;118,6;102,04;115,38;84,34;83,07;110,64;73,53;107,53
"adj_ind";0;1,51;2,84;3,21;8,26;0;3,1;3,36;3,09;0,37;1,15;0;1,54;0;2,24;1,79;1,04;2,72;10,99;9,64;5,4;3,52;7,35;10,75
"adj_pos";23,12;7,56;2,27;14,72;0;0;11,44;21,22;24,4;15,87;17,56;0;15,36;14,71;23,72;5,36;6,27;28,57;8,24;4,82;7,03;21,99;7,35;10,75
"aux";26,01;19,34;20,18;25,7;16,53;0;34,33;32,6;34,71;54,31;31,1;32,26;25,35;14,71;34,91;26,11;55,38;39,46;46,7;63,45;55,11;28,89;29,41;32,26
"nr";112,72;165,31;242,97;119,81;0;111,11;117,76;86,69;64,95;87,64;85,8;96,77;112,9;44,12;78,78;195,99;85,68;59,86;30,22;57,83;41,21;94,15;73,53;86,02
"pro_ind";5,78;3,32;2,27;7,88;0;0;4,29;9,83;9,62;12,14;6,62;32,26;10,75;0;9,4;2,5;4,18;8,16;13,74;6,43;8,99;6,77;7,35;0
"adj";57,8;61,05;66,21;67,68;123,97;0;42,91;60,16;65,29;73,42;66,23;129,03;66,05;14,71;71,62;54,9;75,76;84,35;46,7;102,01;106,79;58,77;132,35;21,51
"pro_dem";2,89;5,14;1,71;7,05;0;0;4,77;7,89;7,56;0,55;8,35;0;7,68;0;7,16;4,83;1,04;10,88;0;4,02;5,56;6,34;0;10,75
"nom";179,19;275,91;270,82;222,51;305,79;333,33;216,21;234,44;211,68;229,89;242,44;161,29;200,46;279,41;212,18;241,95;194,88;198,64;219,78;244,98;221,59;219,87;213,24;258,06
"art_ind";46,24;21,76;27,85;45,91;66,12;55,56;30,99;42,05;40,55;51,08;35,13;32,26;33,03;44,12;48,34;20,03;98,75;38,1;60,44;85,14;67,38;48,77;58,82;53,76
"adj_int";2,89;0,3;0;0,21;0;0;0;0,65;0;0;0,58;0;1,54;0;0;0;0;0;0;0,8;0,16;0;0;0
"pro_pos";0;0;0;0,31;0;0;0;0;0;0;0;0;0;0;0;0,18;0;0;0;0;0,16;0;0;0
"nom_sup";2,89;4,23;4,55;3,01;0;0;4,29;4,92;6,87;0,18;4,32;0;8,45;0;6,27;2,68;0,52;5,44;8,24;2,41;3,43;3,1;0;0
"adv_sup";28,9;9,67;15,91;22,28;16,53;0;20,5;21,74;27,84;39,73;27,35;64,52;17,67;14,71;33,57;11,98;8,36;23,13;32,97;14,46;26,82;21,71;36,76;0
"adj_sup";0;0,6;0;1,04;0;55,56;0,48;2,2;0,69;0,06;1,73;0;2,3;0;2,69;0,72;0,52;1,36;0;0;0,16;1,27;0;10,75
"art_def";92,49;129,65;83,83;92,03;90,91;222,22;87,72;94,32;108,25;72,44;109,99;96,77;105,22;117,65;93,55;84,41;33,44;81,63;134,62;101,2;109,57;101,2;125;96,77
"adj_num";0;2,42;0,85;3,94;0;0;0,72;1,55;4,47;0,43;5,18;0;7,68;14,71;4,48;1,25;0;1,36;0;1,61;1,96;1,83;0;10,75
"pro_rel";23,12;5,74;3,69;16,58;8,26;55,56;9,77;13,84;19,93;27,28;14,4;32,26;20,74;0;22,38;6,44;2,61;21,77;24,73;16,87;22,57;15,36;7,35;21,51
"con";17,34;20,55;21,31;41,04;41,32;0;17,88;40,11;37,11;54,31;36,86;0;49,16;14,71;38,5;13,95;21,42;46,26;32,97;21,69;28,62;39,18;22,06;32,26
