"";"X.chaine_6ter";"X.chaine_ARTE";"X.chaine_C8";"X.chaine_Canal";"X.chaine_CanalFamily";"X.chaine_D17";"X.chaine_Direct8";"X.chaine_France2";"X.chaine_France3";"X.chaine_France4";"X.chaine_France5";"X.chaine_FranceO";"X.chaine_Gulli";"X.chaine_LaCinquième";"X.chaine_M6";"X.chaine_MonteCarloTMC";"X.chaine_NRJ12";"X.chaine_NT1";"X.chaine_Numéro23";"X.chaine_RMCDécouverteHD24";"X.chaine_RMCStory";"X.chaine_TF1";"X.chaine_TFX";"X.chaine_W9"
"devenir";-0,0776;-0,7296;-0,4691;0,3599;-0,0255;-0,0176;1,6154;2,2552;-0,6865;-3,6891;0,2545;-0,0164;1,5275;-0,0142;-0,1764;-0,7751;-0,5621;1,2219;-0,0984;-0,3208;-0,5348;2,3861;-0,0309;-0,0173
"lors";-0,0371;0,2579;-0,1484;-0,5799;-0,0122;-0,0084;1,0419;0,5222;0,2754;-1,8563;0,6562;-0,0078;-0,1407;-0,0068;-0,2499;0,3467;0,9087;-0,0828;-0,0471;-0,1534;-0,7778;0,9724;1,476;-0,0083
"accidentellement";-0,0438;-0,4123;-0,5616;-0,737;-0,0144;-0,01;-0,5684;-1,0314;0,2286;-3,2887;-0,4632;-0,0093;-0,1663;-0,008;-0,2954;-0,8006;34,9444;-0,0979;-0,0556;-0,1813;-0,9193;-0,9864;-0,0174;-0,0098
"maloney";-0,0236;-0,222;-0,3024;13,162;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;-0,4311;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"évolution";-0,0202;-0,1903;-0,2592;-0,636;1,818;-0,0046;-0,2623;-0,144;5,9424;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;2,8131;-0,0837;0,6193;-0,4552;-0,0081;-0,0045
"substance";-0,0185;-0,1744;-0,2376;-0,583;-0,0061;-0,0042;-0,2404;0,198;-0,1641;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;0,5749;-0,0414;-0,0235;-0,0767;8,2884;-0,4173;-0,0074;-0,0041
"karim";-0,0236;-0,222;15,9683;-0,742;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,7706;0,3597;-0,005;-0,0895;-0,0043;-0,159;-0,4311;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"vigi";-0,0236;-0,222;18,4104;-0,742;-0,0078;-0,0054;-0,306;-0,5553;-0,2089;-1,7706;-0,2494;-0,005;-0,0895;-0,0043;-0,159;-0,4311;-0,171;-0,0527;-0,03;-0,0976;-0,4949;-0,5311;-0,0094;-0,0053
"rythmé";-0,1383;-0,6932;-1,7721;-4,3483;-0,0455;-0,0314;-1,7933;-3,2542;-1,2242;46,6758;-1,4614;-0,0292;-0,5247;-0,0253;-0,932;-2,5262;-1,0024;-0,3089;-0,1755;-0,572;-2,9006;-3,1125;-0,055;-0,0309
"unir";-0,0557;0,4783;-0,7129;-0,3321;-0,0183;-0,0126;-0,7214;-0,3554;-0,4925;-3,0894;-0,5879;-0,0117;3,9526;-0,0102;0,2379;-0,2185;-0,4032;-0,1243;-0,0706;0,3858;9,2153;-1,2521;-0,0221;-0,0124
"leurs";-0,1485;-0,4148;-1,162;3,0829;-0,0488;-0,0337;0,8502;2,4295;0,4606;-7,4625;0,5538;-0,0313;0,8588;-0,0271;-0,22;-0,8547;-1,0758;0,7537;0,4535;0,3874;0,6036;-0,2653;-0,0591;-0,0331
"sortir";-0,0455;2,6088;-0,5832;0,4241;-0,015;-0,0103;-0,5902;-0,2389;1,2104;-1,7139;0,5287;-0,0096;-0,1727;-0,0083;0,2954;-0,8314;-0,3299;-0,1017;-0,0578;-0,1883;-0,4374;2,247;-0,0181;-0,0102
"commentaire";-0,0354;1,4226;1,7681;1,0715;-0,0116;-0,008;-0,459;-0,833;-0,3134;-2,6561;-0,3741;-0,0075;-0,1343;-0,0065;-0,2386;5,3469;-0,2566;-0,0791;-0,0449;-0,1464;-0,7425;-0,7967;-0,0141;-0,0079
"machine";-0,0169;-0,1586;-0,216;-0,1686;-0,0055;-0,0038;-0,2186;-0,3966;-0,1492;-1,2647;-0,1781;-0,0036;2,0514;-0,0031;2,7451;-0,3079;-0,1222;-0,0377;-0,0214;0,8288;0,2542;0,6959;-0,0067;-0,0038
"zorbb";-0,0185;-0,1744;-0,2376;-0,583;-0,0061;-0,0042;-0,2404;-0,4363;16,1971;-1,3912;-0,1959;-0,0039;-0,0703;-0,0034;-0,125;-0,3387;-0,1344;-0,0414;-0,0235;-0,0767;-0,3889;-0,4173;-0,0074;-0,0041
"réalisateur";-0,0169;0,5145;-0,216;1,0086;-0,0055;-0,0038;0,4029;0,2227;-0,1492;-1,2647;0,4731;-0,0036;-0,064;-0,0031;-0,1136;-0,3079;-0,1222;-0,0377;-0,0214;-0,0697;-0,3535;1,3479;-0,0067;-0,0038
"sentir";-0,032;-0,3013;0,2137;0,4255;-0,0105;-0,0073;-0,4153;4,9223;-0,2835;-2,4031;0,2666;-0,0068;-0,1215;-0,0059;-0,2158;-0,585;-0,2321;1,9378;-0,0407;-0,1325;-0,6717;0,6801;-0,0127;-0,0072
"peur";1,3418;-0,1903;0,9488;1,3943;-0,0067;-0,0046;-0,2623;-0,144;0,4713;-1,5177;-0,2137;-0,0043;-0,0767;-0,0037;-0,1363;-0,3695;-0,1466;-0,0452;-0,0257;-0,0837;0,2052;0,5761;-0,0081;-0,0045
"député";-0,054;-0,1669;28,3782;-1,6962;-0,0177;-0,0123;-0,6995;-0,6607;-0,4775;-4,0479;-0,2008;-0,0114;-0,2047;-0,0099;-0,3636;0,4244;-0,391;-0,1205;-0,0685;-0,2231;-1,1315;-1,2141;-0,0215;-0,012
"espèce";1,4193;-0,1586;-0,216;0,4925;-0,0055;-0,0038;-0,2186;-0,3966;-0,1492;-1,2647;-0,1781;-0,0036;-0,064;-0,0031;0,638;0,2943;-0,1222;-0,0377;-0,0214;1,98;0,2542;0,6959;-0,0067;-0,0038
"toute";-0,0405;-0,3806;0,487;0,2746;-0,0133;-0,0092;0,4802;0,456;1,3382;-0,9604;-0,4275;-0,0085;0,5262;-0,0074;-0,2727;-0,2975;0,309;-0,0904;-0,0514;-0,1673;0,5402;-0,1708;-0,0161;-0,009
"affaire";-0,0422;1,9427;5,8302;-0,3565;-0,0139;-0,0096;-0,5465;-0,2038;-0,373;-2,1866;-0,4453;-0,0089;-0,1599;-0,0077;0,8683;0,2857;-0,3055;-0,0941;-0,0535;-0,1743;-0,8839;0,4574;-0,0168;-0,0094
"chronique";-0,0573;1,4882;-0,7345;-1,8022;-0,0189;-0,013;1,0781;15,0302;-0,5074;-4,3009;-0,2212;-0,0121;-0,2175;-0,0105;-0,3863;-1,047;-0,4155;-0,128;-0,0728;-0,2371;-1,2022;0,2599;-0,0228;-0,0128
