"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,765629821385607;17,3126246533095;17,3126246533095
"facteur 2";0,63630557723018;14,3883105329636;31,700935186273
"facteur 3";0,568466047770113;12,8543050940509;44,5552402803239
"facteur 4";0,422183013245472;9,54651430647558;54,1017545867995
"facteur 5";0,292722852516359;6,61912680450492;60,7208813913044
"facteur 6";0,243111020012044;5,4972908852148;66,2181722765192
"facteur 7";0,227031197117291;5,13368966372013;71,3518619402393
"facteur 8";0,184858494561242;4,18006932452384;75,5319312647632
"facteur 9";0,165779022295817;3,74863923561124;79,2805705003744
"facteur 10";0,128853561778903;2,91367092556945;82,1942414259439
"facteur 11";0,113416300214073;2,56459947134737;84,7588408972913
"facteur 12";0,0968868325689657;2,19083076346075;86,949671660752
"facteur 13";0,0893384966956739;2,02014579001639;88,9698174507684
"facteur 14";0,0874620573135331;1,9777152448622;90,9475326956306
"facteur 15";0,0671845274333576;1,51919435930367;92,4667270549343
"facteur 16";0,0533387544600194;1,20611006735626;93,6728371222905
"facteur 17";0,0516618601080437;1,16819168736621;94,8410288096567
"facteur 18";0,0471546757214497;1,06627403819844;95,9073028478552
"facteur 19";0,0414512710467304;0,937307138501867;96,844609986357
"facteur 20";0,0394357881115915;0,89173250363712;97,7363424899942
"facteur 21";0,0391796234864156;0,885940041168638;98,6222825311628
"facteur 22";0,0335147623318935;0,757844697776888;99,3801272289397
"facteur 23";0,0274131212622339;0,619872771060318;100
