"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Coord. facteur 5";"Coord. facteur 6";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"Corr. facteur 5";"Corr. facteur 6";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"COR -facteur 5";"COR -facteur 6";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"CTR -facteur 5";"CTR -facteur 6";"mass";"chi.distance";"inertie"
"devenir";0,456121313676098;-0,446369184748671;0,552974306581252;-0,436839339931316;1,17167836568448;0,364522899629766;0,293837438464257;-0,28755502960133;0,356231004582626;-0,281415818154434;0,754805704872626;0,234828919143286;0,0923748412043083;0,0735238552593313;0,100806507235892;0,0467216714019331;0,233049181307156;0,0187339091141376;0,000390602262288152;0,000374078227757515;0,000574095214562457;0,000358275825881999;0,00257745352680302;0,000249473059887623;0,00187747438880046;1,31314575633203;0,00323742629930003
"accidentellement";0,268515916319631;-3,28912962697815;-5,62938237297685;0,996209864610696;0,0148898925740147;0,340958529003249;0,0406239684938753;-0,497614816171936;-0,851673358116944;0,150717315784956;0,00225270268926601;0,0515838641142532;0,00216784120443816;0,27033125939889;0,707448104603574;0,016453980923058;2,54863894991345e-06;0,00110988075606281;7,65120089074425e-05;0,0114802545316396;0,0336287740676195;0,00105315237961876;2,35273312212078e-07;0,000123365196563468;0,00106118117627852;5,04621465792759;0,0270222171226058
"maloney";0,397910799540884;-0,763380867078369;0,481403609734912;-1,04513999940213;0,389840346125876;-4,98339894411538;0,0765051949157681;-0,146773101152782;0,0925581236760065;-0,200946140342969;0,0749535114422704;-0,958144156937885;0,0149821125517645;0,0458280136028076;0,0162819335427258;0,0569944353769681;0,00549810409846166;0,746171606155454;9,04723097619576e-05;0,000332986607693503;0,000132422843823568;0,000624156020444225;8,68395957938695e-05;0,0141904293909205;0,000571405248765356;2,8445175598725;0,00462339994603984
"évolution";0,299576083952754;-0,747504282010188;0,58056216085655;-1,44737903926713;-0,919890781126834;0,637070972477745;0,143925112499969;-0,359122919503454;0,278919041907504;-0,695363222284033;-0,441942435505779;0,306067527736241;0,00302943211217047;0,0156754928552338;0,00844753673621064;0,0389936076986745;0,0109208707336769;0,00435019159609155;4,39553471661406e-05;0,000273668495958647;0,000165080162908498;0,00102603457000605;0,000414447924183733;0,000198780175816696;0,000489775927513163;4,76251051480491;0,0111088558362323
"substance";0,331194517934792;-1,0197221649123;0,0503844733022801;-1,71575543427319;-3,80121184197253;1,94888615797203;0,0700664307974296;-0,215729091610447;0,0106591746563698;-0,362979617387524;-0,804171965564892;0,412299992074449;0,00943080936990726;0,0743007666266176;0,000162054771705331;0,139564629731573;0,474968296472431;0,103691088569451;4,92464754830681e-05;0,000466844872852031;1,13973089463409e-06;0,00132165967971176;0,00648713628599135;0,00170522549382003;0,000448961266887066;2,98413232342301;0,00399802060979871
"karim";1,97346825831602;3,13543425684927;-1,74573015474724;-0,917609319948436;-0,102506568242658;-0,145939869205229;0,469781370047355;0,746385757495264;-0,415568631709307;-0,218435620475315;-0,0244015457887224;-0,034740782584599;0,259730566105244;0,544885257895582;0,150904673051861;0,0309642323254477;0,000267919267594972;0,000451020706611924;0,00222538172042496;0,00561745527555346;0,00174139965000258;0,000481127141618188;6,00409581080014e-06;1,217004350561e-05;0,000571405248765356;3,38827019028294;0,00655994646557448
"vigi";2,08388549230156;3,40561166778633;-1,92030327893698;-0,9783784247865;-0,204568382130405;-0,242216584053308;0,458178595253038;0,748783162840835;-0,422212190666676;-0,215113572195112;-0,0449779291155658;-0,0532555433772721;0,250086476946747;0,555110759626981;0,15767681663676;0,0303975201237539;0,000921419321385478;0,0010728427256079;0,00248137228808412;0,00662726711745126;0,00210709381508288;0,000546963013314884;2,39122942551047e-05;3,35237023087361e-05;0,000571405248765356;3,64618052744784;0,00759662275590209
"rythmé";-1,57075953895516;0,669105766172587;-0,181501140645536;0,299113902497844;0,0387235305978898;0,083412015691943;-0,900025794603109;0,383389331045276;-0,103997909469663;0,171388567820847;0,0221881042462977;0,0477940536668809;0,842390527161696;0,127037078279914;0,00835099974633315;0,0168441529125253;0,000195740973810644;0,00075428782876735;0,00825751656650451;0,00149837178722024;0,000110252579591107;0,000299435467398643;5,01856942170474e-06;2,3285591513286e-05;0,00334680217133995;1,49748468336349;0,00750507125858028
"unir";0,347845500943362;-0,632786013217209;0,60796811796694;-1,07272573575308;-2,30244421977225;0,787282514469855;0,12326855359867;-0,224245006404309;0,215450107397229;-0,380149662697183;-0,815933993520751;0,278995061224106;0,0204741812858363;0,0563111497226016;0,0464388080520376;0,107372503050395;0,342964987401781;0,0333028023295616;0,000162968215720818;0,000539316704267984;0,000497842237921745;0,00154991374380028;0,00714016692014068;0,000834817109524886;0,0013468838006612;2,1271226830568;0,0060941790126757
"sortir";0,378479983036442;-0,463340403256223;0,564671599000843;-0,363029816093611;1,15144382618236;0,519647646729547;0,244082479938599;-0,29880913060504;0,364157816562123;-0,234118637114953;0,742568371383379;0,335121781845442;0,0562870603978307;0,0701083862283862;0,0930251366741249;0,0285554653926177;0,199180141108105;0,0336919751204246;0,00015785770515898;0,000236581237125843;0,000351375796799746;0,000145232744747967;0,00146105129958139;0,000297575987604262;0,00110199583690462;1,39587989454134;0,00214721759763225
