"";"Valeurs propres";"Pourcentages";"Pourcentage cumules"
"facteur 1";0,088502102981415;63,7998684938925;63,7998684938925
"facteur 2";0,0137812461684164;9,93469831345772;73,7345668073502
"facteur 3";0,0116241871387088;8,3797060839758;82,114272891326
"facteur 4";0,00750329437844696;5,40901491026044;87,5232878015865
"facteur 5";0,00583657469887326;4,20750112933576;91,7307889309222
"facteur 6";0,00359033377730911;2,58821898152639;94,3190079124486
"facteur 7";0,00189169716458201;1,36369675143138;95,68270466388
"facteur 8";0,0013289817807227;0,95804348127968;96,6407481451597
"facteur 9";0,000976105177975019;0,703659911946852;97,3444080571065
"facteur 10";0,000774495205802441;0,558322238848068;97,9027302959546
"facteur 11";0,000692379701800364;0,499126375923293;98,4018566718779
"facteur 12";0,000632907628567192;0,456253830260368;98,8581105021383
"facteur 13";0,000478819027921241;0,34517361717567;99,2032841193139
"facteur 14";0,000291619626106354;0,210224312971755;99,4135084322857
"facteur 15";0,000214214007103645;0,154423737090544;99,5679321693762
"facteur 16";0,000162674310644733;0,117269525546167;99,6852016949224
"facteur 17";0,000154438629782907;0,11133254395769;99,7965342388801
"facteur 18";9,19353849893889e-05;0,0662748711574697;99,8628091100376
"facteur 19";6,52104066492066e-05;0,0470092260917947;99,9098183361293
"facteur 20";6,06578967510681e-05;0,0437273884514013;99,9535457245807
"facteur 21";4,57084570876664e-05;0,0329505565745057;99,9864962811553
"facteur 22";1,50113232173457e-05;0,0108214428236478;99,9973177239789
"facteur 23";3,7208081183927e-06;0,00268227602110553;100
